TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:42:19,blackbird_observed.csv,0.6665843979047553453409438727,1.257,0.293,4.742,4.173,0.183,7.51,13.627,0.131,6.94,22.966,0.612,0.532,0.011,3.27,11.76,10.63,5.885,9.778,10.356,9.200,8.918,11.835,6.0,0.189,9.3,6.81,3.643,7.57,23.873,26.721,41.235,12.207,1.278,0.115,12.031,60.981,106.682,15.28
2026-05-21 09:42:20,blackbird_observed.csv,36.44700865718349743694433058,0.943,0.516,0.794,0.555,0.781,6.61,5.967,0.154,7.51,25.212,0.499,0.505,0.032,1.68,11.86,10.31,2.047,16.766,14.540,18.991,3.340,5.11,1.569,0.245,9.97,6.49,4.153,7.24,21.188,44.310,79.833,8.787,1.333,0.029,12.141,48.561,87.065,10.057
2026-05-21 09:42:20,blackbird_observed.csv,0.2952697942705957015244733692,0.993,2.451,0.71,2.254,0.658,7.08,14.452,0.144,6.72,8.541,0.173,0.569,0.042,4.34,1.34,10.71,11.927,12.027,16.348,7.706,7.869,5.117,10.621,0.197,9.23,7.35,3.671,6.77,20.959,25.348,31.082,19.614,1.367,0.246,12.095,118.374,223.521,13.226
2026-05-21 09:42:20,blackbird_observed.csv,1.439200334434198691874675883,0.825,3.693,3.236,2.154,0.745,6.63,5.216,0.192,7.1,10.534,0.292,0.573,0.022,2.8,11.69,11.32,8.428,15.902,13.708,18.095,6.258,9.269,3.248,0.151,7.95,8.35,1.033,7.44,21.43,38.726,59.105,18.347,0.801,0.336,12.196,109.838,204.736,14.939
2026-05-21 09:42:21,blackbird_observed.csv,1.363473294166107082807867594,0.897,2.696,4.563,3.491,0.312,6.38,4.927,0.124,6.98,18.903,0.062,0.624,0.003,3.81,11.18,10.83,2.155,8.563,11.798,5.328,3.812,1.071,6.552,0.02,8.72,8.03,6.817,7.36,21.3,43.211,66.736,19.686,1.303,0.02,12.131,53.777,102.605,4.949
2026-05-21 09:42:21,blackbird_observed.csv,0.2088183456707544320147411015,0.897,2.519,4.515,0.606,0.535,7.53,15.717,0.33,7.5,16.208,0.545,0.42,0.032,2.4,10.83,11.01,6.553,19.546,19.141,19.95,9.082,8.806,9.358,0.108,9.75,8.02,7.543,7.25,11.959,39.866,72.422,7.31,1.578,0.087,12.153,91.462,178.21,4.715
2026-05-21 09:42:21,blackbird_observed.csv,1.902370209366952267186408733,1.153,3.171,2.041,5.261,0.816,7.59,10.166,0.131,6.78,18.736,0.462,0.606,0.018,2.27,11.41,10.68,4.981,4.080,0.597,7.563,6.630,7.528,5.732,0.241,8.43,6.55,4.761,7.39,12.795,30.106,55.814,4.399,1.413,0.131,12.229,79.526,152.526,6.527
2026-05-21 09:42:22,blackbird_observed.csv,0.6026142488600755382283105010,0.954,2.354,2.537,4.313,0.621,7.38,10.376,0.051,7.08,23.672,0.383,0.403,0.013,1.84,10.56,10.62,10.273,10.738,9.31,12.165,8.752,6.522,10.981,0.097,9.94,6.4,2.241,7.51,16.173,20.013,22.476,17.55,0.983,0.215,12.026,119.736,228.782,10.69
2026-05-21 09:42:22,blackbird_observed.csv,0.7116792421355992834957065496,1.317,2.28,1.36,3.128,0.552,6.43,8.832,0.222,7.34,10.962,0.486,0.259,0.05,4.17,11.64,10.84,11.582,13.369,13.983,12.755,13.874,13.757,13.99,0.096,10.22,6.15,2.613,7.1,13.274,42.330,78.787,5.873,0.953,0.154,12.157,46.562,84.558,8.566
2026-05-21 09:42:22,blackbird_observed.csv,0.7370324487829814168010313079,0.786,0.645,4.516,6.937,0.475,6.69,14.256,0.197,6.63,20.999,0.375,0.592,0.023,3.65,11.03,10.72,9.174,19.566,19.992,19.141,9.968,13.416,6.52,0.204,9.56,6.55,4.118,7.52,11.568,33.700,56.955,10.444,0.984,0.28,12.148,117.422,221.077,13.768
2026-05-21 09:42:23,blackbird_observed.csv,0.7826197562412192982767202769,0.992,1.105,1.684,3.702,0.838,6.29,5.075,0.192,6.6,11.142,0.527,0.677,0.015,3.12,11.91,10.82,6.446,5.758,1.05,10.465,9.170,12.53,5.81,0.205,10.26,6.53,1.313,7.24,18.423,45.628,72.857,18.4,0.87,0.057,12.135,88.158,164.321,11.996
2026-05-21 09:42:23,blackbird_observed.csv,0.8013113130525780326709033315,1.012,3.175,1.119,0.573,0.3,6.83,3.761,0.117,6.51,17.889,0.48,0.605,0.017,3.77,10.68,11.31,6.911,6.977,13.306,0.648,4.448,8.441,0.455,0.058,9.33,6.19,6.707,7.46,14.554,32.836,54.994,10.679,1.461,0.17,12.091,53.480,98.988,7.973
