TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:43:22,blue_tit_observed.csv,0.1268106336469841901288392852,0.717,3.664,2.916,3.766,0.624,6.67,5.166,0.061,6.97,16.726,0.383,0.421,0.039,2.81,10.93,9.36,5.035,10.041,13.678,6.404,6.048,10.898,1.197,0.188,5.66,5.07,7.15,7.31,7.117,28.352,49.383,7.322,1.585,0.31,12.163,97.710,179.892,15.528
2026-05-21 09:43:23,blue_tit_observed.csv,0.4988699232062702330852079694,1.084,2.974,4.184,0.588,0.363,7.67,13.86,0.081,7.29,6.404,0.544,0.067,0.043,2.93,10.99,10.47,4.436,7.264,8.445,6.082,2.700,2.271,3.128,0.211,7.01,4.49,6.206,7.54,12.89,46.094,79.403,12.785,1.115,0.29,12.165,126.467,239.806,13.128
2026-05-21 09:43:23,blue_tit_observed.csv,0.4535671736566619392364516982,0.744,3.742,1.72,1.711,0.052,7.36,9.435,0.076,6.94,8.023,0.116,0.368,0.012,3.32,11.42,8.59,11.343,12.300,18.813,5.787,4.681,4.342,5.020,0.182,5.88,4.13,4.148,6.78,10.268,12.983,16.903,9.063,1.127,0.307,12.234,62.298,116.919,7.676
2026-05-21 09:43:23,blue_tit_observed.csv,0.4360425191877874778207532186,1.19,0.591,1.593,0.917,0.809,6.73,5.952,0.065,7.04,15.312,0.24,0.169,0.013,2.16,11.79,10.82,10.333,6.012,6.046,5.978,5.660,2.4,8.919,0.033,8.41,6.2,3.314,6.93,16.721,32.782,49.014,16.55,1.022,0.246,12.165,58.724,107.082,10.365
2026-05-21 09:43:24,blue_tit_observed.csv,1.383543095623332153351919193,0.857,2.45,2.286,5.036,0.436,6.97,11.289,0.002,7.01,10.915,0.333,0.461,0.039,1.96,11.13,9.83,7.665,2.360,2.610,2.111,11.406,12.495,10.318,0.148,6.28,5.27,2.998,7.21,22.529,19.756,19.803,19.709,1.559,0.163,12.05,113.694,212.333,15.055
2026-05-21 09:43:24,blue_tit_observed.csv,0.3568880021790919601342333698,1.1,1.83,1.011,6.54,0.484,7.29,8.872,0.042,7.36,20.486,0.176,0.391,0.05,4.21,11.3,9.44,7.36,17.810,18.181,17.438,10.176,8.837,11.514,0.119,6.53,5.87,2.281,7.16,16.175,12.591,17.075,8.107,1.462,0.237,12.1,68.423,131.237,5.609
2026-05-21 09:43:24,blue_tit_observed.csv,0.3146697542836915019657439892,0.644,2.834,3.307,3.956,0.61,7.51,4.097,0.093,7.11,8.814,0.341,0.697,0.004,4.2,11.55,11.45,10.157,3.456,1.762,5.151,5.449,1.274,9.624,0.204,6.86,5.99,2.925,6.91,16.033,41.204,68.012,14.396,1.601,0.026,12.275,74.422,134.13,14.714
2026-05-21 09:43:25,blue_tit_observed.csv,0.2967949206900844181650814348,0.804,0.75,1.368,6.637,0.638,6.35,3.653,0.046,7.63,13.069,0.218,0.375,0.006,2.38,11.36,9.49,9.12,7.402,6.756,8.047,10.170,11.83,8.509,0.18,6.4,6.44,6.339,7.47,17.418,8.186,7.987,8.386,1.023,0.297,12.027,100.978,189.737,12.219
2026-05-21 09:43:25,blue_tit_observed.csv,0.4999554858448229768966377814,1.002,3.715,0.472,7.407,0.716,6.51,7.324,0.006,6.92,24.772,0.175,0.27,0.017,3.41,11.86,9.63,11.527,8.838,15.486,2.19,3.778,6.301,1.256,0.115,5.67,4.08,6.805,7.35,10.764,31.272,46.016,16.527,1.404,0.162,12.118,91.167,171.843,10.491
2026-05-21 09:43:25,blue_tit_observed.csv,0.2152530946919634632258234440,1.091,0.596,3.915,7.59,0.165,6.46,9.281,0.013,7.43,7.116,0.178,0.398,0.019,2.73,11.81,8.89,4.626,3.776,4.638,2.915,8.124,9.882,6.367,0.189,8.05,6.46,7.257,7.27,6.795,30.696,51.641,9.752,1.584,0.212,12.062,66.480,122.913,10.047
