method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.888,0.1,0,0.01,1
RungeKutta4,1,0.1,0.831448,0.1,0,0.01,0.920445
RungeKutta4,2,0.2,0.783681,0.1,0,0.01,0.853249
RungeKutta4,3,0.3,0.743908,0.1,0,0.01,0.797298
RungeKutta4,4,0.4,0.711439,0.1,0,0.01,0.751623
RungeKutta4,5,0.5,0.685664,0.1,0,0.01,0.715364
RungeKutta4,6,0.6,0.666027,0.1,0,0.01,0.687739
RungeKutta4,7,0.7,0.652008,0.1,0,0.01,0.668018
RungeKutta4,8,0.8,0.643102,0.1,0,0.01,0.655490
RungeKutta4,9,0.9,0.638803,0.1,0,0.01,0.649442
RungeKutta4,10,1.0,0.638747,0.1,0,0.01,0.649363
RungeKutta4,11,1.1,0.643798,0.1,0,0.01,0.656469
RungeKutta4,12,1.2,0.653029,0.1,0,0.01,0.669454
RungeKutta4,13,1.3,0.665306,0.1,0,0.01,0.686725
RungeKutta4,14,1.4,0.679561,0.1,0,0.01,0.706778
RungeKutta4,15,1.5,0.694786,0.1,0,0.01,0.728196
RungeKutta4,16,1.6,0.710039,0.1,0,0.01,0.749653
RungeKutta4,17,1.7,0.724458,0.1,0,0.01,0.769937
RungeKutta4,18,1.8,0.737270,0.1,0,0.01,0.787960
RungeKutta4,19,1.9,0.747792,0.1,0,0.01,0.802762
RungeKutta4,20,2.0,0.755350,0.1,0,0.01,0.813395
RungeKutta4,21,2.1,0.759409,0.1,0,0.01,0.819105
RungeKutta4,22,2.2,0.759723,0.1,0,0.01,0.819546
RungeKutta4,23,2.3,0.757214,0.1,0,0.01,0.816017
RungeKutta4,24,2.4,0.751915,0.1,0,0.01,0.808562
RungeKutta4,25,2.5,0.743806,0.1,0,0.01,0.797155
RungeKutta4,26,2.6,0.732996,0.1,0,0.01,0.781948
RungeKutta4,27,2.7,0.719703,0.1,0,0.01,0.763248
RungeKutta4,28,2.8,0.704233,0.1,0,0.01,0.741486
RungeKutta4,29,2.9,0.686961,0.1,0,0.01,0.717188
RungeKutta4,30,3.0,0.668302,0.1,0,0.01,0.690940
RungeKutta4,31,3.1,0.648689,0.1,0,0.01,0.663349
RungeKutta4,32,3.2,0.628549,0.1,0,0.01,0.635017
RungeKutta4,33,3.3,0.608286,0.1,0,0.01,0.606512
RungeKutta4,34,3.4,0.588262,0.1,0,0.01,0.578343
RungeKutta4,35,3.5,0.568791,0.1,0,0.01,0.550953
RungeKutta4,36,3.6,0.550128,0.1,0,0.01,0.524698
RungeKutta4,37,3.7,0.532471,0.1,0,0.01,0.499859
RungeKutta4,38,3.8,0.515959,0.1,0,0.01,0.476631
RungeKutta4,39,3.9,0.500678,0.1,0,0.01,0.455134
RungeKutta4,40,4.0,0.486667,0.1,0,0.01,0.435425
RungeKutta4,41,4.1,0.473925,0.1,0,0.01,0.417500
RungeKutta4,42,4.2,0.462419,0.1,0,0.01,0.401314
RungeKutta4,43,4.3,0.452093,0.1,0,0.01,0.386788
RungeKutta4,44,4.4,0.442874,0.1,0,0.01,0.373819
RungeKutta4,45,4.5,0.434680,0.1,0,0.01,0.362292
RungeKutta4,46,4.6,0.427422,0.1,0,0.01,0.352082
RungeKutta4,47,4.7,0.421010,0.1,0,0.01,0.343061
RungeKutta4,48,4.8,0.415356,0.1,0,0.01,0.335108
RungeKutta4,49,4.9,0.410372,0.1,0,0.01,0.328096
RungeKutta4,50,5.0,0.405967,0.1,0,0.01,0.321900
RungeKutta4,51,5.1,0.402045,0.1,0,0.01,0.316382
RungeKutta4,52,5.2,0.398489,0.1,0,0.01,0.311380
RungeKutta4,53,5.3,0.395148,0.1,0,0.01,0.306680
RungeKutta4,54,5.4,0.391809,0.1,0,0.01,0.301983
RungeKutta4,55,5.5,0.388140,0.1,0,0.01,0.296822
RungeKutta4,56,5.6,0.383568,0.1,0,0.01,0.290390
RungeKutta4,57,5.7,0.377098,0.1,0,0.01,0.281288
RungeKutta4,58,5.8,0.367456,0.1,0,0.01,0.267724
RungeKutta4,59,5.9,0.353997,0.1,0,0.01,0.248791
RungeKutta4,60,6.0,0.336886,0.1,0,0.01,0.224720
RungeKutta4,61,6.1,0.314851,0.1,0,0.01,0.193722
RungeKutta4,62,6.2,0.282321,0.1,0,0.01,0.147961
RungeKutta4,63,6.3,0.241129,0.1,0,0.01,0.0900138
RungeKutta4,64,6.4,0.207665,0.1,0,0.01,0.0429383
RungeKutta4,65,6.5,0.188414,0.1,0,0.01,0.0158569
RungeKutta4,66,6.6,0.179665,0.1,0,0.01,0.00354923
RungeKutta4,67,6.7,0.177142,0.1,0,0.01,0
RungeKutta4,68,6.8,0.177567,0.1,0,0.01,0.000597869
RungeKutta4,69,6.9,0.179171,0.1,0,0.01,0.00285430
RungeKutta4,70,7.0,0.181957,0.1,0,0.01,0.00677350
RungeKutta4,71,7.1,0.185904,0.1,0,0.01,0.0123259
RungeKutta4,72,7.2,0.190940,0.1,0,0.01,0.0194103
RungeKutta4,73,7.3,0.196950,0.1,0,0.01,0.0278649
RungeKutta4,74,7.4,0.203781,0.1,0,0.01,0.0374744
RungeKutta4,75,7.5,0.211260,0.1,0,0.01,0.0479955
RungeKutta4,76,7.6,0.219198,0.1,0,0.01,0.0591623
RungeKutta4,77,7.7,0.227406,0.1,0,0.01,0.0707089
RungeKutta4,78,7.8,0.235699,0.1,0,0.01,0.0823751
RungeKutta4,79,7.9,0.243907,0.1,0,0.01,0.0939217
RungeKutta4,80,8.0,0.251881,0.1,0,0.01,0.105139
RungeKutta4,81,8.1,0.259495,0.1,0,0.01,0.115850
RungeKutta4,82,8.2,0.266651,0.1,0,0.01,0.125917
RungeKutta4,83,8.3,0.273278,0.1,0,0.01,0.135239
RungeKutta4,84,8.4,0.279333,0.1,0,0.01,0.143757
RungeKutta4,85,8.5,0.284796,0.1,0,0.01,0.151442
RungeKutta4,86,8.6,0.289673,0.1,0,0.01,0.158303
RungeKutta4,87,8.7,0.293988,0.1,0,0.01,0.164373
RungeKutta4,88,8.8,0.297789,0.1,0,0.01,0.169720
RungeKutta4,89,8.9,0.301141,0.1,0,0.01,0.174436
RungeKutta4,90,9.0,0.304130,0.1,0,0.01,0.178640
RungeKutta4,91,9.1,0.306860,0.1,0,0.01,0.182481
RungeKutta4,92,9.2,0.309442,0.1,0,0.01,0.186113
RungeKutta4,93,9.3,0.311976,0.1,0,0.01,0.189678
RungeKutta4,94,9.4,0.314525,0.1,0,0.01,0.193264
RungeKutta4,95,9.5,0.317098,0.1,0,0.01,0.196883
RungeKutta4,96,9.6,0.319652,0.1,0,0.01,0.200476
RungeKutta4,97,9.7,0.322117,0.1,0,0.01,0.203944
RungeKutta4,98,9.8,0.324420,0.1,0,0.01,0.207183
RungeKutta4,99,9.9,0.326499,0.1,0,0.01,0.210108
RungeKutta4,100,10.0,0.328312,0.1,0,0.01,0.212659
RungeKutta4,101,10.1,0.329836,0.1,0,0.01,0.214802
RungeKutta4,102,10.2,0.331064,0.1,0,0.01,0.216530
RungeKutta4,103,10.3,0.332006,0.1,0,0.01,0.217855
RungeKutta4,104,10.4,0.332706,0.1,0,0.01,0.218840
RungeKutta4,105,10.5,0.333322,0.1,0,0.01,0.219706
RungeKutta4,106,10.6,0.334351,0.1,0,0.01,0.221154
RungeKutta4,107,10.7,0.337032,0.1,0,0.01,0.224925
RungeKutta4,108,10.8,0.343631,0.1,0,0.01,0.234209
RungeKutta4,109,10.9,0.356824,0.1,0,0.01,0.252768
RungeKutta4,110,11.0,0.377635,0.1,0,0.01,0.282044
RungeKutta4,111,11.1,0.403116,0.1,0,0.01,0.317889
RungeKutta4,112,11.2,0.426760,0.1,0,0.01,0.351150
RungeKutta4,113,11.3,0.445748,0.1,0,0.01,0.377862
RungeKutta4,114,11.4,0.460465,0.1,0,0.01,0.398565
RungeKutta4,115,11.5,0.471371,0.1,0,0.01,0.413907
RungeKutta4,116,11.6,0.478937,0.1,0,0.01,0.424550
RungeKutta4,117,11.7,0.483662,0.1,0,0.01,0.431197
RungeKutta4,118,11.8,0.486082,0.1,0,0.01,0.434602
RungeKutta4,119,11.9,0.486770,0.1,0,0.01,0.435569
RungeKutta4,120,12.0,0.485207,0.1,0,0.01,0.433371
RungeKutta4,121,12.1,0.478513,0.1,0,0.01,0.423954
