method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.284,0.1,0,0.01,0.353617
RungeKutta4,1,0.1,0.289896,0.1,0,0.01,0.360958
RungeKutta4,2,0.2,0.294668,0.1,0,0.01,0.366900
RungeKutta4,3,0.3,0.298533,0.1,0,0.01,0.371712
RungeKutta4,4,0.4,0.301663,0.1,0,0.01,0.375609
RungeKutta4,5,0.5,0.304199,0.1,0,0.01,0.378767
RungeKutta4,6,0.6,0.306254,0.1,0,0.01,0.381326
RungeKutta4,7,0.7,0.307920,0.1,0,0.01,0.383400
RungeKutta4,8,0.8,0.309272,0.1,0,0.01,0.385084
RungeKutta4,9,0.9,0.310373,0.1,0,0.01,0.386454
RungeKutta4,10,1.0,0.311274,0.1,0,0.01,0.387576
RungeKutta4,11,1.1,0.312020,0.1,0,0.01,0.388505
RungeKutta4,12,1.2,0.312650,0.1,0,0.01,0.389290
RungeKutta4,13,1.3,0.313200,0.1,0,0.01,0.389974
RungeKutta4,14,1.4,0.313707,0.1,0,0.01,0.390606
RungeKutta4,15,1.5,0.314208,0.1,0,0.01,0.391230
RungeKutta4,16,1.6,0.314745,0.1,0,0.01,0.391898
RungeKutta4,17,1.7,0.315367,0.1,0,0.01,0.392673
RungeKutta4,18,1.8,0.316131,0.1,0,0.01,0.393624
RungeKutta4,19,1.9,0.317106,0.1,0,0.01,0.394838
RungeKutta4,20,2.0,0.318372,0.1,0,0.01,0.396414
RungeKutta4,21,2.1,0.320026,0.1,0,0.01,0.398474
RungeKutta4,22,2.2,0.322180,0.1,0,0.01,0.401156
RungeKutta4,23,2.3,0.324961,0.1,0,0.01,0.404618
RungeKutta4,24,2.4,0.328511,0.1,0,0.01,0.409039
RungeKutta4,25,2.5,0.332986,0.1,0,0.01,0.414611
RungeKutta4,26,2.6,0.338554,0.1,0,0.01,0.421544
RungeKutta4,27,2.7,0.345388,0.1,0,0.01,0.430053
RungeKutta4,28,2.8,0.353662,0.1,0,0.01,0.440355
RungeKutta4,29,2.9,0.363543,0.1,0,0.01,0.452658
RungeKutta4,30,3.0,0.375184,0.1,0,0.01,0.467153
RungeKutta4,31,3.1,0.388715,0.1,0,0.01,0.484001
RungeKutta4,32,3.2,0.404233,0.1,0,0.01,0.503323
RungeKutta4,33,3.3,0.421793,0.1,0,0.01,0.525187
RungeKutta4,34,3.4,0.441396,0.1,0,0.01,0.549596
RungeKutta4,35,3.5,0.462989,0.1,0,0.01,0.576482
RungeKutta4,36,3.6,0.486448,0.1,0,0.01,0.605691
RungeKutta4,37,3.7,0.511582,0.1,0,0.01,0.636986
RungeKutta4,38,3.8,0.538129,0.1,0,0.01,0.670041
RungeKutta4,39,3.9,0.565758,0.1,0,0.01,0.704443
RungeKutta4,40,4.0,0.594073,0.1,0,0.01,0.739699
RungeKutta4,41,4.1,0.622617,0.1,0,0.01,0.775240
RungeKutta4,42,4.2,0.650893,0.1,0,0.01,0.810447
RungeKutta4,43,4.3,0.678370,0.1,0,0.01,0.844660
RungeKutta4,44,4.4,0.704501,0.1,0,0.01,0.877196
RungeKutta4,45,4.5,0.728743,0.1,0,0.01,0.907381
RungeKutta4,46,4.6,0.750572,0.1,0,0.01,0.934561
RungeKutta4,47,4.7,0.769506,0.1,0,0.01,0.958136
RungeKutta4,48,4.8,0.785072,0.1,0,0.01,0.977518
RungeKutta4,49,4.9,0.796399,0.1,0,0.01,0.991621
RungeKutta4,50,5.0,0.802590,0.1,0,0.01,0.999330
RungeKutta4,51,5.1,0.803128,0.1,0,0.01,1
RungeKutta4,52,5.2,0.798438,0.1,0,0.01,0.994160
RungeKutta4,53,5.3,0.788579,0.1,0,0.01,0.981885
RungeKutta4,54,5.4,0.773739,0.1,0,0.01,0.963407
RungeKutta4,55,5.5,0.754319,0.1,0,0.01,0.939226
