TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:51:44,coot_observed.csv,0.4451754177669453314953584989,0.818,3.403,3.346,2.637,0.124,7.35,8.106,0.218,7.61,26.276,0.038,0.206,0.018,2.2,10.82,11.02,10.921,0.355,0.356,0.354,1.704,1.358,2.051,0.075,10.35,7.89,3.441,7.13,6.544,36.824,55.878,17.769,1.709,0.032,12.147,119.536,229.496,9.577
2026-05-21 09:51:45,coot_observed.csv,1.143377759634346774050545311,0.713,0.938,4.802,6.984,0.09,6.71,13.536,0.044,7.13,9.887,0.025,0.007,0.034,1.26,10.38,11.42,6.105,10.366,7.518,13.214,7.761,11.067,4.455,0.11,10.21,6.94,7.688,7.59,7.865,27.701,49.967,5.435,1.442,0.307,12.076,103.494,198.118,8.869
2026-05-21 09:51:45,coot_observed.csv,0.3352350743829518635072083212,0.699,1.322,2.13,2.467,0.296,6.69,11.207,0.109,7.38,12.507,0.04,0.671,0.031,2.45,10.54,10.47,5.603,10.452,10.379,10.526,6.712,11.161,2.263,0.061,8.47,8.05,7.633,7.46,6.641,22.464,31.182,13.746,1.472,0.08,12.244,94.683,176.057,13.309
2026-05-21 09:51:45,coot_observed.csv,0.1857051247383432302843213291,1.188,3.383,2.42,1.481,0.848,6.99,3.914,0.365,7.12,12.45,0.074,0.378,0.026,3.12,11.64,11.46,2.491,12.585,16.203,8.967,3.886,6.37,1.403,0.234,9.0,7.81,1.766,7.01,22.134,18.046,31.809,4.282,1.096,0.249,12.155,73.868,139.823,7.913
2026-05-21 09:51:46,coot_observed.csv,0.1810751614788130916737977032,0.91,2.284,1.418,7.319,0.058,6.49,8.15,0.387,7.36,18.958,0.019,0.029,0.039,3.23,9.84,10.82,3.024,8.990,7.63,10.349,5.736,6.983,4.488,0.117,8.66,7.09,2.523,7.29,9.16,40.752,64.216,17.288,1.224,0.21,12.083,124.266,239.266,9.266
2026-05-21 09:51:46,coot_observed.csv,0.9086348070597390225607883997,1.179,3.026,1.075,7.367,0.505,6.8,7.474,0.353,6.82,10.193,0.014,0.116,0.019,1.16,10.24,10.54,4.778,9.102,8.682,9.523,13.175,13.942,12.408,0.188,9.35,8.24,2.755,7.51,16.114,38.309,57.31,19.308,1.655,0.02,12.05,46.028,84.685,7.37
2026-05-21 09:51:46,coot_observed.csv,0.6211805844056757135631835088,1.203,2.709,2.347,0.199,0.53,6.63,10.318,0.238,6.89,12.808,0.028,0.375,0.009,1.88,11.51,10.47,2.001,9.057,10.281,7.833,6.664,3.258,10.071,0.023,8.38,7.02,6.692,7.32,17.289,6.766,10.393,3.14,1.595,0.297,12.247,54.184,101.783,6.585
2026-05-21 09:51:47,coot_observed.csv,2.167134446773466963399268478,0.73,1.087,1.549,1.705,0.586,7.4,10.901,0.432,7.51,21.186,0.088,0.243,0.04,3.31,11.51,11.05,4.783,5.533,1.694,9.372,6.340,1.975,10.705,0.184,8.71,6.69,4.361,6.83,22.781,28.534,48.555,8.512,1.693,0.253,12.003,56.069,104.962,7.176
2026-05-21 09:51:47,coot_observed.csv,0.2693310157205649674265729407,1.176,2.736,4.387,2.71,0.437,7.2,14.323,0.273,7.18,15.651,0.041,0.279,0.02,1.25,9.94,10.99,10.849,11.314,17.626,5.002,10.170,12.844,7.495,0.223,9.84,7.77,4.255,7.24,22.663,9.938,13.901,5.975,1.365,0.12,12.109,108.395,206.004,10.786
2026-05-21 09:51:47,coot_observed.csv,0.6075568207131427012096018201,1.146,3.946,0.892,2.443,0.053,7.5,9.892,0.237,6.99,12.067,0.064,0.35,0.026,2.41,9.58,10.59,9.937,9.146,1.965,16.328,12.016,11.487,12.545,0.168,9.43,7.26,3.519,7.16,8.403,29.172,43.246,15.097,1.563,0.0,12.144,106.112,197.646,14.578
2026-05-21 09:51:48,coot_observed.csv,1.153099426248851709227791148,0.959,1.859,5.5,2.074,0.524,6.33,10.344,0.022,6.69,16.44,0.027,0.231,0.003,1.2,11.38,11.06,2.334,13.482,10.892,16.071,9.985,13.435,6.535,0.167,7.95,7.95,6.304,7.54,17.003,0.402,0.427,0.376,0.978,0.314,12.001,107.050,207.497,6.602
2026-05-21 09:51:48,coot_observed.csv,1.886526978072274565813424745,0.761,2.79,0.41,0.077,0.746,6.86,12.831,0.136,7.16,23.2,0.037,0.59,0.005,0.67,11.53,10.37,5.88,16.140,15.928,16.352,4.006,7.393,0.62,0.213,9.44,7.66,2.786,7.15,13.793,33.178,65.183,1.173,1.425,0.08,12.022,121.884,235.009,8.76
2026-05-21 09:51:48,coot_observed.csv,0.2282453064348044484032714498,0.853,0.789,0.057,5.512,0.464,6.64,11.794,0.26,7.48,12.816,0.004,0.297,0.042,2.08,10.14,10.8,7.759,6.976,0.459,13.494,6.328,7.189,5.467,0.062,8.47,8.26,5.807,6.79,18.22,9.068,5.566,12.569,1.04,0.047,12.226,117.494,225.034,9.954
2026-05-21 09:51:49,coot_observed.csv,17.37323810338932381630501971,1.177,1.952,0.285,4.447,0.686,7.75,7.835,0.382,6.99,10.857,0.074,0.006,0.009,1.68,11.47,11.35,6.016,2.160,0.798,3.521,8.078,3.992,12.163,0.127,10.19,6.05,3.969,6.7,18.161,35.736,55.95,15.521,0.88,0.092,12.085,49.252,84.538,13.965
2026-05-21 09:51:49,coot_observed.csv,0.5586667516692179749605878517,0.911,1.568,3.824,4.819,0.071,6.51,10.789,0.066,6.57,17.049,0.065,0.052,0.018,2.13,9.96,10.69,10.468,8.538,1.513,15.563,4.580,4.185,4.976,0.06,9.93,7.76,7.763,6.67,14.143,35.752,60.364,11.139,1.577,0.29,12.218,117.512,227.132,7.893
2026-05-21 09:51:49,coot_observed.csv,0.3274324135583505388755062714,1.117,2.835,3.018,4.631,0.297,7.15,6.607,0.372,6.92,16.908,0.076,0.393,0.011,2.66,11.62,10.59,2.445,8.660,0.434,16.885,5.135,7.889,2.381,0.055,9.6,6.32,4.471,6.77,11.67,16.935,23.361,10.509,1.335,0.077,12.073,86.162,160.245,12.08
2026-05-21 09:51:50,coot_observed.csv,0.9713189970039385926845420762,0.849,3.979,3.632,3.932,0.222,7.1,14.813,0.262,6.52,22.776,0.047,0.24,0.013,3.39,11.66,10.95,8.752,14.110,15.602,12.617,5.542,7.69,3.394,0.016,9.41,7.98,5.912,7.45,14.31,39.141,63.802,14.48,0.861,0.035,12.298,50.937,88.632,13.242
2026-05-21 09:51:50,coot_observed.csv,2.003970032455120439719772373,0.629,2.347,3.274,4.973,0.808,7.49,12.876,0.297,6.82,23.819,0.059,0.113,0.041,1.08,10.46,11.43,8.454,6.226,11.862,0.59,5.655,6.087,5.223,0.088,7.63,6.55,6.075,6.91,23.565,25.158,37.283,13.034,1.727,0.003,12.217,48.630,81.925,15.335
2026-05-21 09:51:50,coot_observed.csv,1.573445621236322268170458495,0.828,3.074,5.125,0.693,0.592,6.42,9.734,0.017,6.5,23.927,0.004,0.072,0.016,1.2,11.33,11.46,11.365,3.197,6.015,0.379,2.366,2.753,1.98,0.077,8.34,7.01,3.925,7.51,14.908,18.851,35.227,2.475,0.823,0.2,12.084,116.072,218.793,13.351
2026-05-21 09:51:51,coot_observed.csv,1.023740266157749727006965743,0.838,3.476,3.446,3.463,0.569,7.34,4.208,0.264,6.99,8.345,0.019,0.717,0.027,2.06,10.62,10.49,8.199,9.372,9.043,9.702,9.396,10.856,7.935,0.082,8.92,6.62,2.217,6.79,15.919,43.258,73.194,13.321,1.676,0.028,12.271,89.224,171.858,6.591
2026-05-21 09:51:51,coot_observed.csv,0.4424228121733798909372505100,1.043,1.062,2.695,1.009,0.446,7.19,5.527,0.366,7.56,22.284,0.088,0.251,0.035,2.09,9.53,11.16,10.684,16.624,14.286,18.962,8.911,10.023,7.799,0.077,7.53,6.97,1.994,6.72,7.129,7.832,12.228,3.436,1.564,0.338,12.04,107.204,201.536,12.871
2026-05-21 09:51:51,coot_observed.csv,0.7978137881036066530912608902,0.896,0.443,4.657,4.385,0.752,7.36,6.53,0.253,7.33,8.771,0.059,0.547,0.0,1.05,11.67,10.47,6.75,13.530,7.796,19.263,13.327,13.473,13.181,0.228,8.35,6.12,6.997,7.55,15.232,37.243,72.904,1.582,1.455,0.239,12.051,118.792,226.313,11.271
2026-05-21 09:51:52,coot_observed.csv,0.3259792772917301111795171127,1.065,1.186,4.879,2.174,0.665,7.17,13.491,0.399,7.34,13.628,0.054,0.493,0.038,0.85,11.95,11.11,3.113,18.224,18.992,17.455,5.653,9.905,1.401,0.13,9.14,7.38,6.593,7.01,16.732,21.623,23.312,19.934,1.259,0.335,12.122,91.797,174.62,8.974
2026-05-21 09:51:52,coot_observed.csv,0.5348878706264452600090719584,0.714,0.749,0.786,1.552,0.596,6.54,6.73,0.425,7.32,13.889,0.034,0.226,0.014,2.98,11.38,11.41,10.188,12.687,10.812,14.562,8.926,11.739,6.114,0.143,8.58,6.97,2.736,6.89,18.22,36.486,66.314,6.659,1.304,0.163,12.062,120.386,228.42,12.353
2026-05-21 09:51:52,coot_observed.csv,0.4419328162368639437413602225,1.02,1.983,5.81,7.792,0.277,7.68,9.979,0.182,7.05,16.575,0.075,0.379,0.044,2.46,9.73,11.18,2.966,11.522,12.246,10.797,5.408,6.136,4.680,0.085,8.78,6.19,3.947,7.21,12.183,32.624,63.872,1.376,1.268,0.022,12.115,103.988,195.015,12.962
2026-05-21 09:51:53,coot_observed.csv,0.3305547483182248112587085529,1.203,3.479,2.715,4.557,0.194,6.52,3.794,0.183,7.03,6.731,0.077,0.221,0.035,0.57,11.11,11.4,7.344,1.962,1.43,2.495,4.890,3.66,6.119,0.03,9.25,7.56,5.512,7.54,14.013,10.136,9.032,11.239,1.497,0.233,12.056,86.628,159.374,13.881
2026-05-21 09:51:53,coot_observed.csv,0.5366017148908923850893877975,0.934,2.969,5.749,1.471,0.593,7.61,3.07,0.333,7.64,19.514,0.069,0.499,0.012,0.98,11.34,10.76,8.432,14.148,13.623,14.673,5.200,1.863,8.538,0.145,10.46,6.55,1.395,7.26,18.659,42.604,68.673,16.534,1.273,0.081,12.173,42.512,80.238,4.786
2026-05-21 09:51:53,coot_observed.csv,0.7243398774641755522212996889,1.026,1.289,5.823,7.709,0.931,7.4,13.399,0.382,7.4,8.159,0.053,0.023,0.011,2.33,10.15,11.22,8.901,17.114,16.204,18.023,11.398,11.910,10.885,0.015,9.68,7.69,7.198,7.51,8.384,25.226,40.825,9.626,1.561,0.065,12.191,109.688,208.314,11.063
2026-05-21 09:51:54,coot_observed.csv,0.3178032645681262728317894504,1.152,2.056,5.17,3.873,0.357,6.78,14.341,0.072,7.38,27.548,0.015,0.711,0.031,2.23,9.6,10.95,2.193,6.840,7.933,5.746,13.052,13.863,12.242,0.233,9.72,6.75,3.943,6.68,7.621,40.639,65.895,15.383,1.413,0.175,12.271,104.394,193.282,15.506
2026-05-21 09:51:54,coot_observed.csv,0.3988105103175523812706174337,0.842,3.059,4.008,5.502,0.891,6.41,6.99,0.041,6.96,20.316,0.028,0.272,0.042,2.38,10.98,11.31,8.322,5.951,4.137,7.765,2.849,3.122,2.576,0.162,7.91,7.69,4.279,7.17,7.674,38.038,63.744,12.332,1.326,0.155,12.007,117.079,225.2,8.958
2026-05-21 09:51:54,coot_observed.csv,0.1918059940451740338402465151,0.995,3.507,2.278,5.035,0.904,7.2,12.711,0.244,6.58,8.2,0.032,0.565,0.017,2.45,10.69,11.31,7.026,10.710,7.235,14.186,5.455,7.013,3.897,0.061,9.07,7.65,3.121,6.88,8.574,17.986,21.438,14.535,0.883,0.138,12.065,49.144,93.398,4.889
2026-05-21 09:51:55,coot_observed.csv,0.5081872905178047924963090729,0.718,3.96,5.951,0.548,0.345,6.44,13.23,0.137,7.59,16.822,0.081,0.067,0.013,2.34,10.57,11.26,7.564,17.114,15.375,18.852,6.166,2.707,9.626,0.116,8.82,8.25,4.424,6.74,16.976,44.912,77.07,12.753,1.154,0.24,12.102,66.848,126.746,6.951
2026-05-21 09:51:55,coot_observed.csv,0.1806827673188864043617768075,0.732,0.363,2.706,5.975,0.56,7.32,7.986,0.108,7.64,27.977,0.06,0.176,0.049,2.66,11.44,11.25,6.432,2.630,3.849,1.412,6.444,8.614,4.273,0.094,9.19,8.34,5.289,6.61,20.082,38.370,58.758,17.981,1.237,0.277,12.102,46.104,85.995,6.212
2026-05-21 09:51:55,coot_observed.csv,0.5280907852045406077668207471,1.11,2.945,1.265,7.799,0.136,7.13,3.216,0.284,7.51,25.145,0.066,0.619,0.017,2.23,9.56,10.42,3.105,12.128,10.529,13.727,3.860,3.508,4.213,0.165,9.02,6.61,7.278,7.15,11.349,23.426,40.454,6.398,1.479,0.317,12.177,70.058,131.724,8.392
2026-05-21 09:51:56,coot_observed.csv,0.3316486393740574071334311327,1.127,3.625,3.706,4.343,0.177,7.42,14.182,0.345,7.64,22.418,0.078,0.542,0.05,0.61,10.69,10.48,5.709,10.741,7.921,13.561,10.438,13.886,6.989,0.086,8.02,6.13,3.473,7.15,20.665,27.944,40.784,15.105,1.305,0.156,12.226,49.480,90.803,8.158
2026-05-21 09:51:56,coot_observed.csv,0.5143484860400111062772558511,0.768,1.726,5.372,3.967,0.903,7.24,5.118,0.034,6.75,13.325,0.025,0.26,0.023,2.44,11.94,10.39,2.603,14.772,15.831,13.712,5.948,6.176,5.721,0.039,8.19,6.43,4.542,6.81,6.43,29.466,44.716,14.216,0.915,0.161,12.051,124.026,234.882,13.169
2026-05-21 09:51:56,coot_observed.csv,0.3096530558314995503652759407,0.761,2.748,4.435,1.089,0.598,6.39,7.283,0.35,6.91,7.982,0.038,0.498,0.011,0.7,11.17,10.53,7.782,13.592,15.146,12.037,2.133,2.116,2.150,0.038,9.49,6.57,7.019,6.64,16.69,11.747,16.621,6.873,1.105,0.226,12.138,64.724,118.593,10.855
2026-05-21 09:51:56,coot_observed.csv,0.3952601698526848856683225800,1.043,3.201,1.695,1.66,0.171,6.67,11.448,0.253,6.87,21.893,0.02,0.065,0.027,1.69,10.1,10.75,7.387,13.326,15.883,10.768,9.532,12.05,7.014,0.018,7.83,7.88,1.729,7.56,20.816,17.054,28.18,5.929,1.202,0.056,12.169,58.416,103.813,13.02
2026-05-21 09:51:57,coot_observed.csv,2.011989106240398856675316445,0.977,2.269,3.633,3.096,0.896,6.33,9.227,0.379,7.63,8.057,0.082,0.641,0.03,2.75,9.8,10.69,6.258,0.572,0.567,0.577,7.976,5.745,10.206,0.072,9.87,7.48,7.79,7.18,17.893,36.398,61.408,11.388,1.667,0.185,12.194,86.762,163.313,10.21
2026-05-21 09:51:57,coot_observed.csv,0.5310398929139419244381367790,1.179,3.663,2.916,4.85,0.477,6.41,5.611,0.049,7.42,17.323,0.041,0.345,0.05,0.99,10.72,10.41,4.542,15.310,17.822,12.798,8.710,4.824,12.597,0.209,7.86,6.89,1.132,7.03,15.787,26.776,38.578,14.975,1.517,0.333,12.075,109.022,207.805,10.238
