TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 15:21:53,daisy_observed.csv,0.5536385447845939405662717401,0.218,3.199,5.883,4.972,0.186,6.53,12.858,0.043,7.23,24.632,0.172,0.66,0.021,3.58,10.56,10.37,11.563,4.912,4.307,5.518,8.350,9.090,7.609,0.24,2.27,4.2,5.063,6.82,11.083,25.900,43.578,8.223,1.468,0.086,12.046,55.984,99.12,12.847
2026-05-21 15:21:54,daisy_observed.csv,0.2671058260417105935504850406,0.253,1.291,2.639,1.79,0.73,6.36,8.016,0.171,7.34,19.411,0.165,0.409,0.012,4.03,10.0,8.69,4.032,13.902,8.177,19.628,4.568,4.56,4.577,0.19,1.72,3.83,7.705,6.8,6.24,30.472,50.335,10.609,0.868,0.064,12.011,76.556,146.749,6.364
2026-05-21 15:21:54,daisy_observed.csv,4.909600683247959945878077852,0.177,1.063,0.79,3.198,0.641,7.2,7.747,0.083,6.85,16.419,0.219,0.408,0.001,5.52,8.87,8.61,11.758,13.210,19.501,6.92,9.746,11.367,8.125,0.106,1.41,3.92,2.086,7.32,17.309,21.426,28.145,14.708,1.435,0.137,12.159,84.262,162.375,6.148
2026-05-21 15:21:54,daisy_observed.csv,0.6799530895624497402378199645,0.329,2.221,2.599,5.928,0.244,7.63,4.716,0.211,7.61,6.841,0.312,0.493,0.008,6.32,9.37,10.4,8.883,10.728,11.512,9.943,5.636,8.547,2.725,0.065,2.49,3.57,6.853,6.64,7.042,9.534,1.263,17.805,1.735,0.254,12.134,114.238,219.096,9.379
2026-05-21 15:21:54,daisy_observed.csv,0.4378732571972657877141710836,0.347,1.48,2.578,0.595,0.242,6.92,3.014,0.169,7.56,25.323,0.142,0.457,0.022,3.72,9.3,11.33,7.806,7.374,6.366,8.382,5.746,8.46,3.033,0.203,11.88,3.95,5.521,6.75,20.883,12.896,11.98,13.811,0.99,0.136,12.171,81.163,149.096,13.23
2026-05-21 15:21:55,daisy_observed.csv,6.021664761319661072791316421,0.313,1.604,1.371,3.649,0.859,6.62,3.721,0.086,6.88,16.354,0.2,0.682,0.001,6.31,8.77,10.68,5.658,4.040,4.247,3.834,7.662,6.254,9.07,0.157,1.36,3.5,2.057,7.49,6.468,24.695,48.435,0.955,1.55,0.303,12.281,123.346,235.517,11.174
2026-05-21 15:21:55,daisy_observed.csv,2.068838436695291806587830458,0.165,3.71,5.791,1.382,0.94,7.28,3.716,0.166,7.05,7.425,0.257,0.167,0.0,5.15,9.0,8.57,2.107,9.216,8.309,10.123,9.417,5.875,12.959,0.039,1.62,4.76,2.334,7.06,8.931,20.761,28.641,12.881,1.584,0.116,12.191,127.586,239.798,15.373
2026-05-21 15:21:55,daisy_observed.csv,0.3922647517366653104012371965,0.103,1.737,5.832,1.949,0.771,7.57,6.381,0.017,7.59,13.295,0.241,0.435,0.033,6.31,9.29,9.8,5.079,6.440,6.209,6.672,3.290,0.601,5.978,0.138,11.93,4.1,1.277,7.19,7.958,7.522,6.015,9.028,0.959,0.274,12.066,94.740,184.94,4.539
2026-05-21 15:21:56,daisy_observed.csv,4.472390559027088790121354353,0.124,1.557,3.612,3.38,0.306,6.34,7.374,0.109,6.52,25.709,0.235,0.148,0.046,4.46,9.72,9.13,10.614,10.590,12.681,8.499,3.848,2.685,5.011,0.006,11.63,4.74,1.089,7.55,8.568,7.771,8.873,6.669,1.671,0.128,12.004,124.628,238.553,10.702
2026-05-21 15:21:56,daisy_observed.csv,4.396111919085519023918363102,0.342,0.842,0.457,6.366,0.708,6.73,5.085,0.177,7.08,16.214,0.16,0.682,0.001,3.6,11.46,8.28,11.871,11.524,5.972,17.077,6.242,7.628,4.856,0.12,2.0,3.92,5.717,6.93,8.825,22.017,43.229,0.805,1.341,0.042,12.164,71.290,138.42,4.16
