method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.202,0.1,0,0.01,0.00355819
RungeKutta4,1,0.1,0.216640,0.1,0,0.01,0.0315947
RungeKutta4,2,0.2,0.228493,0.1,0,0.01,0.0542940
RungeKutta4,3,0.3,0.238093,0.1,0,0.01,0.0726786
RungeKutta4,4,0.4,0.245868,0.1,0,0.01,0.0875682
RungeKutta4,5,0.5,0.252167,0.1,0,0.01,0.0996312
RungeKutta4,6,0.6,0.257270,0.1,0,0.01,0.109404
RungeKutta4,7,0.7,0.261407,0.1,0,0.01,0.117326
RungeKutta4,8,0.8,0.264764,0.1,0,0.01,0.123755
RungeKutta4,9,0.9,0.267495,0.1,0,0.01,0.128985
RungeKutta4,10,1.0,0.269729,0.1,0,0.01,0.133263
RungeKutta4,11,1.1,0.271577,0.1,0,0.01,0.136803
RungeKutta4,12,1.2,0.273138,0.1,0,0.01,0.139792
RungeKutta4,13,1.3,0.274506,0.1,0,0.01,0.142412
RungeKutta4,14,1.4,0.275778,0.1,0,0.01,0.144848
RungeKutta4,15,1.5,0.277060,0.1,0,0.01,0.147303
RungeKutta4,16,1.6,0.278475,0.1,0,0.01,0.150013
RungeKutta4,17,1.7,0.280171,0.1,0,0.01,0.153261
RungeKutta4,18,1.8,0.282324,0.1,0,0.01,0.157384
RungeKutta4,19,1.9,0.285147,0.1,0,0.01,0.162790
RungeKutta4,20,2.0,0.288891,0.1,0,0.01,0.169960
RungeKutta4,21,2.1,0.293843,0.1,0,0.01,0.179443
RungeKutta4,22,2.2,0.300322,0.1,0,0.01,0.191851
RungeKutta4,23,2.3,0.308668,0.1,0,0.01,0.207834
RungeKutta4,24,2.4,0.319222,0.1,0,0.01,0.228046
RungeKutta4,25,2.5,0.332307,0.1,0,0.01,0.253104
RungeKutta4,26,2.6,0.348196,0.1,0,0.01,0.283533
RungeKutta4,27,2.7,0.367084,0.1,0,0.01,0.319704
RungeKutta4,28,2.8,0.389051,0.1,0,0.01,0.361773
RungeKutta4,29,2.9,0.414040,0.1,0,0.01,0.409628
RungeKutta4,30,3.0,0.441823,0.1,0,0.01,0.462834
RungeKutta4,31,3.1,0.471997,0.1,0,0.01,0.520619
RungeKutta4,32,3.2,0.503976,0.1,0,0.01,0.581861
RungeKutta4,33,3.3,0.536993,0.1,0,0.01,0.645091
RungeKutta4,34,3.4,0.570129,0.1,0,0.01,0.708548
RungeKutta4,35,3.5,0.602341,0.1,0,0.01,0.770236
RungeKutta4,36,3.6,0.632531,0.1,0,0.01,0.828052
RungeKutta4,37,3.7,0.659603,0.1,0,0.01,0.879897
RungeKutta4,38,3.8,0.682532,0.1,0,0.01,0.923807
RungeKutta4,39,3.9,0.700581,0.1,0,0.01,0.958372
RungeKutta4,40,4.0,0.713354,0.1,0,0.01,0.982833
RungeKutta4,41,4.1,0.720607,0.1,0,0.01,0.996723
RungeKutta4,42,4.2,0.722318,0.1,0,0.01,1
RungeKutta4,43,4.3,0.719314,0.1,0,0.01,0.994247
RungeKutta4,44,4.4,0.712075,0.1,0,0.01,0.980384
RungeKutta4,45,4.5,0.700805,0.1,0,0.01,0.958801
RungeKutta4,46,4.6,0.685844,0.1,0,0.01,0.930150
RungeKutta4,47,4.7,0.667649,0.1,0,0.01,0.895305
RungeKutta4,48,4.8,0.646762,0.1,0,0.01,0.855305
RungeKutta4,49,4.9,0.623779,0.1,0,0.01,0.811292
RungeKutta4,50,5.0,0.599310,0.1,0,0.01,0.764432
RungeKutta4,51,5.1,0.573949,0.1,0,0.01,0.715864
RungeKutta4,52,5.2,0.548235,0.1,0,0.01,0.666620
RungeKutta4,53,5.3,0.522616,0.1,0,0.01,0.617558
RungeKutta4,54,5.4,0.497404,0.1,0,0.01,0.569275
RungeKutta4,55,5.5,0.472731,0.1,0,0.01,0.522025
RungeKutta4,56,5.6,0.448519,0.1,0,0.01,0.475658
RungeKutta4,57,5.7,0.424568,0.1,0,0.01,0.429790
RungeKutta4,58,5.8,0.400845,0.1,0,0.01,0.384359
RungeKutta4,59,5.9,0.377807,0.1,0,0.01,0.340240
RungeKutta4,60,6.0,0.355886,0.1,0,0.01,0.298260
RungeKutta4,61,6.1,0.333572,0.1,0,0.01,0.255527
RungeKutta4,62,6.2,0.308087,0.1,0,0.01,0.206721
RungeKutta4,63,6.3,0.282351,0.1,0,0.01,0.157435
RungeKutta4,64,6.4,0.260891,0.1,0,0.01,0.116338
RungeKutta4,65,6.5,0.244516,0.1,0,0.01,0.0849790
RungeKutta4,66,6.6,0.232389,0.1,0,0.01,0.0617550
RungeKutta4,67,6.7,0.223502,0.1,0,0.01,0.0447359
RungeKutta4,68,6.8,0.217021,0.1,0,0.01,0.0323244
