TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 15:22:56,dandelion_observed.csv,0.5317548742735705120589856295,0.026,1.197,5.398,7.664,0.664,6.67,13.496,0.096,6.68,8.42,0.028,0.299,0.027,3.2,8.89,9.65,2.895,14.856,14.986,14.725,2.625,2.23,3.02,0.035,1.99,4.35,2.306,6.61,8.832,9.537,6.758,12.316,1.261,0.065,12.157,62.596,113.343,11.849
2026-05-21 15:22:56,dandelion_observed.csv,1.122647780534264027798389945,0.185,2.644,1.545,5.249,0.371,7.37,13.321,0.007,7.56,22.96,0.081,0.38,0.033,4.73,11.21,10.78,11.797,7.412,14.069,0.754,4.326,2.164,6.487,0.128,1.82,3.75,3.193,7.57,11.458,35.635,51.725,19.545,1.259,0.275,12.278,100.016,191.057,8.974
2026-05-21 15:22:56,dandelion_observed.csv,3.469206104779965011823704073,0.316,2.69,2.901,6.68,0.145,6.29,6.168,0.053,6.97,7.246,0.016,0.115,0.016,5.01,11.07,9.38,4.714,14.588,13.855,15.320,9.881,10.582,9.18,0.086,11.96,4.04,1.892,7.02,21.654,15.410,22.48,8.34,1.58,0.309,12.208,88.865,163.402,14.328
2026-05-21 15:22:57,dandelion_observed.csv,3.502576408182718843537317610,0.336,1.261,2.734,1.037,0.587,6.7,7.287,0.057,7.27,18.372,0.077,0.429,0.039,5.22,11.42,10.66,7.003,17.866,17.578,18.154,6.548,3.022,10.075,0.064,11.7,4.92,6.893,7.19,23.59,37.352,58.29,16.413,1.708,0.318,12.134,77.548,139.8,15.296
2026-05-21 15:22:57,dandelion_observed.csv,1.075208978936163472987619490,0.234,1.872,3.268,4.808,0.371,6.87,4.86,0.075,6.95,11.824,0.041,0.548,0.016,4.19,9.35,10.35,7.534,8.352,12.527,4.178,2.740,4.237,1.243,0.234,1.63,3.8,7.638,7.51,15.292,16.732,27.524,5.939,1.603,0.302,12.102,77.627,149.417,5.837
2026-05-21 15:22:57,dandelion_observed.csv,1.311084058497487368648027666,0.179,3.631,1.089,0.178,0.937,7.04,12.467,0.009,6.62,17.317,0.002,0.328,0.007,5.26,9.11,9.62,3.095,15.706,17.17,14.241,6.122,8.279,3.966,0.24,1.74,4.2,2.253,6.96,21.595,19.100,18.7,19.501,0.878,0.268,12.205,85.534,163.342,7.726
2026-05-21 15:22:58,dandelion_observed.csv,4.200770814160018603585214184,0.166,2.055,1.364,4.926,0.412,6.9,13.134,0.079,6.88,17.945,0.034,0.158,0.032,2.82,10.33,11.13,7.463,13.951,11.7,16.202,1.711,2.065,1.357,0.102,2.29,4.74,4.21,7.51,20.321,29.543,42.711,16.375,1.614,0.148,12.076,114.848,217.955,11.741
2026-05-21 15:22:58,dandelion_observed.csv,1.029110164553511911390571902,0.103,3.938,1.497,0.276,0.764,6.4,4.23,0.091,7.45,12.451,0.042,0.222,0.015,3.48,11.1,10.7,10.485,8.985,8.769,9.201,2.895,0.469,5.321,0.101,11.78,4.91,4.644,7.27,21.132,8.184,6.073,10.295,1.187,0.056,12.204,104.236,194.87,13.603
2026-05-21 15:22:58,dandelion_observed.csv,0.7823459341014763201410209253,0.288,1.254,4.666,3.955,0.344,6.82,5.658,0.037,6.52,23.506,0.08,0.404,0.006,3.01,9.79,9.73,8.392,12.957,18.836,7.078,8.931,13.312,4.55,0.105,1.78,3.84,2.401,7.53,6.346,6.452,3.183,9.722,0.982,0.012,12.258,69.030,129.988,8.072
2026-05-21 15:22:59,dandelion_observed.csv,3.204802773650209100976444860,0.211,2.4,5.8,5.092,0.32,7.74,13.198,0.034,6.52,19.975,0.069,0.005,0.041,3.27,10.75,10.41,5.938,13.882,18.492,9.271,4.872,2.742,7.002,0.165,1.4,3.66,6.566,7.04,12.586,32.850,62.72,2.981,1.429,0.125,12.264,93.498,181.017,5.979
2026-05-21 15:22:59,dandelion_observed.csv,1.447968811593821634567452278,0.29,1.762,2.943,2.812,0.625,6.53,11.068,0.061,6.54,20.927,0.089,0.291,0.036,3.61,8.9,9.69,8.511,14.365,12.351,16.379,6.772,6.356,7.188,0.143,2.23,4.84,1.526,7.57,15.917,19.139,21.158,17.12,1.026,0.205,12.078,53.500,94.026,12.974
2026-05-21 15:22:59,dandelion_observed.csv,0.8785917479607078600131426427,0.013,2.278,5.733,6.722,0.667,7.26,3.75,0.055,7.3,27.777,0.006,0.026,0.008,4.67,11.2,10.47,2.469,8.369,11.198,5.54,6.410,2.641,10.179,0.139,2.06,4.98,3.585,6.8,8.161,32.861,64.806,0.916,0.907,0.208,12.272,51.034,88.366,13.703
