method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.058,0.1,0,0.01,0.0199014
RungeKutta4,1,0.1,0.0631214,0.1,0,0.01,0.0293439
RungeKutta4,2,0.2,0.0673342,0.1,0,0.01,0.0371111
RungeKutta4,3,0.3,0.0708047,0.1,0,0.01,0.0435098
RungeKutta4,4,0.4,0.0736660,0.1,0,0.01,0.0487853
RungeKutta4,5,0.5,0.0760284,0.1,0,0.01,0.0531409
RungeKutta4,6,0.6,0.0779849,0.1,0,0.01,0.0567481
RungeKutta4,7,0.7,0.0796160,0.1,0,0.01,0.0597554
RungeKutta4,8,0.8,0.0809942,0.1,0,0.01,0.0622965
RungeKutta4,9,0.9,0.0821890,0.1,0,0.01,0.0644994
RungeKutta4,10,1.0,0.0832721,0.1,0,0.01,0.0664963
RungeKutta4,11,1.1,0.0843240,0.1,0,0.01,0.0684357
RungeKutta4,12,1.2,0.0854405,0.1,0,0.01,0.0704942
RungeKutta4,13,1.3,0.0867409,0.1,0,0.01,0.0728918
RungeKutta4,14,1.4,0.0883756,0.1,0,0.01,0.0759058
RungeKutta4,15,1.5,0.0905343,0.1,0,0.01,0.0798858
RungeKutta4,16,1.6,0.0934519,0.1,0,0.01,0.0852651
RungeKutta4,17,1.7,0.0974129,0.1,0,0.01,0.0925681
RungeKutta4,18,1.8,0.102751,0.1,0,0.01,0.102410
RungeKutta4,19,1.9,0.109842,0.1,0,0.01,0.115484
RungeKutta4,20,2.0,0.119093,0.1,0,0.01,0.132540
RungeKutta4,21,2.1,0.130921,0.1,0,0.01,0.154348
RungeKutta4,22,2.2,0.145722,0.1,0,0.01,0.181637
RungeKutta4,23,2.3,0.163837,0.1,0,0.01,0.215036
RungeKutta4,24,2.4,0.185514,0.1,0,0.01,0.255002
RungeKutta4,25,2.5,0.210861,0.1,0,0.01,0.301736
RungeKutta4,26,2.6,0.239812,0.1,0,0.01,0.355113
RungeKutta4,27,2.7,0.272088,0.1,0,0.01,0.414622
RungeKutta4,28,2.8,0.307187,0.1,0,0.01,0.479335
RungeKutta4,29,2.9,0.344373,0.1,0,0.01,0.547895
RungeKutta4,30,3.0,0.382700,0.1,0,0.01,0.618560
RungeKutta4,31,3.1,0.421058,0.1,0,0.01,0.689282
RungeKutta4,32,3.2,0.458196,0.1,0,0.01,0.757754
RungeKutta4,33,3.3,0.492812,0.1,0,0.01,0.821577
RungeKutta4,34,3.4,0.523622,0.1,0,0.01,0.878382
RungeKutta4,35,3.5,0.549443,0.1,0,0.01,0.925989
RungeKutta4,36,3.6,0.569412,0.1,0,0.01,0.962806
RungeKutta4,37,3.7,0.582911,0.1,0,0.01,0.987695
RungeKutta4,38,3.8,0.589585,0.1,0,0.01,1
RungeKutta4,39,3.9,0.589450,0.1,0,0.01,0.999751
RungeKutta4,40,4.0,0.583392,0.1,0,0.01,0.988582
RungeKutta4,41,4.1,0.571733,0.1,0,0.01,0.967086
RungeKutta4,42,4.2,0.554945,0.1,0,0.01,0.936133
RungeKutta4,43,4.3,0.533682,0.1,0,0.01,0.896930
RungeKutta4,44,4.4,0.508733,0.1,0,0.01,0.850931
RungeKutta4,45,4.5,0.480966,0.1,0,0.01,0.799736
RungeKutta4,46,4.6,0.451276,0.1,0,0.01,0.744996
RungeKutta4,47,4.7,0.420539,0.1,0,0.01,0.688325
RungeKutta4,48,4.8,0.389564,0.1,0,0.01,0.631215
RungeKutta4,49,4.9,0.359066,0.1,0,0.01,0.574985
RungeKutta4,50,5.0,0.329642,0.1,0,0.01,0.520736
RungeKutta4,51,5.1,0.301763,0.1,0,0.01,0.469334
RungeKutta4,52,5.2,0.275770,0.1,0,0.01,0.421410
RungeKutta4,53,5.3,0.251882,0.1,0,0.01,0.377367
RungeKutta4,54,5.4,0.230204,0.1,0,0.01,0.337399
RungeKutta4,55,5.5,0.210742,0.1,0,0.01,0.301516
RungeKutta4,56,5.6,0.193408,0.1,0,0.01,0.269557
RungeKutta4,57,5.7,0.178008,0.1,0,0.01,0.241163
RungeKutta4,58,5.8,0.164188,0.1,0,0.01,0.215683
RungeKutta4,59,5.9,0.151318,0.1,0,0.01,0.191954
RungeKutta4,60,6.0,0.138283,0.1,0,0.01,0.167922
RungeKutta4,61,6.1,0.123429,0.1,0,0.01,0.140535
RungeKutta4,62,6.2,0.106995,0.1,0,0.01,0.110235
RungeKutta4,63,6.3,0.0921274,0.1,0,0.01,0.0828231
RungeKutta4,64,6.4,0.0803785,0.1,0,0.01,0.0611613
RungeKutta4,65,6.5,0.0715491,0.1,0,0.01,0.0448823
