TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:54:58,dunnock_observed.csv,0.8397161177808355362677951093,0.664,2.839,2.613,2.248,0.163,6.47,4.554,0.026,7.02,12.243,0.414,0.054,0.018,2.4,11.08,10.66,6.381,3.793,6.114,1.472,8.450,11.736,5.165,0.176,9.83,6.24,4.746,7.5,13.218,15.060,26.748,3.372,1.289,0.165,12.171,84.336,163.292,5.381
2026-05-21 09:54:58,dunnock_observed.csv,0.7283459349032282807922552943,0.734,2.572,0.869,2.804,0.896,7.51,9.809,0.043,7.25,26.125,0.073,0.109,0.042,3.56,10.56,11.14,9.754,11.561,6.562,16.56,9.624,6.938,12.311,0.06,7.67,8.19,7.368,7.16,20.616,18.924,21.705,16.143,1.339,0.191,12.086,113.804,221.239,6.369
2026-05-21 09:54:59,dunnock_observed.csv,0.3319565398367928603681807989,0.974,1.556,5.857,3.701,0.66,6.86,15.723,0.087,7.46,26.703,0.306,0.22,0.004,2.21,1.21,11.25,8.804,11.130,11.701,10.559,5.178,4.896,5.461,0.079,8.44,6.78,2.491,7.18,10.393,41.770,67.537,16.003,1.117,0.202,12.283,52.405,96.123,8.687
2026-05-21 09:54:59,dunnock_observed.csv,0.2094382136194949620080504662,0.646,3.161,0.314,7.941,0.553,7.45,13.895,0.075,7.37,26.818,0.307,0.375,0.008,2.82,11.21,10.53,5.249,9.609,8.225,10.993,7.992,4.742,11.242,0.029,8.75,7.72,1.768,7.55,16.98,30.448,50.524,10.373,0.833,0.288,12.23,108.466,203.124,13.809
2026-05-21 09:54:59,dunnock_observed.csv,0.6280300096750630660574399000,0.971,2.68,2.68,0.579,0.727,7.44,11.209,0.09,6.84,25.034,0.293,0.167,0.015,2.96,10.53,10.57,8.438,4.949,7.633,2.265,6.048,3.02,9.077,0.19,9.14,7.48,3.83,7.48,6.223,7.724,5.241,10.208,1.427,0.239,12.056,87.837,168.954,6.72
2026-05-21 09:54:59,dunnock_observed.csv,0.1403482232350812611998411412,1.112,0.822,2.995,2.699,0.89,6.89,4.733,0.044,7.19,25.118,0.347,0.521,0.048,3.71,1.39,10.3,2.363,4.270,3.76,4.781,7.532,3.977,11.088,0.202,7.9,7.88,6.571,7.26,21.57,11.500,5.434,17.567,0.976,0.209,12.151,72.672,136.124,9.22
2026-05-21 09:55:00,dunnock_observed.csv,0.1886404985187789816649240292,0.979,3.347,3.303,5.47,0.568,7.0,8.134,0.056,6.6,12.955,0.119,0.406,0.028,2.78,11.94,11.41,7.781,1.536,2.714,0.357,7.024,5.996,8.051,0.019,10.24,6.2,2.536,6.68,17.216,8.353,5.458,11.248,1.082,0.299,12.043,47.894,83.368,12.42
2026-05-21 09:55:00,dunnock_observed.csv,1.014370628842975504252194813,1.055,1.053,1.571,2.995,0.363,6.87,13.59,0.097,7.12,21.244,0.422,0.672,0.01,3.37,11.11,10.61,2.122,4.046,7.059,1.032,8.946,11.996,5.897,0.232,10.38,7.97,4.977,6.85,18.478,5.162,2.914,7.41,1.548,0.215,12.086,76.623,148.245,5.001
2026-05-21 09:55:00,dunnock_observed.csv,0.3472858148836860656267867046,0.654,1.378,1.781,1.202,0.593,7.21,6.315,0.085,7.07,19.087,0.359,0.441,0.044,2.81,10.96,11.37,6.026,17.390,14.843,19.938,7.458,12.96,1.955,0.126,9.89,6.37,7.752,6.79,15.409,17.156,29.709,4.603,1.477,0.06,12.208,104.486,203.057,5.916
2026-05-21 09:55:01,dunnock_observed.csv,0.1617603516506061910154091820,0.916,2.192,5.628,1.597,0.712,6.88,9.928,0.082,7.32,10.68,0.071,0.409,0.015,3.64,11.99,11.25,3.841,9.190,2.367,16.012,8.134,6.082,10.186,0.2,7.99,8.07,7.914,6.66,20.756,20.418,33.771,7.064,1.293,0.308,12.112,98.646,188.958,8.335
