method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.792,0.1,0,0.01,1
RungeKutta4,1,0.1,0.705907,0.1,0,0.01,0.877123
RungeKutta4,2,0.2,0.637207,0.1,0,0.01,0.779070
RungeKutta4,3,0.3,0.582560,0.1,0,0.01,0.701075
RungeKutta4,4,0.4,0.539320,0.1,0,0.01,0.639360
RungeKutta4,5,0.5,0.505404,0.1,0,0.01,0.590953
RungeKutta4,6,0.6,0.479191,0.1,0,0.01,0.553540
RungeKutta4,7,0.7,0.459428,0.1,0,0.01,0.525333
RungeKutta4,8,0.8,0.445163,0.1,0,0.01,0.504973
RungeKutta4,9,0.9,0.435684,0.1,0,0.01,0.491444
RungeKutta4,10,1.0,0.430468,0.1,0,0.01,0.484000
RungeKutta4,11,1.1,0.429136,0.1,0,0.01,0.482099
RungeKutta4,12,1.2,0.431346,0.1,0,0.01,0.485253
RungeKutta4,13,1.3,0.436874,0.1,0,0.01,0.493143
RungeKutta4,14,1.4,0.445580,0.1,0,0.01,0.505568
RungeKutta4,15,1.5,0.457326,0.1,0,0.01,0.522333
RungeKutta4,16,1.6,0.471955,0.1,0,0.01,0.543212
RungeKutta4,17,1.7,0.489267,0.1,0,0.01,0.567921
RungeKutta4,18,1.8,0.509000,0.1,0,0.01,0.596085
RungeKutta4,19,1.9,0.530824,0.1,0,0.01,0.627234
RungeKutta4,20,2.0,0.554332,0.1,0,0.01,0.660786
RungeKutta4,21,2.1,0.579037,0.1,0,0.01,0.696046
RungeKutta4,22,2.2,0.604380,0.1,0,0.01,0.732217
RungeKutta4,23,2.3,0.629746,0.1,0,0.01,0.768421
RungeKutta4,24,2.4,0.654478,0.1,0,0.01,0.803720
RungeKutta4,25,2.5,0.677901,0.1,0,0.01,0.837151
RungeKutta4,26,2.6,0.699352,0.1,0,0.01,0.867767
RungeKutta4,27,2.7,0.718202,0.1,0,0.01,0.894671
RungeKutta4,28,2.8,0.733891,0.1,0,0.01,0.917063
RungeKutta4,29,2.9,0.745936,0.1,0,0.01,0.934255
RungeKutta4,30,3.0,0.753960,0.1,0,0.01,0.945707
RungeKutta4,31,3.1,0.757720,0.1,0,0.01,0.951074
RungeKutta4,32,3.2,0.757087,0.1,0,0.01,0.950170
RungeKutta4,33,3.3,0.752014,0.1,0,0.01,0.942930
RungeKutta4,34,3.4,0.742721,0.1,0,0.01,0.929666
RungeKutta4,35,3.5,0.729561,0.1,0,0.01,0.910883
RungeKutta4,36,3.6,0.712994,0.1,0,0.01,0.887238
RungeKutta4,37,3.7,0.693563,0.1,0,0.01,0.859505
RungeKutta4,38,3.8,0.671867,0.1,0,0.01,0.828539
