TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:59:12,greenfinch_observed.csv,2.021149560929253721222827712,0.274,1.391,0.132,4.381,0.061,6.64,3.23,0.062,7.61,20.363,0.02,0.538,0.015,2.51,11.89,9.47,8.329,11.431,6.266,16.596,2.781,0.985,4.577,0.219,6.63,5.45,7.052,7.19,7.477,27.566,35.581,19.551,1.645,0.174,12.268,49.480,89.354,9.606
2026-05-21 09:59:12,greenfinch_observed.csv,0.3081532492775376477863827841,0.068,0.629,4.642,1.551,0.029,7.56,12.381,0.003,6.76,21.712,0.03,0.683,0.046,4.03,11.14,10.61,11.584,11.136,6.315,15.956,4.692,8.262,1.122,0.018,8.6,7.31,4.303,7.49,7.789,3.452,3.711,3.193,1.572,0.189,12.142,93.062,181.863,4.261
2026-05-21 09:59:12,greenfinch_observed.csv,2.105926561192633821244440202,0.136,2.144,3.699,3.68,0.135,7.01,10.904,0.023,7.58,20.38,0.036,0.104,0.042,3.86,11.19,11.08,2.262,16.229,16.572,15.886,10.542,10.566,10.517,0.156,7.34,6.18,3.404,6.94,15.881,43.458,75.531,11.384,1.312,0.186,12.158,46.589,86.123,7.055
2026-05-21 09:59:13,greenfinch_observed.csv,0.8725046285153389464787370092,0.191,2.424,5.044,3.756,0.878,7.23,7.577,0.184,7.37,14.185,0.021,0.572,0.033,2.79,10.61,11.21,2.127,10.251,13.141,7.361,3.726,2.741,4.712,0.052,8.82,7.45,4.091,7.58,21.242,14.356,24.856,3.856,1.616,0.336,12.138,97.143,187.112,7.174
2026-05-21 09:59:13,greenfinch_observed.csv,1.342925904230097250381761569,0.408,0.872,0.912,3.78,0.353,6.78,14.985,0.133,6.52,18.134,0.033,0.414,0.048,4.41,11.78,11.49,7.147,5.634,3.754,7.513,5.626,0.609,10.644,0.011,6.52,6.14,1.947,6.97,16.937,39.447,66.334,12.56,1.104,0.261,12.087,49.872,90.25,9.493
2026-05-21 09:59:13,greenfinch_observed.csv,1.313075623969806820918002573,0.398,3.595,0.552,0.758,0.452,6.85,13.055,0.189,7.56,13.417,0.087,0.351,0.042,3.12,11.01,10.89,2.498,13.462,12.059,14.866,8.598,10.236,6.961,0.153,7.0,5.97,6.332,7.48,16.952,41.044,70.955,11.134,1.308,0.261,12.024,104.446,202.363,6.53
2026-05-21 09:59:14,greenfinch_observed.csv,0.3352358714765904231151651337,0.012,1.994,0.896,7.603,0.579,6.61,3.744,0.043,6.74,7.757,0.019,0.125,0.041,4.44,10.84,9.71,7.647,11.066,17.452,4.68,5.064,6.709,3.419,0.143,8.85,5.49,4.133,6.66,15.664,1.606,2.761,0.452,1.197,0.041,12.082,61.012,107.171,14.852
2026-05-21 09:59:14,greenfinch_observed.csv,1.233819623545062556188509340,0.156,2.149,2.924,0.241,0.684,6.66,5.707,0.203,6.7,18.877,0.042,0.364,0.021,2.69,1.41,10.42,3.102,13.137,15.031,11.243,7.534,8.365,6.702,0.243,7.49,6.49,1.704,6.66,8.249,42.358,66.809,17.907,1.663,0.024,12.293,66.631,119.993,13.269
2026-05-21 09:59:14,greenfinch_observed.csv,0.1339388589203009087344550865,0.016,3.745,1.997,2.023,0.272,7.31,6.677,0.17,6.93,19.044,0.036,0.49,0.035,3.48,11.98,9.53,11.058,7.592,12.884,2.299,9.821,7.731,11.911,0.006,7.92,7.37,2.359,7.17,17.316,47.578,76.529,18.626,0.849,0.051,12.017,96.630,186.541,6.718
2026-05-21 09:59:15,greenfinch_observed.csv,6.187198630215579603148977229,0.398,2.87,0.906,5.059,0.552,7.27,3.688,0.037,7.32,23.807,0.033,0.094,0.032,3.85,11.09,10.54,9.584,8.635,5.804,11.466,2.762,0.662,4.863,0.147,7.39,7.14,5.79,6.99,13.443,31.882,50.199,13.566,1.742,0.104,12.221,102.592,200.647,4.536
