method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.142,0.1,0,0.01,0.224342
RungeKutta4,1,0.1,0.145744,0.1,0,0.01,0.230257
RungeKutta4,2,0.2,0.149039,0.1,0,0.01,0.235462
RungeKutta4,3,0.3,0.152028,0.1,0,0.01,0.240185
RungeKutta4,4,0.4,0.154862,0.1,0,0.01,0.244662
RungeKutta4,5,0.5,0.157711,0.1,0,0.01,0.249163
RungeKutta4,6,0.6,0.160771,0.1,0,0.01,0.253997
RungeKutta4,7,0.7,0.164269,0.1,0,0.01,0.259524
RungeKutta4,8,0.8,0.168469,0.1,0,0.01,0.266159
RungeKutta4,9,0.9,0.173674,0.1,0,0.01,0.274383
RungeKutta4,10,1.0,0.180221,0.1,0,0.01,0.284726
RungeKutta4,11,1.1,0.188474,0.1,0,0.01,0.297765
RungeKutta4,12,1.2,0.198809,0.1,0,0.01,0.314093
RungeKutta4,13,1.3,0.211593,0.1,0,0.01,0.334290
RungeKutta4,14,1.4,0.227155,0.1,0,0.01,0.358876
RungeKutta4,15,1.5,0.245754,0.1,0,0.01,0.388260
RungeKutta4,16,1.6,0.267546,0.1,0,0.01,0.422688
RungeKutta4,17,1.7,0.292551,0.1,0,0.01,0.462193
RungeKutta4,18,1.8,0.320618,0.1,0,0.01,0.506535
RungeKutta4,19,1.9,0.351412,0.1,0,0.01,0.555186
RungeKutta4,20,2.0,0.384399,0.1,0,0.01,0.607301
RungeKutta4,21,2.1,0.418850,0.1,0,0.01,0.661729
RungeKutta4,22,2.2,0.453870,0.1,0,0.01,0.717056
RungeKutta4,23,2.3,0.488426,0.1,0,0.01,0.771650
RungeKutta4,24,2.4,0.521412,0.1,0,0.01,0.823764
RungeKutta4,25,2.5,0.551705,0.1,0,0.01,0.871623
RungeKutta4,26,2.6,0.578226,0.1,0,0.01,0.913523
RungeKutta4,27,2.7,0.600111,0.1,0,0.01,0.948098
RungeKutta4,28,2.8,0.616772,0.1,0,0.01,0.974420
RungeKutta4,29,2.9,0.627794,0.1,0,0.01,0.991834
RungeKutta4,30,3.0,0.632963,0.1,0,0.01,1
RungeKutta4,31,3.1,0.631999,0.1,0,0.01,0.998477
RungeKutta4,32,3.2,0.624127,0.1,0,0.01,0.986040
RungeKutta4,33,3.3,0.609996,0.1,0,0.01,0.963715
