method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.386,0.1,0,0.01,0.367365
RungeKutta4,1,0.1,0.369903,0.1,0,0.01,0.344241
RungeKutta4,2,0.2,0.357006,0.1,0,0.01,0.325714
RungeKutta4,3,0.3,0.346701,0.1,0,0.01,0.310910
RungeKutta4,4,0.4,0.338510,0.1,0,0.01,0.299144
RungeKutta4,5,0.5,0.332062,0.1,0,0.01,0.289881
RungeKutta4,6,0.6,0.327077,0.1,0,0.01,0.282720
RungeKutta4,7,0.7,0.323357,0.1,0,0.01,0.277376
RungeKutta4,8,0.8,0.320774,0.1,0,0.01,0.273665
RungeKutta4,9,0.9,0.319264,0.1,0,0.01,0.271496
RungeKutta4,10,1.0,0.318825,0.1,0,0.01,0.270865
RungeKutta4,11,1.1,0.319583,0.1,0,0.01,0.271954
RungeKutta4,12,1.2,0.321685,0.1,0,0.01,0.274974
RungeKutta4,13,1.3,0.325268,0.1,0,0.01,0.280121
RungeKutta4,14,1.4,0.330517,0.1,0,0.01,0.287661
RungeKutta4,15,1.5,0.337649,0.1,0,0.01,0.297907
RungeKutta4,16,1.6,0.346902,0.1,0,0.01,0.311199
RungeKutta4,17,1.7,0.358517,0.1,0,0.01,0.327885
RungeKutta4,18,1.8,0.372720,0.1,0,0.01,0.348288
RungeKutta4,19,1.9,0.389700,0.1,0,0.01,0.372680
RungeKutta4,20,2.0,0.409586,0.1,0,0.01,0.401247
RungeKutta4,21,2.1,0.432429,0.1,0,0.01,0.434062
RungeKutta4,22,2.2,0.458172,0.1,0,0.01,0.471043
RungeKutta4,23,2.3,0.486645,0.1,0,0.01,0.511946
RungeKutta4,24,2.4,0.517542,0.1,0,0.01,0.556330
RungeKutta4,25,2.5,0.550423,0.1,0,0.01,0.603565
RungeKutta4,26,2.6,0.584715,0.1,0,0.01,0.652827
RungeKutta4,27,2.7,0.619720,0.1,0,0.01,0.703113
RungeKutta4,28,2.8,0.654641,0.1,0,0.01,0.753279
RungeKutta4,29,2.9,0.688598,0.1,0,0.01,0.802059
RungeKutta4,30,3.0,0.720684,0.1,0,0.01,0.848152
RungeKutta4,31,3.1,0.749983,0.1,0,0.01,0.890241
RungeKutta4,32,3.2,0.775630,0.1,0,0.01,0.927084
RungeKutta4,33,3.3,0.796841,0.1,0,0.01,0.957555
RungeKutta4,34,3.4,0.812852,0.1,0,0.01,0.980555
RungeKutta4,35,3.5,0.822877,0.1,0,0.01,0.994956
RungeKutta4,36,3.6,0.826388,0.1,0,0.01,1
RungeKutta4,37,3.7,0.823515,0.1,0,0.01,0.995873
RungeKutta4,38,3.8,0.814618,0.1,0,0.01,0.983092
RungeKutta4,39,3.9,0.799919,0.1,0,0.01,0.961976
RungeKutta4,40,4.0,0.779896,0.1,0,0.01,0.933212
RungeKutta4,41,4.1,0.755242,0.1,0,0.01,0.897796
RungeKutta4,42,4.2,0.726806,0.1,0,0.01,0.856946
RungeKutta4,43,4.3,0.695535,0.1,0,0.01,0.812024
RungeKutta4,44,4.4,0.662407,0.1,0,0.01,0.764435
RungeKutta4,45,4.5,0.628390,0.1,0,0.01,0.715568
RungeKutta4,46,4.6,0.594382,0.1,0,0.01,0.666714
RungeKutta4,47,4.7,0.561172,0.1,0,0.01,0.619007
RungeKutta4,48,4.8,0.529423,0.1,0,0.01,0.573398
RungeKutta4,49,4.9,0.499650,0.1,0,0.01,0.530628
RungeKutta4,50,5.0,0.472219,0.1,0,0.01,0.491222
RungeKutta4,51,5.1,0.447355,0.1,0,0.01,0.455504
RungeKutta4,52,5.2,0.425155,0.1,0,0.01,0.423613
RungeKutta4,53,5.3,0.405607,0.1,0,0.01,0.395531
RungeKutta4,54,5.4,0.388614,0.1,0,0.01,0.371120
RungeKutta4,55,5.5,0.374010,0.1,0,0.01,0.350141
RungeKutta4,56,5.6,0.361584,0.1,0,0.01,0.332290
RungeKutta4,57,5.7,0.351091,0.1,0,0.01,0.317217
RungeKutta4,58,5.8,0.342256,0.1,0,0.01,0.304525
RungeKutta4,59,5.9,0.334759,0.1,0,0.01,0.293755
RungeKutta4,60,6.0,0.328190,0.1,0,0.01,0.284319
RungeKutta4,61,6.1,0.321933,0.1,0,0.01,0.275330
RungeKutta4,62,6.2,0.314821,0.1,0,0.01,0.265113
RungeKutta4,63,6.3,0.305106,0.1,0,0.01,0.251157
RungeKutta4,64,6.4,0.292997,0.1,0,0.01,0.233762
RungeKutta4,65,6.5,0.281408,0.1,0,0.01,0.217114
RungeKutta4,66,6.6,0.272196,0.1,0,0.01,0.203881
RungeKutta4,67,6.7,0.265462,0.1,0,0.01,0.194207
RungeKutta4,68,6.8,0.260684,0.1,0,0.01,0.187344
RungeKutta4,69,6.9,0.257296,0.1,0,0.01,0.182477
RungeKutta4,70,7.0,0.254816,0.1,0,0.01,0.178914
