TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:03:27,house_sparrow_observed.csv,2.724526894507295486920413572,0.685,2.955,1.308,7.328,0.185,6.41,9.606,0.12,7.55,21.004,0.537,0.002,0.022,4.05,1.04,11.42,7.52,12.652,14.916,10.387,8.232,9.146,7.318,0.048,9.7,8.93,7.555,7.12,22.513,17.678,19.299,16.058,1.557,0.176,12.124,107.850,207.454,8.247
2026-05-21 10:03:27,house_sparrow_observed.csv,0.1484884381266280729204068737,0.852,3.957,4.707,5.37,0.437,7.68,12.071,0.04,6.65,15.076,0.336,0.476,0.039,4.85,10.61,11.42,2.152,11.993,15.228,8.758,9.839,9.179,10.499,0.191,10.67,9.02,1.161,6.61,6.908,17.456,18.993,15.918,1.408,0.223,12.299,71.569,135.322,7.816
2026-05-21 10:03:27,house_sparrow_observed.csv,0.1648242023024253402108496923,0.601,2.736,2.387,0.112,0.628,7.69,8.99,0.411,6.89,10.57,0.523,0.459,0.04,4.82,10.86,11.35,4.665,6.790,0.395,13.185,5.699,10.61,0.788,0.067,10.81,8.49,7.03,7.58,21.283,24.140,35.691,12.589,1.196,0.085,12.29,111.764,216.372,7.157
2026-05-21 10:03:28,house_sparrow_observed.csv,0.5422242737320122896983278076,0.784,3.382,1.607,6.367,0.571,6.61,8.555,0.081,6.62,21.137,0.121,0.3,0.045,4.19,11.25,11.49,3.031,14.278,12.374,16.183,5.760,5.803,5.716,0.003,8.59,8.2,4.223,6.77,7.755,29.832,51.488,8.176,1.128,0.2,12.258,116.128,224.068,8.187
2026-05-21 10:03:28,house_sparrow_observed.csv,0.4608685167808480061982029803,0.746,3.734,2.791,4.897,0.7,6.31,12.376,0.433,7.45,23.335,0.513,0.709,0.023,3.57,1.06,11.27,6.287,5.421,7.836,3.006,2.490,2.343,2.637,0.176,9.77,9.18,4.313,6.62,15.841,18.368,31.811,4.924,0.927,0.282,12.183,55.330,104.593,6.066
2026-05-21 10:03:28,house_sparrow_observed.csv,1.779663324522145785081329857,0.776,3.518,3.0,5.35,0.154,7.75,12.22,0.278,7.19,20.091,0.562,0.042,0.023,4.36,10.92,11.47,8.383,17.066,17.931,16.201,10.113,12.64,7.586,0.124,10.36,7.12,6.503,7.45,14.892,28.248,45.997,10.5,1.548,0.153,12.183,98.818,187.033,10.602
2026-05-21 10:03:29,house_sparrow_observed.csv,0.1786954636539355482236869552,0.928,2.236,1.916,2.358,0.359,7.28,8.119,0.236,6.88,10.679,0.366,0.536,0.011,5.78,11.84,11.42,7.86,8.647,10.175,7.119,3.434,2.442,4.426,0.147,10.98,8.14,1.98,7.24,23.519,18.026,32.592,3.459,1.307,0.097,12.131,124.138,232.92,15.357
2026-05-21 10:03:29,house_sparrow_observed.csv,0.7181085396134733903901184228,0.699,2.779,2.304,2.225,0.159,7.1,7.326,0.009,6.6,17.981,0.367,0.502,0.03,3.76,11.42,11.49,11.976,2.274,0.768,3.779,12.492,12.354,12.630,0.115,10.05,7.92,2.758,7.06,11.482,6.818,3.048,10.588,1.292,0.344,12.097,86.465,164.375,8.555
2026-05-21 10:03:29,house_sparrow_observed.csv,1.421084658626365926240374602,0.952,0.686,0.443,0.994,0.144,7.72,8.812,0.075,6.58,7.099,0.208,0.164,0.036,5.06,11.68,11.48,3.99,7.681,6.936,8.426,2.846,2.723,2.968,0.208,11.38,8.63,4.028,7.18,13.177,11.199,14.458,7.94,1.607,0.128,12.067,45.102,85.722,4.481
2026-05-21 10:03:29,house_sparrow_observed.csv,0.5430611995653474029424307589,0.59,3.345,3.008,2.905,0.87,6.76,6.75,0.235,7.18,10.674,0.487,0.015,0.026,3.93,11.63,11.37,2.427,14.272,9.999,18.544,12.380,11.279,13.481,0.006,8.91,8.65,2.516,6.74,8.083,47.095,79.132,15.058,1.24,0.158,12.267,105.480,202.941,8.019
2026-05-21 10:03:30,house_sparrow_observed.csv,2.887335829469925913664998089,0.999,3.147,5.752,5.425,0.942,7.5,11.662,0.049,7.48,24.632,0.402,0.546,0.024,3.81,1.19,11.37,9.7,3.424,3.393,3.455,6.828,2.738,10.919,0.219,11.03,9.13,5.664,7.3,6.089,34.898,51.464,18.332,1.737,0.058,12.119,61.864,111.373,12.354
2026-05-21 10:03:30,house_sparrow_observed.csv,0.2015867293583720191871934873,0.947,3.39,4.771,6.813,0.231,7.28,4.582,0.344,7.55,13.084,0.605,0.514,0.034,6.3,1.39,11.43,9.895,8.713,9.321,8.105,7.239,7.019,7.459,0.195,10.56,7.28,7.811,6.71,22.07,44.732,71.459,18.004,1.639,0.046,12.117,84.743,162.586,6.9
2026-05-21 10:03:30,house_sparrow_observed.csv,0.3172107054301832470419240524,0.72,0.535,2.053,7.326,0.232,7.72,13.767,0.217,7.32,6.696,0.364,0.517,0.01,5.22,11.29,11.48,5.967,12.355,8.8,15.91,1.902,1.379,2.426,0.153,10.09,9.08,5.379,6.66,6.079,41.710,63.511,19.908,1.49,0.062,12.014,60.313,105.591,15.035
2026-05-21 10:03:31,house_sparrow_observed.csv,0.2443767492048126926456724193,0.978,0.368,1.054,1.982,0.048,6.95,15.443,0.28,7.38,9.064,0.463,0.379,0.024,6.39,11.86,11.38,9.813,7.979,9.697,6.261,9.448,6.678,12.217,0.056,11.18,9.44,4.231,7.59,18.022,16.531,21.424,11.638,0.851,0.051,12.061,46.955,86.899,7.011
2026-05-21 10:03:31,house_sparrow_observed.csv,0.1822978132274307874497488737,0.998,3.945,0.547,3.69,0.395,7.73,10.356,0.227,6.79,27.046,0.44,0.454,0.024,4.59,1.28,11.38,10.694,8.600,16.035,1.165,6.748,8.737,4.76,0.103,8.66,7.72,6.223,7.21,23.293,16.737,23.133,10.341,0.857,0.103,12.276,60.979,115.018,6.94
2026-05-21 10:03:31,house_sparrow_observed.csv,0.7515324066013848619636041811,0.425,3.567,2.372,5.05,0.037,7.01,13.477,0.274,7.47,26.696,0.404,0.023,0.042,3.84,10.78,11.32,9.673,15.872,12.788,18.956,11.476,9.612,13.341,0.003,8.57,8.64,1.325,7.11,6.957,44.641,74.801,14.481,1.614,0.023,12.061,116.888,227.153,6.623
2026-05-21 10:03:32,house_sparrow_observed.csv,0.2813710765426322431917863034,0.906,0.881,2.811,7.807,0.928,7.0,8.217,0.275,6.74,19.116,0.514,0.078,0.009,3.91,11.49,11.35,3.84,9.774,8.339,11.21,4.538,4.103,4.974,0.213,9.28,7.18,5.338,7.27,20.844,25.918,36.425,15.411,0.915,0.059,12.298,65.132,115.406,14.859
2026-05-21 10:03:32,house_sparrow_observed.csv,0.3468735057945406137341933369,0.912,1.39,1.404,3.393,0.287,7.09,9.945,0.108,7.38,18.809,0.467,0.308,0.012,5.5,11.99,11.33,5.09,9.281,14.809,3.753,8.282,6.5,10.064,0.009,11.06,8.05,2.167,7.49,21.569,42.614,73.744,11.484,1.202,0.332,12.282,73.090,139.195,6.985
2026-05-21 10:03:32,house_sparrow_observed.csv,0.2330155095643141549266275283,0.498,2.287,1.987,3.683,0.251,7.27,3.357,0.392,7.09,11.958,0.221,0.302,0.048,3.55,11.65,11.49,8.431,12.313,4.958,19.668,5.938,8.346,3.53,0.148,9.62,7.89,1.897,6.78,11.38,26.485,51.369,1.601,0.945,0.173,12.197,45.584,86.713,4.455
2026-05-21 10:03:33,house_sparrow_observed.csv,0.1570422448734536926563987670,0.817,0.909,0.401,5.084,0.248,6.42,7.011,0.398,6.67,13.011,0.256,0.324,0.031,4.95,11.57,11.3,11.616,8.050,5.249,10.85,11.558,12.029,11.086,0.248,9.63,8.14,6.604,7.2,18.836,32.762,59.74,5.784,0.918,0.25,12.112,120.372,224.871,15.874
