TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:06:37,long_tailed_tit_observed.csv,0.4294743465829357521463546246,1.01,3.718,1.9,1.29,0.157,7.32,10.936,0.004,7.07,20.857,0.066,0.71,0.034,3.13,1.3,8.53,4.503,5.702,0.746,10.657,8.112,13.389,2.836,0.242,3.95,4.11,1.661,6.95,15.879,40.959,71.708,10.21,1.043,0.003,12.098,98.944,192.451,5.436
2026-05-21 10:06:37,long_tailed_tit_observed.csv,0.4584260075464196558401822675,0.976,0.468,1.975,6.193,0.828,7.43,9.208,0.093,6.84,10.331,0.009,0.428,0.01,2.48,11.25,10.58,3.84,11.992,11.357,12.628,2.324,2.561,2.086,0.048,4.93,3.62,5.294,6.79,17.764,33.158,55.971,10.344,0.91,0.042,12.194,105.247,205.026,5.468
2026-05-21 10:06:38,long_tailed_tit_observed.csv,0.3383579764223935286103654978,1.008,3.935,1.323,4.236,0.407,6.33,10.861,0.045,6.8,15.429,0.018,0.252,0.015,2.33,10.66,10.01,5.569,5.432,6.907,3.957,2.492,2.726,2.257,0.159,4.76,4.04,3.909,7.43,6.82,17.387,23.748,11.026,1.349,0.221,12.01,48.898,84.799,12.996
2026-05-21 10:06:38,long_tailed_tit_observed.csv,2.459797945504314136614982330,0.795,2.839,1.573,3.887,0.819,7.71,9.597,0.016,7.47,7.881,0.071,0.393,0.032,3.94,10.69,9.81,7.644,0.913,1.411,0.415,5.768,9.256,2.281,0.133,4.17,4.59,4.817,6.91,7.344,38.874,63.999,13.748,1.671,0.286,12.028,59.886,110.456,9.317
2026-05-21 10:06:38,long_tailed_tit_observed.csv,0.4595203310386520577987992043,0.782,2.596,2.437,2.391,0.7,7.31,7.398,0.084,7.35,24.707,0.069,0.739,0.032,4.44,11.59,10.96,8.164,17.514,17.194,17.833,2.449,1.336,3.562,0.178,3.72,3.62,6.426,6.99,13.872,27.970,36.722,19.218,1.207,0.233,12.02,57.988,104.243,11.733
2026-05-21 10:06:39,long_tailed_tit_observed.csv,0.4336090986471079196825246852,0.666,2.66,1.641,1.466,0.102,6.26,6.242,0.02,7.05,13.412,0.006,0.584,0.027,4.07,1.48,9.89,3.106,8.377,7.212,9.542,7.625,9.186,6.064,0.156,5.83,4.53,1.813,6.91,16.262,13.574,17.87,9.279,1.283,0.215,12.213,58.693,105.577,11.809
2026-05-21 10:06:39,long_tailed_tit_observed.csv,0.4343616409123215354662507458,1.187,1.37,2.206,3.761,0.868,6.79,9.57,0.078,6.99,10.272,0.061,0.315,0.03,2.91,1.4,10.76,5.731,6.252,8.112,4.391,6.454,4.801,8.106,0.211,4.41,4.38,2.073,7.52,15.426,39.172,69.075,9.27,1.302,0.077,12.166,79.770,149.838,9.702
2026-05-21 10:06:39,long_tailed_tit_observed.csv,3.806395693949371166548330865,1.072,2.437,1.515,4.1,0.489,7.24,6.025,0.034,7.39,8.192,0.04,0.719,0.039,1.58,11.23,9.99,5.834,2.273,1.422,3.124,11.554,9.513,13.595,0.221,5.86,4.38,3.632,7.43,9.421,5.292,9.01,1.574,1.652,0.185,12.019,109.831,213.498,6.164
2026-05-21 10:06:39,long_tailed_tit_observed.csv,0.4669812503197902228380913691,0.796,2.172,5.727,2.788,0.054,7.22,9.31,0.005,6.65,24.088,0.012,0.228,0.034,2.34,1.25,10.95,4.255,9.514,1.194,17.834,9.314,9.418,9.211,0.244,5.25,3.83,1.55,7.15,10.635,37.603,70.521,4.685,1.782,0.11,12.099,80.912,147.332,14.493
2026-05-21 10:06:40,long_tailed_tit_observed.csv,0.4026343780638676241361179019,1.084,3.845,5.242,2.131,0.48,6.5,13.833,0.095,6.83,21.483,0.056,0.247,0.042,3.31,10.95,10.28,7.531,9.329,15.035,3.623,12.984,12.6,13.367,0.035,5.29,4.24,3.628,7.3,12.281,8.510,13.03,3.991,1.67,0.184,12.279,65.638,125.691,5.585
