method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.865,0.1,0,0.01,1
RungeKutta4,1,0.1,0.773379,0.1,0,0.01,0.889530
RungeKutta4,2,0.2,0.696292,0.1,0,0.01,0.796584
RungeKutta4,3,0.3,0.632121,0.1,0,0.01,0.719211
RungeKutta4,4,0.4,0.579441,0.1,0,0.01,0.655694
RungeKutta4,5,0.5,0.536985,0.1,0,0.01,0.604503
RungeKutta4,6,0.6,0.503604,0.1,0,0.01,0.564255
RungeKutta4,7,0.7,0.478240,0.1,0,0.01,0.533673
RungeKutta4,8,0.8,0.459895,0.1,0,0.01,0.511554
RungeKutta4,9,0.9,0.447614,0.1,0,0.01,0.496746
RungeKutta4,10,1.0,0.440471,0.1,0,0.01,0.488134
RungeKutta4,11,1.1,0.437556,0.1,0,0.01,0.484619
RungeKutta4,12,1.2,0.438248,0.1,0,0.01,0.485454
RungeKutta4,13,1.3,0.442326,0.1,0,0.01,0.490370
RungeKutta4,14,1.4,0.448488,0.1,0,0.01,0.497800
RungeKutta4,15,1.5,0.455509,0.1,0,0.01,0.506266
RungeKutta4,16,1.6,0.462325,0.1,0,0.01,0.514484
RungeKutta4,17,1.7,0.468058,0.1,0,0.01,0.521396
RungeKutta4,18,1.8,0.472224,0.1,0,0.01,0.526419
RungeKutta4,19,1.9,0.474528,0.1,0,0.01,0.529197
RungeKutta4,20,2.0,0.474808,0.1,0,0.01,0.529535
RungeKutta4,21,2.1,0.473424,0.1,0,0.01,0.527866
RungeKutta4,22,2.2,0.470368,0.1,0,0.01,0.524181
RungeKutta4,23,2.3,0.465564,0.1,0,0.01,0.518389
RungeKutta4,24,2.4,0.458992,0.1,0,0.01,0.510465
RungeKutta4,25,2.5,0.450683,0.1,0,0.01,0.500447
RungeKutta4,26,2.6,0.440710,0.1,0,0.01,0.488422
RungeKutta4,27,2.7,0.429180,0.1,0,0.01,0.474520
RungeKutta4,28,2.8,0.416218,0.1,0,0.01,0.458891
RungeKutta4,29,2.9,0.401945,0.1,0,0.01,0.441682
RungeKutta4,30,3.0,0.386443,0.1,0,0.01,0.422991
RungeKutta4,31,3.1,0.369720,0.1,0,0.01,0.402827
RungeKutta4,32,3.2,0.351689,0.1,0,0.01,0.381087
RungeKutta4,33,3.3,0.332180,0.1,0,0.01,0.357564
RungeKutta4,34,3.4,0.310999,0.1,0,0.01,0.332026
RungeKutta4,35,3.5,0.288028,0.1,0,0.01,0.304329
RungeKutta4,36,3.6,0.263327,0.1,0,0.01,0.274546
RungeKutta4,37,3.7,0.237206,0.1,0,0.01,0.243052
RungeKutta4,38,3.8,0.210239,0.1,0,0.01,0.210537
RungeKutta4,39,3.9,0.183335,0.1,0,0.01,0.178098
RungeKutta4,40,4.0,0.158981,0.1,0,0.01,0.148734
RungeKutta4,41,4.1,0.137862,0.1,0,0.01,0.123270
RungeKutta4,42,4.2,0.119549,0.1,0,0.01,0.101190
RungeKutta4,43,4.3,0.103668,0.1,0,0.01,0.0820417
RungeKutta4,44,4.4,0.0898969,0.1,0,0.01,0.0654375
RungeKutta4,45,4.5,0.0779551,0.1,0,0.01,0.0510389
RungeKutta4,46,4.6,0.0675996,0.1,0,0.01,0.0385530
RungeKutta4,47,4.7,0.0586198,0.1,0,0.01,0.0277258
RungeKutta4,48,4.8,0.0508328,0.1,0,0.01,0.0183368
RungeKutta4,49,4.9,0.0441579,0.1,0,0.01,0.0102887
RungeKutta4,50,5.0,0.0394178,0.1,0,0.01,0.00457344
RungeKutta4,51,5.1,0.0366677,0.1,0,0.01,0.00125757
RungeKutta4,52,5.2,0.0356247,0.1,0,0.01,0.0
RungeKutta4,53,5.3,0.0361974,0.1,0,0.01,0.000690520
RungeKutta4,54,5.4,0.0383555,0.1,0,0.01,0.00329260
RungeKutta4,55,5.5,0.0416718,0.1,0,0.01,0.00729115
RungeKutta4,56,5.6,0.0457625,0.1,0,0.01,0.0122234
RungeKutta4,57,5.7,0.0503021,0.1,0,0.01,0.0176969
RungeKutta4,58,5.8,0.0550042,0.1,0,0.01,0.0233664
RungeKutta4,59,5.9,0.0595423,0.1,0,0.01,0.0288381
RungeKutta4,60,6.0,0.0632775,0.1,0,0.01,0.0333417
RungeKutta4,61,6.1,0.0647907,0.1,0,0.01,0.0351662
RungeKutta4,62,6.2,0.0626156,0.1,0,0.01,0.0325437
RungeKutta4,63,6.3,0.0582275,0.1,0,0.01,0.0272528
RungeKutta4,64,6.4,0.0541128,0.1,0,0.01,0.0222916
RungeKutta4,65,6.5,0.0510125,0.1,0,0.01,0.0185535
RungeKutta4,66,6.6,0.0488324,0.1,0,0.01,0.0159249
RungeKutta4,67,6.7,0.0473334,0.1,0,0.01,0.0141175
RungeKutta4,68,6.8,0.0463097,0.1,0,0.01,0.0128832
RungeKutta4,69,6.9,0.0456112,0.1,0,0.01,0.0120410
RungeKutta4,70,7.0,0.0451333,0.1,0,0.01,0.0114648
RungeKutta4,71,7.1,0.0448047,0.1,0,0.01,0.0110686
RungeKutta4,72,7.2,0.0445770,0.1,0,0.01,0.0107940
RungeKutta4,73,7.3,0.0444178,0.1,0,0.01,0.0106021
