TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:07:41,magpie_observed.csv,0.4814524130480676821437167918,1.176,1.44,0.274,7.388,0.771,6.8,7.093,0.133,6.93,26.659,0.447,0.381,0.017,2.14,11.35,10.08,11.647,9.896,3.408,16.385,2.356,1.23,3.482,0.122,8.26,5.35,4.332,7.22,22.153,45.462,74.566,16.359,0.981,0.24,12.225,93.148,180.039,6.258
2026-05-21 10:07:41,magpie_observed.csv,0.6511804046333030907162644890,1.169,1.665,2.586,3.252,0.21,7.27,10.195,0.122,7.37,10.641,0.517,0.332,0.014,2.25,10.88,9.61,2.234,3.304,3.415,3.194,5.841,8.547,3.135,0.128,7.83,6.4,4.92,7.41,10.966,38.194,56.396,19.991,1.642,0.214,12.174,50.180,89.148,11.212
2026-05-21 10:07:41,magpie_observed.csv,0.4535403956571650766727356160,1.128,2.465,5.585,5.308,0.675,7.1,13.211,0.052,6.63,10.752,0.77,0.023,0.022,2.15,11.45,11.15,5.84,9.532,15.987,3.077,8.743,9.366,8.120,0.085,8.84,6.92,6.019,6.97,10.917,17.299,20.535,14.063,1.785,0.143,12.061,58.426,112.369,4.482
2026-05-21 10:07:42,magpie_observed.csv,0.8480184225325626178220897132,1.181,0.975,1.311,4.135,0.555,7.29,14.971,0.363,6.84,26.918,0.466,0.577,0.009,1.88,11.99,10.24,3.943,1.104,1.164,1.045,7.952,12.168,3.736,0.08,8.95,6.22,2.576,7.55,13.318,11.938,18.369,5.507,0.834,0.184,12.093,46.922,82.117,11.728
2026-05-21 10:07:42,magpie_observed.csv,1.253721233977714704189433162,0.932,2.159,2.246,4.084,0.45,7.29,7.045,0.095,7.62,26.564,0.863,0.217,0.018,2.04,11.15,11.26,5.124,17.572,18.857,16.287,12.724,12.0,13.447,0.017,9.23,5.9,5.337,7.06,8.869,15.810,17.725,13.895,1.121,0.106,12.137,61.278,109.409,13.148
2026-05-21 10:07:42,magpie_observed.csv,0.7844392386331876387687361136,0.75,3.502,3.083,5.978,0.061,7.64,5.86,0.196,6.55,6.642,0.514,0.148,0.05,2.35,11.79,11.17,5.838,5.216,8.186,2.246,6.856,7.971,5.741,0.224,7.25,5.72,1.297,7.03,22.175,27.495,52.884,2.106,1.508,0.166,12.152,116.444,225.898,6.989
2026-05-21 10:07:43,magpie_observed.csv,0.4750942904607944656869321433,0.877,0.287,5.361,3.949,0.07,6.95,6.508,0.19,7.58,27.293,0.722,0.681,0.003,11.67,11.46,9.95,8.083,13.929,11.863,15.995,5.124,9.76,0.488,0.076,8.3,5.88,4.718,6.74,6.325,24.418,37.927,10.909,1.489,0.335,12.077,64.899,124.836,4.962
2026-05-21 10:07:43,magpie_observed.csv,0.8643723115786890104363006500,1.338,1.813,4.532,0.848,0.651,6.34,4.366,0.324,7.23,22.529,0.731,0.575,0.004,1.85,10.9,9.28,7.933,16.436,17.472,15.399,13.159,14.000,12.318,0.189,6.58,5.14,5.6,7.24,7.88,31.286,55.389,7.184,1.705,0.087,12.273,121.178,228.565,13.79
2026-05-21 10:07:43,magpie_observed.csv,0.7543482235956973482351941126,0.93,0.676,3.29,1.129,0.033,7.29,3.451,0.173,6.63,11.623,0.804,0.119,0.007,1.65,11.42,10.79,9.2,14.594,13.97,15.218,8.502,5.119,11.885,0.045,6.99,6.88,6.79,6.68,7.87,15.414,25.416,5.411,0.94,0.326,12.244,55.572,104.313,6.831
2026-05-21 10:07:44,magpie_observed.csv,0.6710797348770176648608164280,1.345,1.691,2.473,1.221,0.415,7.21,13.147,0.251,7.2,26.689,0.805,0.711,0.019,1.14,1.35,9.31,3.285,10.975,17.145,4.805,3.584,6.514,0.654,0.076,7.0,5.78,6.611,7.52,13.655,30.744,45.095,16.393,1.142,0.226,12.049,83.511,156.761,10.261
