method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.948,0.1,0,0.01,0.601921
RungeKutta4,1,0.1,0.990350,0.1,0,0.01,0.661950
RungeKutta4,2,0.2,1.02687,0.1,0,0.01,0.713716
RungeKutta4,3,0.3,1.05872,0.1,0,0.01,0.758862
RungeKutta4,4,0.4,1.08677,0.1,0,0.01,0.798622
RungeKutta4,5,0.5,1.11162,0.1,0,0.01,0.833846
RungeKutta4,6,0.6,1.13371,0.1,0,0.01,0.865157
RungeKutta4,7,0.7,1.15332,0.1,0,0.01,0.892954
RungeKutta4,8,0.8,1.17065,0.1,0,0.01,0.917518
RungeKutta4,9,0.9,1.18581,0.1,0,0.01,0.939007
RungeKutta4,10,1.0,1.19885,0.1,0,0.01,0.957490
RungeKutta4,11,1.1,1.20980,0.1,0,0.01,0.973012
RungeKutta4,12,1.2,1.21866,0.1,0,0.01,0.985570
RungeKutta4,13,1.3,1.22518,0.1,0,0.01,0.994812
RungeKutta4,14,1.4,1.22871,0.1,0,0.01,0.999816
RungeKutta4,15,1.5,1.22884,0.1,0,0.01,1
RungeKutta4,16,1.6,1.22595,0.1,0,0.01,0.995904
RungeKutta4,17,1.7,1.21998,0.1,0,0.01,0.987441
RungeKutta4,18,1.8,1.21096,0.1,0,0.01,0.974656
RungeKutta4,19,1.9,1.19908,0.1,0,0.01,0.957816
RungeKutta4,20,2.0,1.18468,0.1,0,0.01,0.937405
RungeKutta4,21,2.1,1.16819,0.1,0,0.01,0.914031
RungeKutta4,22,2.2,1.15012,0.1,0,0.01,0.888418
RungeKutta4,23,2.3,1.13100,0.1,0,0.01,0.861316
RungeKutta4,24,2.4,1.11137,0.1,0,0.01,0.833491
RungeKutta4,25,2.5,1.09173,0.1,0,0.01,0.805652
RungeKutta4,26,2.6,1.07252,0.1,0,0.01,0.778423
RungeKutta4,27,2.7,1.05411,0.1,0,0.01,0.752327
RungeKutta4,28,2.8,1.03680,0.1,0,0.01,0.727791
RungeKutta4,29,2.9,1.02079,0.1,0,0.01,0.705098
RungeKutta4,30,3.0,1.00621,0.1,0,0.01,0.684431
RungeKutta4,31,3.1,0.993123,0.1,0,0.01,0.665881
RungeKutta4,32,3.2,0.981523,0.1,0,0.01,0.649438
RungeKutta4,33,3.3,0.971360,0.1,0,0.01,0.635033
RungeKutta4,34,3.4,0.962547,0.1,0,0.01,0.622541
RungeKutta4,35,3.5,0.954975,0.1,0,0.01,0.611808
RungeKutta4,36,3.6,0.948521,0.1,0,0.01,0.602659
RungeKutta4,37,3.7,0.943059,0.1,0,0.01,0.594917
RungeKutta4,38,3.8,0.938463,0.1,0,0.01,0.588403
RungeKutta4,39,3.9,0.934614,0.1,0,0.01,0.582947
RungeKutta4,40,4.0,0.931403,0.1,0,0.01,0.578395
RungeKutta4,41,4.1,0.928733,0.1,0,0.01,0.574611
RungeKutta4,42,4.2,0.926519,0.1,0,0.01,0.571473
RungeKutta4,43,4.3,0.924685,0.1,0,0.01,0.568873
RungeKutta4,44,4.4,0.923169,0.1,0,0.01,0.566724
RungeKutta4,45,4.5,0.921916,0.1,0,0.01,0.564948
RungeKutta4,46,4.6,0.920881,0.1,0,0.01,0.563481
RungeKutta4,47,4.7,0.920027,0.1,0,0.01,0.562270
RungeKutta4,48,4.8,0.919322,0.1,0,0.01,0.561271
RungeKutta4,49,4.9,0.918741,0.1,0,0.01,0.560448
RungeKutta4,50,5.0,0.918261,0.1,0,0.01,0.559767
RungeKutta4,51,5.1,0.917865,0.1,0,0.01,0.559206
RungeKutta4,52,5.2,0.917538,0.1,0,0.01,0.558742
RungeKutta4,53,5.3,0.917268,0.1,0,0.01,0.558360
RungeKutta4,54,5.4,0.917044,0.1,0,0.01,0.558042
RungeKutta4,55,5.5,0.916854,0.1,0,0.01,0.557773
RungeKutta4,56,5.6,0.916670,0.1,0,0.01,0.557512
RungeKutta4,57,5.7,0.916375,0.1,0,0.01,0.557094
RungeKutta4,58,5.8,0.915342,0.1,0,0.01,0.555630
RungeKutta4,59,5.9,0.910310,0.1,0,0.01,0.548497
RungeKutta4,60,6.0,0.890682,0.1,0,0.01,0.520675
