method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.75,0.1,0,0.01,1
RungeKutta4,1,0.1,0.696969,0.1,0,0.01,0.895845
RungeKutta4,2,0.2,0.652726,0.1,0,0.01,0.808950
RungeKutta4,3,0.3,0.615816,0.1,0,0.01,0.736458
RungeKutta4,4,0.4,0.585024,0.1,0,0.01,0.675981
RungeKutta4,5,0.5,0.559339,0.1,0,0.01,0.625535
RungeKutta4,6,0.6,0.537916,0.1,0,0.01,0.583460
RungeKutta4,7,0.7,0.520054,0.1,0,0.01,0.548378
RungeKutta4,8,0.8,0.505170,0.1,0,0.01,0.519145
RungeKutta4,9,0.9,0.492782,0.1,0,0.01,0.494815
RungeKutta4,10,1.0,0.482493,0.1,0,0.01,0.474607
RungeKutta4,11,1.1,0.473982,0.1,0,0.01,0.457891
RungeKutta4,12,1.2,0.466993,0.1,0,0.01,0.444164
RungeKutta4,13,1.3,0.461328,0.1,0,0.01,0.433038
RungeKutta4,14,1.4,0.456841,0.1,0,0.01,0.424226
RungeKutta4,15,1.5,0.453437,0.1,0,0.01,0.417540
RungeKutta4,16,1.6,0.451067,0.1,0,0.01,0.412885
RungeKutta4,17,1.7,0.449727,0.1,0,0.01,0.410253
RungeKutta4,18,1.8,0.449449,0.1,0,0.01,0.409707
RungeKutta4,19,1.9,0.450257,0.1,0,0.01,0.411294
RungeKutta4,20,2.0,0.452239,0.1,0,0.01,0.415187
RungeKutta4,21,2.1,0.455528,0.1,0,0.01,0.421647
RungeKutta4,22,2.2,0.460273,0.1,0,0.01,0.430966
RungeKutta4,23,2.3,0.466626,0.1,0,0.01,0.443444
RungeKutta4,24,2.4,0.474730,0.1,0,0.01,0.459360
RungeKutta4,25,2.5,0.484704,0.1,0,0.01,0.478949
RungeKutta4,26,2.6,0.496628,0.1,0,0.01,0.502369
RungeKutta4,27,2.7,0.510528,0.1,0,0.01,0.529669
RungeKutta4,28,2.8,0.526358,0.1,0,0.01,0.560759
RungeKutta4,29,2.9,0.543990,0.1,0,0.01,0.595389
RungeKutta4,30,3.0,0.563208,0.1,0,0.01,0.633134
