TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:09:48,mistle_thrush_observed.csv,0.3196645686786038269229847829,1.162,2.365,3.628,5.999,0.778,6.49,4.205,0.025,6.69,19.5,0.038,0.131,0.015,2.25,10.65,9.39,6.947,13.644,12.479,14.808,2.946,2.548,3.343,0.237,7.03,7.14,7.008,7.46,11.229,35.934,62.269,9.599,1.773,0.197,12.196,60.052,109.436,10.668
2026-05-21 10:09:49,mistle_thrush_observed.csv,0.2204701755503920868722883661,1.102,1.931,4.22,7.326,0.814,6.84,5.267,0.019,6.6,26.348,0.001,0.486,0.042,2.2,11.8,9.25,8.096,6.194,5.91,6.478,10.248,10.414,10.081,0.088,8.56,6.83,4.014,7.24,8.519,28.406,52.354,4.459,1.486,0.012,12.004,109.780,206.537,13.024
2026-05-21 10:09:49,mistle_thrush_observed.csv,1.234358048439405750174856514,1.215,1.945,5.571,5.864,0.925,6.43,4.986,0.019,7.2,12.79,0.019,0.604,0.05,1.24,11.21,11.08,3.501,5.976,6.331,5.622,8.950,10.791,7.11,0.204,7.61,6.2,1.739,7.42,6.811,39.220,70.627,7.813,1.772,0.179,12.114,95.972,184.13,7.814
2026-05-21 10:09:49,mistle_thrush_observed.csv,0.4953578978437018552756950770,0.813,0.419,4.476,5.698,0.91,7.59,11.197,0.006,7.65,25.925,0.078,0.22,0.025,11.99,1.33,10.27,4.417,6.636,3.785,9.487,7.511,12.165,2.857,0.101,7.44,6.62,7.61,7.57,16.898,26.910,41.806,12.013,1.666,0.082,12.267,100.512,188.555,12.468
2026-05-21 10:09:50,mistle_thrush_observed.csv,0.2523908898988560544391512185,1.293,1.399,2.361,1.218,0.326,7.21,15.575,0.058,7.52,13.997,0.014,0.369,0.004,2.35,1.44,10.45,3.127,1.396,0.836,1.956,3.442,0.84,6.044,0.142,9.14,5.7,2.202,6.8,20.051,17.755,27.312,8.198,1.757,0.347,12.101,90.564,173.973,7.155
2026-05-21 10:09:50,mistle_thrush_observed.csv,0.1006158301167420939839929247,1.181,3.014,0.296,6.472,0.292,7.44,3.631,0.02,6.94,17.987,0.085,0.317,0.032,1.94,10.95,11.08,3.354,11.980,7.591,16.368,7.702,10.534,4.869,0.092,7.19,5.95,6.613,7.48,12.664,28.952,51.79,6.115,1.171,0.125,12.208,53.592,98.584,8.599
2026-05-21 10:09:50,mistle_thrush_observed.csv,0.2708648140108051473034930272,0.908,1.143,1.655,2.07,0.377,7.35,3.245,0.069,6.71,21.204,0.04,0.355,0.024,1.03,10.92,11.37,3.476,9.940,4.984,14.896,5.330,4.082,6.577,0.117,7.88,5.36,6.474,7.47,12.018,30.796,53.018,8.574,1.505,0.025,12.131,47.629,86.814,8.444
2026-05-21 10:09:51,mistle_thrush_observed.csv,0.3076758867412049453089323376,1.018,2.069,5.193,0.744,0.817,6.42,3.645,0.033,6.52,12.931,0.088,0.191,0.032,1.12,10.57,9.93,6.69,10.786,5.719,15.852,3.810,3.044,4.576,0.066,8.85,5.37,5.326,7.38,12.738,24.151,39.299,9.003,1.621,0.112,12.104,54.192,95.288,13.096
2026-05-21 10:09:51,mistle_thrush_observed.csv,1.614230660995446582734098776,0.768,2.846,3.039,7.849,0.457,6.4,13.451,0.029,6.84,10.346,0.058,0.393,0.013,11.69,11.68,9.4,3.278,9.382,9.226,9.537,7.549,13.581,1.517,0.053,9.25,7.09,4.132,6.72,12.218,31.736,61.908,1.564,0.884,0.229,12.105,62.202,116.281,8.123
2026-05-21 10:09:51,mistle_thrush_observed.csv,1.081178773120459566244369254,1.08,3.135,5.268,5.268,0.302,6.67,3.169,0.003,6.9,10.098,0.06,0.342,0.049,2.31,11.64,11.04,6.072,10.670,10.206,11.133,8.788,5.848,11.727,0.209,8.84,5.11,2.141,7.28,20.245,28.014,38.639,17.389,1.32,0.192,12.137,52.048,95.834,8.262
2026-05-21 10:09:52,mistle_thrush_observed.csv,2.701583430917136274162204353,1.204,3.774,0.368,1.108,0.722,7.47,6.464,0.038,6.74,25.242,0.047,0.4,0.007,1.67,1.31,11.36,9.963,9.823,4.375,15.271,7.524,6.977,8.072,0.153,8.86,5.12,4.196,7.29,12.388,20.461,33.571,7.351,1.772,0.241,12.174,119.117,233.938,4.296
2026-05-21 10:09:52,mistle_thrush_observed.csv,2.133467800512918288083891870,0.8,3.891,4.306,4.855,0.345,6.97,10.533,0.005,6.58,22.149,0.031,0.048,0.033,11.68,1.12,9.85,5.2,10.443,18.423,2.463,7.584,10.956,4.213,0.114,7.99,5.4,6.98,7.15,15.123,32.608,46.68,18.536,0.927,0.341,12.093,68.998,132.514,5.483
