TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:12:59,pheasant_observed.csv,1.410001068541471511950274098,0.297,3.722,2.95,4.758,0.491,7.66,10.032,0.08,6.79,9.317,0.317,0.021,0.039,4.0,9.92,10.32,9.493,8.066,14.679,1.454,9.547,12.909,6.185,0.04,9.17,5.22,6.864,6.65,19.29,32.650,62.878,2.422,1.624,0.338,12.101,69.296,128.269,10.322
2026-05-21 10:13:00,pheasant_observed.csv,0.8162800290762577785515908624,0.515,0.348,4.726,3.094,0.347,7.66,15.601,0.06,6.82,24.883,0.383,0.705,0.037,3.82,10.46,9.61,8.761,9.510,0.87,18.15,3.652,4.428,2.877,0.001,8.91,7.15,5.592,6.65,12.353,23.486,36.689,10.284,1.461,0.188,12.026,54.904,96.681,13.126
2026-05-21 10:13:00,pheasant_observed.csv,1.918184955372263380028932292,0.237,1.865,4.085,3.694,0.098,7.6,14.25,0.158,7.31,6.134,0.168,0.267,0.038,4.25,8.9,10.41,10.428,4.070,1.038,7.101,6.587,4.834,8.34,0.12,8.9,6.52,7.585,7.19,9.412,27.976,38.952,17.0,1.325,0.288,12.167,115.290,223.67,6.911
2026-05-21 10:13:00,pheasant_observed.csv,0.2041564849600401910822085626,0.416,2.052,4.122,3.907,0.691,7.75,8.713,0.192,6.92,19.227,0.336,0.316,0.016,5.04,8.66,10.85,7.823,14.124,17.887,10.361,10.772,10.34,11.205,0.038,7.43,7.18,1.912,6.85,12.231,29.337,55.339,3.335,0.984,0.049,12.06,118.018,223.571,12.466
2026-05-21 10:13:01,pheasant_observed.csv,0.4085614508592895833631495089,0.199,2.28,1.517,5.286,0.696,7.66,9.675,0.087,6.56,11.005,0.201,0.37,0.003,4.67,10.02,10.34,11.773,9.680,3.046,16.313,2.442,2.958,1.927,0.149,7.22,7.34,0.803,7.24,19.99,36.788,54.433,19.142,1.46,0.32,12.277,48.605,84.857,12.353
2026-05-21 10:13:01,pheasant_observed.csv,1.619154245649540807097446343,0.348,3.016,2.199,4.096,0.471,7.33,15.818,0.165,7.42,24.739,0.386,0.009,0.038,2.79,11.48,11.04,10.073,10.550,11.638,9.463,8.583,4.551,12.615,0.073,7.53,6.13,6.873,6.97,12.392,17.406,22.864,11.949,1.31,0.292,12.051,115.720,225.508,5.933
2026-05-21 10:13:01,pheasant_observed.csv,1.116308820122686432477084396,0.055,2.08,3.685,0.646,0.363,7.36,10.66,0.118,7.25,27.123,0.303,0.661,0.017,4.83,10.77,9.79,3.798,12.342,10.41,14.275,10.344,12.693,7.995,0.013,7.95,6.42,6.755,6.64,8.857,12.660,5.774,19.546,1.479,0.164,12.213,85.462,161.276,9.648
2026-05-21 10:13:02,pheasant_observed.csv,0.1538769761454924272802309129,0.524,1.592,4.999,7.524,0.674,7.67,8.4,0.124,6.66,18.81,0.325,0.741,0.025,4.95,9.8,9.29,4.487,2.844,4.3,1.388,6.088,7.361,4.815,0.242,8.03,5.9,5.54,7.5,11.821,10.174,7.619,12.729,1.13,0.282,12.02,80.205,151.725,8.685
2026-05-21 10:13:02,pheasant_observed.csv,0.2785603356572721951922740267,0.245,0.791,2.504,0.609,0.393,7.23,15.45,0.12,7.5,22.734,0.268,0.214,0.044,2.8,11.5,10.8,4.421,3.062,5.654,0.469,8.004,13.509,2.499,0.018,6.64,6.21,7.054,6.86,16.141,42.862,77.015,8.709,1.057,0.141,12.052,117.942,221.339,14.544
2026-05-21 10:13:02,pheasant_observed.csv,0.2502805787813940921782342581,0.182,2.996,3.865,2.865,0.587,6.63,6.181,0.01,7.38,16.412,0.151,0.487,0.026,3.47,10.57,9.95,6.723,16.014,19.533,12.496,4.540,7.5,1.579,0.066,9.22,5.63,5.808,7.26,9.81,20.118,39.059,1.176,0.962,0.335,12.082,105.822,198.344,13.299
