method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.002,0.1,0,0.01,1
RungeKutta4,1,0.1,0.943722,0.1,0,0.01,0.934100
RungeKutta4,2,0.2,0.895745,0.1,0,0.01,0.879849
RungeKutta4,3,0.3,0.856557,0.1,0,0.01,0.835536
RungeKutta4,4,0.4,0.824775,0.1,0,0.01,0.799597
RungeKutta4,5,0.5,0.799134,0.1,0,0.01,0.770603
RungeKutta4,6,0.6,0.778482,0.1,0,0.01,0.747250
RungeKutta4,7,0.7,0.761768,0.1,0,0.01,0.728350
RungeKutta4,8,0.8,0.748045,0.1,0,0.01,0.712832
RungeKutta4,9,0.9,0.736465,0.1,0,0.01,0.699738
RungeKutta4,10,1.0,0.726290,0.1,0,0.01,0.688232
RungeKutta4,11,1.1,0.716896,0.1,0,0.01,0.677609
RungeKutta4,12,1.2,0.707757,0.1,0,0.01,0.667275
RungeKutta4,13,1.3,0.698444,0.1,0,0.01,0.656744
RungeKutta4,14,1.4,0.688625,0.1,0,0.01,0.645641
RungeKutta4,15,1.5,0.678054,0.1,0,0.01,0.633687
RungeKutta4,16,1.6,0.666574,0.1,0,0.01,0.620706
RungeKutta4,17,1.7,0.654104,0.1,0,0.01,0.606605
RungeKutta4,18,1.8,0.640636,0.1,0,0.01,0.591376
RungeKutta4,19,1.9,0.626224,0.1,0,0.01,0.575079
RungeKutta4,20,2.0,0.610969,0.1,0,0.01,0.557829
RungeKutta4,21,2.1,0.595017,0.1,0,0.01,0.539791
RungeKutta4,22,2.2,0.578541,0.1,0,0.01,0.521160
RungeKutta4,23,2.3,0.561731,0.1,0,0.01,0.502151
RungeKutta4,24,2.4,0.544787,0.1,0,0.01,0.482991
RungeKutta4,25,2.5,0.527907,0.1,0,0.01,0.463904
RungeKutta4,26,2.6,0.511279,0.1,0,0.01,0.445101
RungeKutta4,27,2.7,0.495077,0.1,0,0.01,0.426780
RungeKutta4,28,2.8,0.479452,0.1,0,0.01,0.409112
RungeKutta4,29,2.9,0.464532,0.1,0,0.01,0.392240
RungeKutta4,30,3.0,0.450420,0.1,0,0.01,0.376283
RungeKutta4,31,3.1,0.437190,0.1,0,0.01,0.361322
RungeKutta4,32,3.2,0.424892,0.1,0,0.01,0.347416
RungeKutta4,33,3.3,0.413550,0.1,0,0.01,0.334591
RungeKutta4,34,3.4,0.403168,0.1,0,0.01,0.322851
RungeKutta4,35,3.5,0.393730,0.1,0,0.01,0.312179
RungeKutta4,36,3.6,0.385205,0.1,0,0.01,0.302539
RungeKutta4,37,3.7,0.377550,0.1,0,0.01,0.293883
RungeKutta4,38,3.8,0.370712,0.1,0,0.01,0.286150
RungeKutta4,39,3.9,0.364634,0.1,0,0.01,0.279277
RungeKutta4,40,4.0,0.359253,0.1,0,0.01,0.273193
RungeKutta4,41,4.1,0.354507,0.1,0,0.01,0.267826
RungeKutta4,42,4.2,0.350335,0.1,0,0.01,0.263108
RungeKutta4,43,4.3,0.346677,0.1,0,0.01,0.258972
RungeKutta4,44,4.4,0.343476,0.1,0,0.01,0.255352
RungeKutta4,45,4.5,0.340680,0.1,0,0.01,0.252191
RungeKutta4,46,4.6,0.338238,0.1,0,0.01,0.249429
