TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 15:25:04,shepherds_purse_observed.csv,0.3731713031844338140177747221,0.34,3.692,2.946,1.27,0.111,6.39,14.283,0.071,7.43,10.515,0.317,0.612,0.034,3.53,10.37,11.19,10.95,13.702,14.692,12.712,7.100,12.031,2.169,0.184,2.34,3.92,2.054,7.36,12.27,28.074,46.137,10.012,0.976,0.333,12.092,121.146,231.86,10.433
2026-05-21 15:25:04,shepherds_purse_observed.csv,0.3867304381186417466139187050,0.118,1.226,5.356,5.122,0.935,7.27,13.908,0.069,6.58,9.077,0.151,0.314,0.026,6.16,10.34,9.54,9.75,15.673,16.751,14.595,1.792,2.139,1.445,0.131,1.52,3.87,7.219,6.99,23.886,16.052,28.579,3.525,1.039,0.226,12.235,70.867,130.575,11.159
2026-05-21 15:25:04,shepherds_purse_observed.csv,26.86531863725852546798367655,0.068,0.264,0.31,0.668,0.747,7.62,12.131,0.056,7.35,14.97,0.163,0.534,0.009,4.17,11.92,10.75,2.863,5.444,4.168,6.721,8.830,9.646,8.014,0.118,1.9,3.68,7.595,7.08,6.801,38.102,62.861,13.342,1.781,0.313,12.215,66.544,126.775,6.314
2026-05-21 15:25:04,shepherds_purse_observed.csv,18.43169210758618275017743977,0.085,3.814,0.225,5.621,0.444,7.26,3.999,0.067,6.88,14.053,0.407,0.644,0.019,6.24,10.2,10.28,4.759,19.270,18.541,20.000,5.890,7.289,4.49,0.023,11.82,3.57,2.932,7.08,11.06,14.704,22.87,6.537,0.83,0.257,12.042,73.063,140.479,5.647
2026-05-21 15:25:05,shepherds_purse_observed.csv,2.949474739856022334234476551,0.374,2.14,1.501,5.366,0.876,7.49,3.23,0.081,6.57,10.332,0.14,0.089,0.002,4.96,10.18,8.5,3.023,9.342,3.568,15.115,4.734,8.335,1.133,0.075,11.62,3.67,6.878,7.5,20.317,36.120,60.26,11.98,1.035,0.002,12.262,70.321,128.86,11.782
2026-05-21 15:25:05,shepherds_purse_observed.csv,2.709653211180142059101409393,0.19,1.726,3.054,2.446,0.139,7.33,5.789,0.072,7.54,12.846,0.356,0.122,0.015,5.41,11.91,10.29,2.673,14.892,15.783,14.001,9.631,7.54,11.722,0.053,1.9,4.76,2.439,7.14,13.899,23.637,42.436,4.838,1.129,0.196,12.053,105.768,198.264,13.273
2026-05-21 15:25:05,shepherds_purse_observed.csv,0.2270297807257366008228403894,0.173,2.239,1.137,3.782,0.039,7.18,15.324,0.001,6.7,17.339,0.17,0.714,0.01,4.11,11.94,10.3,11.115,15.014,16.57,13.457,9.916,8.375,11.456,0.012,11.6,3.67,2.637,7.19,16.287,13.912,13.881,13.943,1.482,0.338,12.128,72.110,131.36,12.86
2026-05-21 15:25:06,shepherds_purse_observed.csv,1.152703818059411158522979143,0.309,1.605,5.477,3.88,0.231,7.68,15.683,0.087,6.55,16.885,0.154,0.007,0.011,4.32,10.98,9.78,10.336,14.324,10.269,18.379,6.752,9.414,4.09,0.194,11.97,4.45,7.392,7.01,10.312,22.472,42.354,2.589,1.005,0.308,12.063,87.760,167.226,8.294
2026-05-21 15:25:06,shepherds_purse_observed.csv,2.684162090152587291563038275,0.205,0.79,2.417,0.019,0.015,7.27,13.608,0.053,7.07,13.601,0.382,0.275,0.014,4.87,9.76,8.47,7.946,6.299,10.082,2.516,4.575,3.947,5.203,0.094,2.03,4.83,3.153,6.94,11.671,10.924,18.597,3.251,1.331,0.09,12.217,61.720,115.422,8.018
2026-05-21 15:25:06,shepherds_purse_observed.csv,0.3833148235980259684773264574,0.384,1.874,2.844,4.569,0.218,7.41,12.045,0.038,6.79,24.069,0.382,0.733,0.013,5.32,10.94,10.39,5.883,10.862,18.595,3.128,7.344,13.628,1.061,0.166,1.47,3.7,6.894,6.86,9.838,35.286,60.022,10.551,0.867,0.179,12.096,59.099,103.139,15.059
