method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.118,0.1,0,0.01,0.106692
RungeKutta4,1,0.1,0.139222,0.1,0,0.01,0.139532
RungeKutta4,2,0.2,0.156070,0.1,0,0.01,0.165603
RungeKutta4,3,0.3,0.169447,0.1,0,0.01,0.186305
RungeKutta4,4,0.4,0.180068,0.1,0,0.01,0.202739
RungeKutta4,5,0.5,0.188501,0.1,0,0.01,0.215790
RungeKutta4,6,0.6,0.195198,0.1,0,0.01,0.226152
RungeKutta4,7,0.7,0.200517,0.1,0,0.01,0.234385
RungeKutta4,8,0.8,0.204744,0.1,0,0.01,0.240924
RungeKutta4,9,0.9,0.208107,0.1,0,0.01,0.246130
RungeKutta4,10,1.0,0.210791,0.1,0,0.01,0.250283
RungeKutta4,11,1.1,0.212947,0.1,0,0.01,0.253620
RungeKutta4,12,1.2,0.214704,0.1,0,0.01,0.256337
RungeKutta4,13,1.3,0.216177,0.1,0,0.01,0.258618
RungeKutta4,14,1.4,0.217476,0.1,0,0.01,0.260626
RungeKutta4,15,1.5,0.218716,0.1,0,0.01,0.262545
RungeKutta4,16,1.6,0.220026,0.1,0,0.01,0.264572
RungeKutta4,17,1.7,0.221561,0.1,0,0.01,0.266949
RungeKutta4,18,1.8,0.223510,0.1,0,0.01,0.269964
RungeKutta4,19,1.9,0.226104,0.1,0,0.01,0.273978
RungeKutta4,20,2.0,0.229626,0.1,0,0.01,0.279428
RungeKutta4,21,2.1,0.234407,0.1,0,0.01,0.286828
RungeKutta4,22,2.2,0.240828,0.1,0,0.01,0.296763
RungeKutta4,23,2.3,0.249307,0.1,0,0.01,0.309885
RungeKutta4,24,2.4,0.260276,0.1,0,0.01,0.326858
RungeKutta4,25,2.5,0.274155,0.1,0,0.01,0.348336
RungeKutta4,26,2.6,0.291314,0.1,0,0.01,0.374888
RungeKutta4,27,2.7,0.312030,0.1,0,0.01,0.406945
RungeKutta4,28,2.8,0.336437,0.1,0,0.01,0.444715
RungeKutta4,29,2.9,0.364487,0.1,0,0.01,0.488122
RungeKutta4,30,3.0,0.395902,0.1,0,0.01,0.536734
RungeKutta4,31,3.1,0.430162,0.1,0,0.01,0.589750
RungeKutta4,32,3.2,0.466488,0.1,0,0.01,0.645963
RungeKutta4,33,3.3,0.503862,0.1,0,0.01,0.703797
RungeKutta4,34,3.4,0.541078,0.1,0,0.01,0.761388
RungeKutta4,35,3.5,0.576782,0.1,0,0.01,0.816638
RungeKutta4,36,3.6,0.609572,0.1,0,0.01,0.867380
RungeKutta4,37,3.7,0.638099,0.1,0,0.01,0.911525
RungeKutta4,38,3.8,0.661212,0.1,0,0.01,0.947290
RungeKutta4,39,3.9,0.678491,0.1,0,0.01,0.974031
RungeKutta4,40,4.0,0.689838,0.1,0,0.01,0.991588
RungeKutta4,41,4.1,0.695274,0.1,0,0.01,1
RungeKutta4,42,4.2,0.695012,0.1,0,0.01,0.999595
RungeKutta4,43,4.3,0.689730,0.1,0,0.01,0.991421
RungeKutta4,44,4.4,0.679722,0.1,0,0.01,0.975934
RungeKutta4,45,4.5,0.665367,0.1,0,0.01,0.953722
RungeKutta4,46,4.6,0.647153,0.1,0,0.01,0.925536
RungeKutta4,47,4.7,0.625655,0.1,0,0.01,0.892269
RungeKutta4,48,4.8,0.601510,0.1,0,0.01,0.854904
RungeKutta4,49,4.9,0.575384,0.1,0,0.01,0.814475
RungeKutta4,50,5.0,0.547952,0.1,0,0.01,0.772025
RungeKutta4,51,5.1,0.519862,0.1,0,0.01,0.728557
RungeKutta4,52,5.2,0.491716,0.1,0,0.01,0.685002
RungeKutta4,53,5.3,0.464050,0.1,0,0.01,0.642190
RungeKutta4,54,5.4,0.437314,0.1,0,0.01,0.600817
RungeKutta4,55,5.5,0.411840,0.1,0,0.01,0.561397
RungeKutta4,56,5.6,0.387772,0.1,0,0.01,0.524153
RungeKutta4,57,5.7,0.364802,0.1,0,0.01,0.488608
RungeKutta4,58,5.8,0.341228,0.1,0,0.01,0.452128
RungeKutta4,59,5.9,0.311613,0.1,0,0.01,0.406301
RungeKutta4,60,6.0,0.268668,0.1,0,0.01,0.339844
RungeKutta4,61,6.1,0.217572,0.1,0,0.01,0.260775
RungeKutta4,62,6.2,0.171425,0.1,0,0.01,0.189366
RungeKutta4,63,6.3,0.135755,0.1,0,0.01,0.134167
RungeKutta4,64,6.4,0.109888,0.1,0,0.01,0.0941390
RungeKutta4,65,6.5,0.091555,0.1,0,0.01,0.0657694
RungeKutta4,66,6.6,0.0786661,0.1,0,0.01,0.0458243
RungeKutta4,67,6.7,0.0696349,0.1,0,0.01,0.0318489
RungeKutta4,68,6.8,0.0633195,0.1,0,0.01,0.0220761
RungeKutta4,69,6.9,0.0589125,0.1,0,0.01,0.0152564
RungeKutta4,70,7.0,0.0558442,0.1,0,0.01,0.0105083
RungeKutta4,71,7.1,0.0537136,0.1,0,0.01,0.00721132
RungeKutta4,72,7.2,0.0522382,0.1,0,0.01,0.00492820
RungeKutta4,73,7.3,0.0512195,0.1,0,0.01,0.00335180
RungeKutta4,74,7.4,0.0505181,0.1,0,0.01,0.00226641
RungeKutta4,75,7.5,0.0500365,0.1,0,0.01,0.00152115
RungeKutta4,76,7.6,0.0497067,0.1,0,0.01,0.00101080
RungeKutta4,77,7.7,0.0494813,0.1,0,0.01,0.000662004
RungeKutta4,78,7.8,0.0493276,0.1,0,0.01,0.000424159
RungeKutta4,79,7.9,0.0492230,0.1,0,0.01,0.000262295
RungeKutta4,80,8.0,0.0491522,0.1,0,0.01,0.000152734
RungeKutta4,81,8.1,0.0491048,0.1,0,0.01,0.0000793847
RungeKutta4,82,8.2,0.0490743,0.1,0,0.01,0.0000321872
RungeKutta4,83,8.3,0.0490573,0.1,0,0.01,0.00000588035
RungeKutta4,84,8.4,0.0490535,0.1,0,0.01,0.0
RungeKutta4,85,8.5,0.0490629,0.1,0,0.01,0.0000145461
RungeKutta4,86,8.6,0.0490931,0.1,0,0.01,0.0000612794
RungeKutta4,87,8.7,0.0491640,0.1,0,0.01,0.000170994
