month,observed,simulated_raw,synthesised
1,0,0.00222602193,0.018085560542399137
2,5,0.32311206,2.625159547780961
3,9,1.2000494,9.749933630514484
4,14,1.474469,11.979485919705523
5,3,0.7308503,5.937873823228943
6,2,0.33623379999999997,2.7317685708069024
7,0,0.21612230000000002,1.7559094492894547
8,0,0.10119797999999999,0.8221941434595376
9,1,0.0102058118,0.08291824294526673
10,0,4.4381858e-06,3.605852974876853e-05
11,0,2.2066358000000002e-08,1.792805579230091e-07
12,0,1.38706783e-10,1.1269385479899199e-09
