TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 14:45:05,common_comfrey_observed.csv,1.422,1.887,1.243,7.556,1.106,3.44,8.77,11.258,5.45,0.06048601438381147848157049280,
2026-05-21 14:45:05,common_comfrey_observed.csv,3.163,1.917,5.763,0.765,8.461,2.24,8.3,8.847,6.18,0.1555491965183198065409153686,
2026-05-21 14:45:05,common_comfrey_observed.csv,3.995,1.155,1.271,1.04,5.012,3.62,9.07,6.852,4.89,0.02897117303723501495694248688,
2026-05-21 14:45:06,common_comfrey_observed.csv,2.536,2.489,3.738,6.836,5.792,2.41,9.03,14.204,4.51,0.1315407500106620180072841877,
2026-05-21 14:45:06,common_comfrey_observed.csv,1.786,2.425,4.391,3.454,9.497,3.43,9.18,1.405,6.45,0.1014676050280533561023620000,
2026-05-21 14:45:06,common_comfrey_observed.csv,1.785,2.698,7.888,1.942,5.359,2.35,8.63,5.381,4.24,0.1260432377355399419052311295,
2026-05-21 14:45:06,common_comfrey_observed.csv,3.991,2.885,2.793,2.588,2.387,2.45,8.04,11.135,4.45,0.1527715860036821976506196499,
2026-05-21 14:45:07,common_comfrey_observed.csv,2.746,0.987,4.308,6.567,3.867,3.61,8.39,14.091,5.59,0.05417792826458591678133261627,
2026-05-21 14:45:07,common_comfrey_observed.csv,4.712,0.71,7.195,1.498,1.808,3.65,8.96,4.345,4.84,0.05833627073691087532389997340,
2026-05-21 14:45:07,common_comfrey_observed.csv,4.1,0.827,6.604,2.537,1.077,2.39,8.38,5.534,5.66,0.08603986461129683508999503710,
2026-05-21 14:45:08,common_comfrey_observed.csv,2.096,2.498,3.369,6.864,8.446,2.82,8.69,2.171,5.71,0.06266240905622665443107813499,
2026-05-21 14:45:08,common_comfrey_observed.csv,1.717,2.337,4.488,4.408,7.199,2.61,8.16,10.693,5.99,0.08870313117405682369085226812,
