method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,5.48562E-10,0.1,0,0.01,3.09115E-10
RungeKutta4,2,0.2,1.65010E-9,0.1,0,0.01,9.29833E-10
RungeKutta4,3,0.3,4.19453E-9,0.1,0,0.01,2.36362E-9
RungeKutta4,4,0.4,1.02724E-8,0.1,0,0.01,5.78851E-9
RungeKutta4,5,0.5,2.48545E-8,0.1,0,0.01,1.40055E-8
RungeKutta4,6,0.6,5.97607E-8,0.1,0,0.01,3.36752E-8
RungeKutta4,7,0.7,1.43018E-7,0.1,0,0.01,8.05908E-8
RungeKutta4,8,0.8,3.40871E-7,0.1,0,0.01,1.92081E-7
RungeKutta4,9,0.9,8.09386E-7,0.1,0,0.01,4.56090E-7
RungeKutta4,10,1.0,0.00000191515,0.1,0,0.01,0.00000107919
RungeKutta4,11,1.1,0.00000451670,0.1,0,0.01,0.00000254516
RungeKutta4,12,1.2,0.0000106193,0.1,0,0.01,0.00000598399
RungeKutta4,13,1.3,0.0000248936,0.1,0,0.01,0.0000140276
RungeKutta4,14,1.4,0.0000581899,0.1,0,0.01,0.0000327901
RungeKutta4,15,1.5,0.000135644,0.1,0,0.01,0.0000764355
RungeKutta4,16,1.6,0.000315301,0.1,0,0.01,0.000177672
RungeKutta4,17,1.7,0.000730626,0.1,0,0.01,0.000411708
RungeKutta4,18,1.8,0.00168642,0.1,0,0.01,0.000950299
RungeKutta4,19,1.9,0.00387019,0.1,0,0.01,0.00218086
RungeKutta4,20,2.0,0.00879486,0.1,0,0.01,0.00495591
RungeKutta4,21,2.1,0.0196249,0.1,0,0.01,0.0110586
RungeKutta4,22,2.2,0.0423246,0.1,0,0.01,0.0238500
RungeKutta4,23,2.3,0.0860398,0.1,0,0.01,0.0484835
RungeKutta4,24,2.4,0.160069,0.1,0,0.01,0.0901990
RungeKutta4,25,2.5,0.267058,0.1,0,0.01,0.150487
RungeKutta4,26,2.6,0.399461,0.1,0,0.01,0.225097
