TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 14:46:36,common_poppy_observed.csv,1.581,2.176,4.667,2.6,2.702,4.73,9.13,5.254,5.44,0.04796967230646615843999635797,
2026-05-21 14:46:36,common_poppy_observed.csv,2.681,1.094,5.312,7.884,5.643,5.61,10.57,12.766,5.64,0.08690182090346667163872194145,
2026-05-21 14:46:36,common_poppy_observed.csv,1.559,0.766,5.836,1.537,7.655,5.5,9.55,7.149,6.2,0.1178585012226164430176909017,
2026-05-21 14:46:37,common_poppy_observed.csv,2.833,1.306,1.593,3.773,3.011,5.94,9.56,6.912,6.9,0.1641237127112480288503520616,
2026-05-21 14:46:37,common_poppy_observed.csv,3.241,1.401,6.039,1.391,6.778,5.34,9.9,2.354,5.73,0.07686414916775437787589780416,
2026-05-21 14:46:37,common_poppy_observed.csv,3.698,1.878,5.143,0.332,9.67,4.45,9.38,6.75,5.09,0.05407573710951129498832373314,
2026-05-21 14:46:37,common_poppy_observed.csv,2.681,1.405,6.547,0.414,6.403,4.6,10.65,14.228,7.07,0.1144444282684587413911111505,
2026-05-21 14:46:38,common_poppy_observed.csv,2.646,1.629,5.899,7.346,6.917,4.01,9.93,1.019,5.98,0.08073081754762911192811167189,
2026-05-21 14:46:38,common_poppy_observed.csv,1.703,1.405,2.803,1.408,2.335,4.77,9.22,13.333,5.17,0.02739636335072623844368989095,
2026-05-21 14:46:38,common_poppy_observed.csv,3.416,2.44,5.003,0.671,7.506,4.22,10.89,13.195,4.92,0.07816836804730535051528241306,
2026-05-21 14:46:39,common_poppy_observed.csv,1.763,0.534,1.247,6.188,6.343,5.12,9.77,12.103,6.99,0.1072932563590442368051219142,
2026-05-21 14:46:39,common_poppy_observed.csv,1.747,1.777,4.376,2.656,7.812,4.76,10.97,2.151,7.28,0.1139439662647138556704615266,
2026-05-21 14:46:39,common_poppy_observed.csv,2.686,1.789,7.097,5.998,1.186,5.09,9.01,3.465,6.19,0.06305298745497483061471391549,
2026-05-21 14:46:40,common_poppy_observed.csv,2.241,1.844,5.446,1.469,3.635,5.69,9.7,10.353,7.22,0.1621116782463577995675991738,
2026-05-21 14:46:40,common_poppy_observed.csv,4.737,2.909,1.642,4.063,6.003,4.68,10.76,12.813,7.15,0.07571927339856411705761919774,
2026-05-21 14:46:40,common_poppy_observed.csv,1.945,2.457,4.715,3.197,2.169,4.33,10.73,6.627,5.45,0.07366655782937084426632749349,
2026-05-21 14:46:41,common_poppy_observed.csv,3.444,1.983,1.443,1.349,3.899,5.82,9.29,11.788,6.75,0.1686208447105547199169570627,
2026-05-21 14:46:41,common_poppy_observed.csv,1.687,1.629,3.315,0.543,1.131,5.22,9.53,8.643,6.03,0.1121568266015987607132607830,
2026-05-21 14:46:41,common_poppy_observed.csv,4.223,1.828,5.087,7.021,7.753,5.79,10.51,9.498,6.7,0.1233053909115021276251023287,
2026-05-21 14:46:42,common_poppy_observed.csv,2.095,2.863,6.303,7.296,7.094,5.97,10.37,9.59,6.55,0.1455797993398897585917288364,
2026-05-21 14:46:42,common_poppy_observed.csv,4.528,1.859,4.166,1.272,2.603,5.58,10.07,11.135,6.56,0.1133596197586860666232175288,
2026-05-21 14:46:42,common_poppy_observed.csv,1.199,1.193,4.683,5.921,4.383,5.84,9.29,3.696,6.94,0.1389054708620113195115209935,
2026-05-21 14:46:43,common_poppy_observed.csv,2.868,2.406,5.796,5.199,3.691,4.25,10.36,8.788,6.56,0.02794510644002838047482672165,
2026-05-21 14:46:43,common_poppy_observed.csv,3.708,1.741,1.137,2.583,6.521,4.59,9.59,11.411,6.44,0.05428172858766536375223280090,
2026-05-21 14:46:43,common_poppy_observed.csv,1.176,2.153,4.61,2.626,1.534,5.24,9.51,14.958,6.98,0.07886621509683278013265032705,
2026-05-21 14:46:43,common_poppy_observed.csv,2.645,2.205,4.841,6.445,3.748,5.02,10.46,1.798,6.02,0.05832834662497770313899547563,
2026-05-21 14:46:44,common_poppy_observed.csv,1.766,1.252,3.151,5.263,2.807,5.27,10.18,2.451,6.42,0.05601245662507538923446687495,
2026-05-21 14:46:44,common_poppy_observed.csv,3.753,1.259,5.974,1.087,1.567,4.31,10.85,7.919,6.07,0.04501941388312199056501572819,
2026-05-21 14:46:44,common_poppy_observed.csv,2.426,1.413,7.71,4.289,2.826,5.57,9.34,6.122,7.43,0.1425064260871444573849917508,
2026-05-21 14:46:45,common_poppy_observed.csv,4.746,1.775,3.125,5.467,1.576,5.44,9.47,8.904,7.46,0.1154575723703049127108283290,
2026-05-21 14:46:45,common_poppy_observed.csv,4.244,0.798,6.277,3.754,3.402,4.53,9.18,1.33,7.04,0.1071148204284492226145758595,
2026-05-21 14:46:45,common_poppy_observed.csv,3.812,1.728,1.041,2.539,6.279,4.44,9.33,3.452,6.55,0.05927036544267868353464010121,
2026-05-21 14:46:46,common_poppy_observed.csv,4.098,1.512,5.526,3.315,6.195,4.45,9.22,4.885,6.41,0.05384637245093882096126129088,
2026-05-21 14:46:46,common_poppy_observed.csv,4.853,2.82,3.516,1.934,2.268,5.52,10.73,12.143,6.78,0.1019475947275114855114841562,
2026-05-21 14:46:46,common_poppy_observed.csv,4.178,0.828,7.263,3.101,7.527,5.9,9.67,2.423,7.34,0.1955078459922050874228176390,
2026-05-21 14:46:47,common_poppy_observed.csv,3.681,2.593,2.025,6.37,5.175,4.53,9.23,3.188,4.9,0.1246204947092419290717478862,
2026-05-21 14:46:47,common_poppy_observed.csv,3.7,2.727,5.273,2.473,8.195,5.5,9.84,6.654,6.56,0.1070302910686990696291406538,
2026-05-21 14:46:47,common_poppy_observed.csv,1.404,1.036,4.056,1.359,2.596,5.64,9.01,8.602,7.16,0.1592274005670616455030078457,
2026-05-21 14:46:48,common_poppy_observed.csv,3.039,0.902,6.693,3.79,8.061,5.78,9.68,13.219,5.99,0.1158355305626112388227728547,
2026-05-21 14:46:48,common_poppy_observed.csv,2.483,2.461,7.398,3.861,8.951,5.39,10.92,4.473,5.94,0.04251683184566451760524635338,
2026-05-21 14:46:48,common_poppy_observed.csv,3.152,1.715,5.31,5.245,6.614,4.5,10.38,5.786,5.24,0.09064758846529477917774651625,
2026-05-21 14:46:49,common_poppy_observed.csv,4.011,2.654,4.698,4.222,1.806,5.27,10.95,2.079,6.44,0.06374119821258376251107590238,
2026-05-21 14:46:49,common_poppy_observed.csv,1.654,2.533,6.417,3.742,4.299,5.69,9.72,14.872,6.76,0.1198752604177855001354765468,
2026-05-21 14:46:49,common_poppy_observed.csv,3.787,2.133,7.696,6.052,2.235,4.82,10.68,1.299,7.12,0.09203322482443919487990613347,
2026-05-21 14:46:49,common_poppy_observed.csv,1.792,0.978,6.794,4.893,7.814,4.61,9.8,14.499,6.34,0.03466319190903500496387303395,
2026-05-21 14:46:50,common_poppy_observed.csv,4.451,1.513,5.583,4.035,5.339,5.06,9.99,7.508,5.2,0.04409054476649225777950245761,
2026-05-21 14:46:50,common_poppy_observed.csv,2.669,1.639,2.22,4.491,5.067,5.67,10.41,11.283,7.36,0.1215267829594538621653720154,
2026-05-21 14:46:50,common_poppy_observed.csv,3.677,2.664,2.585,3.397,9.91,4.89,9.31,8.198,6.38,0.03438663639927871665793150391,
2026-05-21 14:46:51,common_poppy_observed.csv,1.68,1.449,5.722,6.317,9.666,4.39,10.0,8.306,4.91,0.1430752877523104262908000739,
2026-05-21 14:46:51,common_poppy_observed.csv,3.596,2.802,1.481,6.273,9.237,4.03,10.2,12.554,6.25,0.05648501356612372968813809529,
2026-05-21 14:46:51,common_poppy_observed.csv,2.447,0.723,6.883,0.176,4.389,5.66,10.06,9.377,6.96,0.2527164905899303286231264810,
2026-05-21 14:46:52,common_poppy_observed.csv,3.51,2.274,6.58,7.471,2.853,5.32,10.95,12.808,5.65,0.05163301514927548300012205612,
2026-05-21 14:46:52,common_poppy_observed.csv,3.378,2.296,7.955,1.631,8.546,5.69,10.12,1.315,6.36,0.1220796421616536007381565942,
2026-05-21 14:46:52,common_poppy_observed.csv,3.303,0.815,6.596,3.81,4.927,5.41,10.06,3.82,7.28,0.1439148928289230915908204305,
2026-05-21 14:46:53,common_poppy_observed.csv,2.387,1.424,4.805,6.544,2.37,4.76,9.14,13.102,7.43,0.07799667506900338104375243185,
2026-05-21 14:46:53,common_poppy_observed.csv,2.192,2.714,1.033,4.841,4.477,4.43,10.6,9.148,5.15,0.09141733217916303196763530886,
2026-05-21 14:46:53,common_poppy_observed.csv,3.913,2.658,1.22,3.246,2.738,4.1,9.67,11.878,6.64,0.06250500259377693924499457603,
2026-05-21 14:46:54,common_poppy_observed.csv,1.693,0.706,6.16,1.803,2.914,5.57,9.75,4.592,6.03,0.1218074620782069067246737998,
2026-05-21 14:46:54,common_poppy_observed.csv,4.627,1.793,6.565,6.509,2.548,4.29,9.75,7.956,7.03,0.05478852297869713887073038816,
2026-05-21 14:46:54,common_poppy_observed.csv,4.255,0.554,5.919,4.348,1.923,5.71,9.48,7.229,5.83,0.08633058742402179993385589273,
2026-05-21 14:46:54,common_poppy_observed.csv,3.153,2.924,5.954,2.753,3.604,5.73,9.07,8.659,6.38,0.09433969656255747213962147574,
2026-05-21 14:46:55,common_poppy_observed.csv,1.61,0.716,5.805,6.6,4.362,4.02,10.74,14.701,6.96,0.06395533029505031032590472238,
2026-05-21 14:46:55,common_poppy_observed.csv,3.542,2.656,7.776,0.949,5.606,4.15,10.18,12.119,5.91,0.04384830378987383611306911742,
2026-05-21 14:46:55,common_poppy_observed.csv,4.646,2.164,4.164,2.185,9.927,4.34,10.11,9.242,7.5,0.1087212837616696344354980292,
2026-05-21 14:46:56,common_poppy_observed.csv,3.335,0.525,3.78,0.929,2.538,4.1,10.48,6.337,6.22,0.05623228495721814905628641465,
2026-05-21 14:46:56,common_poppy_observed.csv,3.859,1.236,4.463,4.428,4.275,5.06,10.88,13.126,6.63,0.03247178443620261700884113866,
2026-05-21 14:46:56,common_poppy_observed.csv,1.817,2.996,6.19,7.576,8.954,5.81,10.68,14.318,6.76,0.1210585933965463164746100027,
2026-05-21 14:46:57,common_poppy_observed.csv,4.727,0.891,5.6,2.279,5.065,4.45,9.84,7.503,5.57,0.04949176857543790586947754019,
2026-05-21 14:46:57,common_poppy_observed.csv,2.86,1.893,6.043,0.776,4.526,4.5,9.75,7.905,7.31,0.1391097548393183098537588058,
2026-05-21 14:46:58,common_poppy_observed.csv,1.206,1.168,5.309,2.32,4.062,4.26,10.0,10.671,5.85,0.04702226299408577991948320885,
2026-05-21 14:46:58,common_poppy_observed.csv,3.206,2.013,1.424,7.845,2.068,4.01,10.77,7.584,5.49,0.1128549178097963615374456918,
2026-05-21 14:46:59,common_poppy_observed.csv,1.894,2.465,3.205,4.504,6.31,5.72,10.34,7.3,6.12,0.06178735472592085220770778481,
2026-05-21 14:46:59,common_poppy_observed.csv,2.672,0.608,4.907,6.353,2.899,5.03,10.51,12.797,5.74,0.04628558475727632120709084134,
2026-05-21 14:47:00,common_poppy_observed.csv,3.137,2.593,6.625,6.951,2.308,4.49,10.49,1.339,6.68,0.03990534678504146839679836572,
2026-05-21 14:47:00,common_poppy_observed.csv,2.58,0.949,6.112,3.653,8.469,6.0,9.72,4.417,7.0,0.1842225580171731848600729996,
2026-05-21 14:47:00,common_poppy_observed.csv,3.497,0.738,5.438,5.189,9.38,4.42,9.14,13.391,4.88,0.1420713493830360478963391992,
2026-05-21 14:47:00,common_poppy_observed.csv,1.834,1.387,3.99,2.338,3.931,4.16,9.27,5.495,5.83,0.04866182557282656420859629534,
2026-05-21 14:47:01,common_poppy_observed.csv,1.449,1.308,4.966,4.228,3.019,5.21,9.2,13.144,5.63,0.04732472052766534605691872787,
2026-05-21 14:47:01,common_poppy_observed.csv,1.503,2.904,2.052,7.755,6.603,4.11,9.08,14.976,4.64,0.1694413686892806280093028950,
2026-05-21 14:47:01,common_poppy_observed.csv,2.432,2.836,1.797,6.512,2.794,5.25,10.85,2.145,5.51,0.05104656925197366257803660465,
2026-05-21 14:47:01,common_poppy_observed.csv,2.193,2.047,2.297,0.46,7.889,5.85,10.59,2.103,7.25,0.1970588775458138950351478425,
2026-05-21 14:47:02,common_poppy_observed.csv,3.963,1.014,7.546,2.913,2.744,4.66,9.79,9.562,6.53,0.03956304256174239669532420091,
2026-05-21 14:47:02,common_poppy_observed.csv,2.483,1.588,1.602,1.783,3.441,5.84,9.39,13.153,6.48,0.1590177841216094624627836714,
2026-05-21 14:47:02,common_poppy_observed.csv,4.928,1.978,6.489,4.636,1.514,5.24,10.11,2.956,6.13,0.05472694740546840036542266349,
2026-05-21 14:47:03,common_poppy_observed.csv,2.242,2.924,4.862,4.949,7.534,5.55,9.98,6.106,6.36,0.07382153694463522707893119220,
