month,observed,simulated_raw,synthesised
1,0,1.877627866e-14,1.1520325352355653e-12
2,0,3.572730467e-10,2.1920753372603364e-08
3,0,4.9836641509999995e-06,0.00030577641877834865
4,3,0.037205021850000006,2.2827417733557493
5,57,0.8038976,49.323734855444805
6,62,1.0805422,66.29746994258848
7,34,0.5342507,32.779348853803995
8,14,0.3101597,19.030078962350807
9,7,0.1820235,11.168187156498611
10,8,0.01606368237,0.9855991733523811
11,2,2.927097903e-06,0.00017959426780662176
12,0,9.84536998e-11,6.040699940480926e-09
