month,observed,simulated_raw,synthesised
1,0,5.63782851e-13,1.0689035843617935e-11
2,0,8.033885442999999e-09,1.5231837809793072e-07
3,0,9.2051904e-05,0.0017452572379312704
4,1,0.20532168099999998,3.89279454631884
5,27,1.2899052,24.455945925303002
6,11,0.7963178,15.097780097449217
7,7,0.12357569100000002,2.342932191278827
8,0,7.98059524e-05,0.001513080229780999
9,0,6.273442747e-09,1.1894128079033741e-07
10,0,3.11318822e-13,5.9024463785098555e-12
11,0,6.91954235e-18,1.3119100034595107e-16
12,0,7.22200142e-22,1.3692547033687552e-20
