method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,1.65009E-20,0.1,0,0.01,1.11194E-20
RungeKutta4,2,0.2,9.53462E-20,0.1,0,0.01,6.42503E-20
RungeKutta4,3,0.3,3.92629E-19,0.1,0,0.01,2.64578E-19
RungeKutta4,4,0.4,1.37284E-18,0.1,0,0.01,9.25107E-19
RungeKutta4,5,0.5,4.34466E-18,0.1,0,0.01,2.92771E-18
RungeKutta4,6,0.6,1.28555E-17,0.1,0,0.01,8.66285E-18
RungeKutta4,7,0.7,3.62397E-17,0.1,0,0.01,2.44206E-17
RungeKutta4,8,0.8,9.84902E-17,0.1,0,0.01,6.63690E-17
RungeKutta4,9,0.9,2.60127E-16,0.1,0,0.01,1.75290E-16
RungeKutta4,10,1.0,6.71425E-16,0.1,0,0.01,4.52449E-16
RungeKutta4,11,1.1,1.70060E-15,0.1,0,0.01,1.14597E-15
RungeKutta4,12,1.2,4.23970E-15,0.1,0,0.01,2.85698E-15
RungeKutta4,13,1.3,1.04285E-14,0.1,0,0.01,7.02739E-15
RungeKutta4,14,1.4,2.53557E-14,0.1,0,0.01,1.70863E-14
RungeKutta4,15,1.5,6.10290E-14,0.1,0,0.01,4.11252E-14
RungeKutta4,16,1.6,1.45590E-13,0.1,0,0.01,9.81078E-14
RungeKutta4,17,1.7,3.44577E-13,0.1,0,0.01,2.32198E-13
RungeKutta4,18,1.8,8.09769E-13,0.1,0,0.01,5.45674E-13
RungeKutta4,19,1.9,1.89087E-12,0.1,0,0.01,1.27419E-12
RungeKutta4,20,2.0,4.38979E-12,0.1,0,0.01,2.95812E-12
RungeKutta4,21,2.1,1.01374E-11,0.1,0,0.01,6.83122E-12
RungeKutta4,22,2.2,2.32968E-11,0.1,0,0.01,1.56989E-11
RungeKutta4,23,2.3,5.32993E-11,0.1,0,0.01,3.59165E-11
RungeKutta4,24,2.4,1.21435E-10,0.1,0,0.01,8.18306E-11
RungeKutta4,25,2.5,2.75607E-10,0.1,0,0.01,1.85722E-10
RungeKutta4,26,2.6,6.23264E-10,0.1,0,0.01,4.19995E-10
RungeKutta4,27,2.7,1.40471E-9,0.1,0,0.01,9.46583E-10
RungeKutta4,28,2.8,3.15589E-9,0.1,0,0.01,2.12664E-9
RungeKutta4,29,2.9,7.06899E-9,0.1,0,0.01,4.76353E-9
RungeKutta4,30,3.0,1.57892E-8,0.1,0,0.01,1.06398E-8
RungeKutta4,31,3.1,3.51720E-8,0.1,0,0.01,2.37011E-8
RungeKutta4,32,3.2,7.81490E-8,0.1,0,0.01,5.26618E-8
RungeKutta4,33,3.3,1.73217E-7,0.1,0,0.01,1.16725E-7
RungeKutta4,34,3.4,3.83040E-7,0.1,0,0.01,2.58117E-7
RungeKutta4,35,3.5,8.45142E-7,0.1,0,0.01,5.69510E-7
RungeKutta4,36,3.6,0.00000186071,0.1,0,0.01,0.00000125386
RungeKutta4,37,3.7,0.00000408819,0.1,0,0.01,0.00000275488
RungeKutta4,38,3.8,0.00000896436,0.1,0,0.01,0.00000604076
RungeKutta4,39,3.9,0.0000196181,0.1,0,0.01,0.0000132199
RungeKutta4,40,4.0,0.0000428524,0.1,0,0.01,0.0000288767
RungeKutta4,41,4.1,0.0000934291,0.1,0,0.01,0.0000629585
