method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,1.55966E-15,0.1,0,0.01,1.15971E-15
RungeKutta4,2,0.2,5.23806E-15,0.1,0,0.01,3.89484E-15
RungeKutta4,3,0.3,1.51846E-14,0.1,0,0.01,1.12908E-14
RungeKutta4,4,0.4,4.27254E-14,0.1,0,0.01,3.17692E-14
RungeKutta4,5,0.5,1.18966E-13,0.1,0,0.01,8.84591E-14
RungeKutta4,6,0.6,3.29104E-13,0.1,0,0.01,2.44711E-13
RungeKutta4,7,0.7,9.05532E-13,0.1,0,0.01,6.73323E-13
RungeKutta4,8,0.8,2.47953E-12,0.1,0,0.01,1.84369E-12
RungeKutta4,9,0.9,6.75931E-12,0.1,0,0.01,5.02600E-12
RungeKutta4,10,1.0,1.83504E-11,0.1,0,0.01,1.36447E-11
RungeKutta4,11,1.1,4.96276E-11,0.1,0,0.01,3.69014E-11
RungeKutta4,12,1.2,1.33736E-10,0.1,0,0.01,9.94416E-11
RungeKutta4,13,1.3,3.59181E-10,0.1,0,0.01,2.67075E-10
RungeKutta4,14,1.4,9.61634E-10,0.1,0,0.01,7.15039E-10
RungeKutta4,15,1.5,2.56692E-9,0.1,0,0.01,1.90868E-9
RungeKutta4,16,1.6,6.83269E-9,0.1,0,0.01,5.08056E-9
RungeKutta4,17,1.7,1.81390E-8,0.1,0,0.01,1.34875E-8
RungeKutta4,18,1.8,4.80315E-8,0.1,0,0.01,3.57146E-8
RungeKutta4,19,1.9,1.26878E-7,0.1,0,0.01,9.43422E-8
RungeKutta4,20,2.0,3.34378E-7,0.1,0,0.01,2.48632E-7
RungeKutta4,21,2.1,8.79273E-7,0.1,0,0.01,6.53798E-7
RungeKutta4,22,2.2,0.00000230716,0.1,0,0.01,0.00000171553
RungeKutta4,23,2.3,0.00000604139,0.1,0,0.01,0.00000449217
RungeKutta4,24,2.4,0.0000157880,0.1,0,0.01,0.0000117394
RungeKutta4,25,2.5,0.0000411773,0.1,0,0.01,0.0000306181
RungeKutta4,26,2.6,0.000107182,0.1,0,0.01,0.0000796969
RungeKutta4,27,2.7,0.000278389,0.1,0,0.01,0.000207001
RungeKutta4,28,2.8,0.000721176,0.1,0,0.01,0.000536242
RungeKutta4,29,2.9,0.00186094,0.1,0,0.01,0.00138373
RungeKutta4,30,3.0,0.00476789,0.1,0,0.01,0.00354524
RungeKutta4,31,3.1,0.0120349,0.1,0,0.01,0.00894875
RungeKutta4,32,3.2,0.0294162,0.1,0,0.01,0.0218729
RungeKutta4,33,3.3,0.0673992,0.1,0,0.01,0.0501158
RungeKutta4,34,3.4,0.138470,0.1,0,0.01,0.102962
RungeKutta4,35,3.5,0.246673,0.1,0,0.01,0.183418
RungeKutta4,36,3.6,0.381070,0.1,0,0.01,0.283351
RungeKutta4,37,3.7,0.524124,0.1,0,0.01,0.389721
RungeKutta4,38,3.8,0.662186,0.1,0,0.01,0.492379
RungeKutta4,39,3.9,0.788139,0.1,0,0.01,0.586034
RungeKutta4,40,4.0,0.899552,0.1,0,0.01,0.668877
RungeKutta4,41,4.1,0.996450,0.1,0,0.01,0.740927
RungeKutta4,42,4.2,1.07988,0.1,0,0.01,0.802962
RungeKutta4,43,4.3,1.15117,0.1,0,0.01,0.855971
RungeKutta4,44,4.4,1.21155,0.1,0,0.01,0.900868
RungeKutta4,45,4.5,1.26188,0.1,0,0.01,0.938291
RungeKutta4,46,4.6,1.30229,0.1,0,0.01,0.968339
RungeKutta4,47,4.7,1.33146,0.1,0,0.01,0.990029
RungeKutta4,48,4.8,1.34487,0.1,0,0.01,1
RungeKutta4,49,4.9,1.33123,0.1,0,0.01,0.989858
RungeKutta4,50,5.0,1.26737,0.1,0,0.01,0.942374
RungeKutta4,51,5.1,1.11968,0.1,0,0.01,0.832556
RungeKutta4,52,5.2,0.874587,0.1,0,0.01,0.650313
RungeKutta4,53,5.3,0.584809,0.1,0,0.01,0.434844
RungeKutta4,54,5.4,0.337367,0.1,0,0.01,0.250855
RungeKutta4,55,5.5,0.173100,0.1,0,0.01,0.128711
RungeKutta4,56,5.6,0.0813678,0.1,0,0.01,0.0605024
RungeKutta4,57,5.7,0.0359065,0.1,0,0.01,0.0266989
RungeKutta4,58,5.8,0.0151803,0.1,0,0.01,0.0112876
RungeKutta4,59,5.9,0.00624562,0.1,0,0.01,0.00464403
RungeKutta4,60,6.0,0.00252757,0.1,0,0.01,0.00187942
RungeKutta4,61,6.1,0.00101287,0.1,0,0.01,0.000753136
RungeKutta4,62,6.2,0.000403473,0.1,0,0.01,0.000300009
RungeKutta4,63,6.3,0.000160118,0.1,0,0.01,0.000119058
RungeKutta4,64,6.4,0.0000633788,0.1,0,0.01,0.0000471263
RungeKutta4,65,6.5,0.0000250391,0.1,0,0.01,0.0000186182
RungeKutta4,66,6.6,0.0000098767,0.1,0,0.01,0.00000734398
RungeKutta4,67,6.7,0.00000389057,0.1,0,0.01,0.00000289290
RungeKutta4,68,6.8,0.00000153060,0.1,0,0.01,0.00000113810
RungeKutta4,69,6.9,6.01433E-7,0.1,0,0.01,4.47205E-7
RungeKutta4,70,7.0,2.36048E-7,0.1,0,0.01,1.75517E-7
RungeKutta4,71,7.1,9.2535E-8,0.1,0,0.01,6.88059E-8
RungeKutta4,72,7.2,3.6233E-8,0.1,0,0.01,2.69416E-8
RungeKutta4,73,7.3,1.4171E-8,0.1,0,0.01,1.05371E-8
RungeKutta4,74,7.4,5.53593E-9,0.1,0,0.01,4.11633E-9
RungeKutta4,75,7.5,2.16010E-9,0.1,0,0.01,1.60618E-9
RungeKutta4,76,7.6,8.4187E-10,0.1,0,0.01,6.25986E-10
RungeKutta4,77,7.7,3.27723E-10,0.1,0,0.01,2.43684E-10
RungeKutta4,78,7.8,1.27425E-10,0.1,0,0.01,9.47489E-11
RungeKutta4,79,7.9,4.94867E-11,0.1,0,0.01,3.67966E-11
RungeKutta4,80,8.0,1.91955E-11,0.1,0,0.01,1.42731E-11
RungeKutta4,81,8.1,7.4369E-12,0.1,0,0.01,5.52983E-12
RungeKutta4,82,8.2,2.87778E-12,0.1,0,0.01,2.13982E-12
RungeKutta4,83,8.3,1.11225E-12,0.1,0,0.01,8.27032E-13
RungeKutta4,84,8.4,4.29352E-13,0.1,0,0.01,3.19252E-13
RungeKutta4,85,8.5,1.65537E-13,0.1,0,0.01,1.23088E-13
RungeKutta4,86,8.6,6.3744E-14,0.1,0,0.01,4.73979E-14
RungeKutta4,87,8.7,2.4516E-14,0.1,0,0.01,1.82293E-14
RungeKutta4,88,8.8,9.4172E-15,0.1,0,0.01,7.00231E-15
RungeKutta4,89,8.9,3.61297E-15,0.1,0,0.01,2.68648E-15
RungeKutta4,90,9.0,1.38444E-15,0.1,0,0.01,1.02942E-15
RungeKutta4,91,9.1,5.29847E-16,0.1,0,0.01,3.93976E-16
RungeKutta4,92,9.2,2.02535E-16,0.1,0,0.01,1.50598E-16
RungeKutta4,93,9.3,7.7327E-17,0.1,0,0.01,5.74978E-17
RungeKutta4,94,9.4,2.94882E-17,0.1,0,0.01,2.19264E-17
RungeKutta4,95,9.5,1.12324E-17,0.1,0,0.01,8.35203E-18
RungeKutta4,96,9.6,4.27372E-18,0.1,0,0.01,3.17779E-18
RungeKutta4,97,9.7,1.62432E-18,0.1,0,0.01,1.20779E-18
RungeKutta4,98,9.8,6.1673E-19,0.1,0,0.01,4.58580E-19
RungeKutta4,99,9.9,2.3394E-19,0.1,0,0.01,1.73950E-19
RungeKutta4,100,10.0,8.8660E-20,0.1,0,0.01,6.59246E-20
RungeKutta4,101,10.1,3.3575E-20,0.1,0,0.01,2.49652E-20
RungeKutta4,102,10.2,1.27062E-20,0.1,0,0.01,9.44790E-21
RungeKutta4,103,10.3,4.80598E-21,0.1,0,0.01,3.57356E-21
RungeKutta4,104,10.4,1.81713E-21,0.1,0,0.01,1.35116E-21
