method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,7.61682E-15,0.1,0,0.01,6.86194E-15
RungeKutta4,2,0.2,2.50455E-14,0.1,0,0.01,2.25633E-14
RungeKutta4,3,0.3,7.18652E-14,0.1,0,0.01,6.47428E-14
RungeKutta4,4,0.4,2.00973E-13,0.1,0,0.01,1.81055E-13
RungeKutta4,5,0.5,5.57015E-13,0.1,0,0.01,5.01811E-13
RungeKutta4,6,0.6,1.53487E-12,0.1,0,0.01,1.38275E-12
RungeKutta4,7,0.7,4.20860E-12,0.1,0,0.01,3.79150E-12
RungeKutta4,8,0.8,1.14884E-11,0.1,0,0.01,1.03498E-11
RungeKutta4,9,0.9,3.12306E-11,0.1,0,0.01,2.81354E-11
RungeKutta4,10,1.0,8.45728E-11,0.1,0,0.01,7.61910E-11
RungeKutta4,11,1.1,2.28201E-10,0.1,0,0.01,2.05585E-10
RungeKutta4,12,1.2,6.13686E-10,0.1,0,0.01,5.52865E-10
RungeKutta4,13,1.3,1.64512E-9,0.1,0,0.01,1.48208E-9
RungeKutta4,14,1.4,4.39694E-9,0.1,0,0.01,3.96117E-9
RungeKutta4,15,1.5,1.17186E-8,0.1,0,0.01,1.05572E-8
RungeKutta4,16,1.6,3.11484E-8,0.1,0,0.01,2.80614E-8
RungeKutta4,17,1.7,8.25829E-8,0.1,0,0.01,7.43983E-8
RungeKutta4,18,1.8,2.18418E-7,0.1,0,0.01,1.96771E-7
RungeKutta4,19,1.9,5.76331E-7,0.1,0,0.01,5.19212E-7
RungeKutta4,20,2.0,0.00000151736,0.1,0,0.01,0.00000136698
RungeKutta4,21,2.1,0.00000398631,0.1,0,0.01,0.00000359124
RungeKutta4,22,2.2,0.0000104507,0.1,0,0.01,0.00000941496
RungeKutta4,23,2.3,0.0000273427,0.1,0,0.01,0.0000246328
RungeKutta4,24,2.4,0.0000713929,0.1,0,0.01,0.0000643173
RungeKutta4,25,2.5,0.000186010,0.1,0,0.01,0.000167575
RungeKutta4,26,2.6,0.000483418,0.1,0,0.01,0.000435508
RungeKutta4,27,2.7,0.00125188,0.1,0,0.01,0.00112781
RungeKutta4,28,2.8,0.00322188,0.1,0,0.01,0.00290257
RungeKutta4,29,2.9,0.00818750,0.1,0,0.01,0.00737606
RungeKutta4,30,3.0,0.0202448,0.1,0,0.01,0.0182384
RungeKutta4,31,3.1,0.0473195,0.1,0,0.01,0.0426298
RungeKutta4,32,3.2,0.100138,0.1,0,0.01,0.0902136
RungeKutta4,33,3.3,0.184541,0.1,0,0.01,0.166252
RungeKutta4,34,3.4,0.293653,0.1,0,0.01,0.264550
RungeKutta4,35,3.5,0.412488,0.1,0,0.01,0.371607
RungeKutta4,36,3.6,0.527963,0.1,0,0.01,0.475638
RungeKutta4,37,3.7,0.632833,0.1,0,0.01,0.570115
RungeKutta4,38,3.8,0.724541,0.1,0,0.01,0.652734
RungeKutta4,39,3.9,0.803110,0.1,0,0.01,0.723516
RungeKutta4,40,4.0,0.869664,0.1,0,0.01,0.783474
RungeKutta4,41,4.1,0.925645,0.1,0,0.01,0.833907
RungeKutta4,42,4.2,0.972457,0.1,0,0.01,0.876079
RungeKutta4,43,4.3,1.01132,0.1,0,0.01,0.911091
RungeKutta4,44,4.4,1.04322,0.1,0,0.01,0.939829
RungeKutta4,45,4.5,1.06888,0.1,0,0.01,0.962946
RungeKutta4,46,4.6,1.08869,0.1,0,0.01,0.980793
RungeKutta4,47,4.7,1.10262,0.1,0,0.01,0.993342
RungeKutta4,48,4.8,1.11001,0.1,0,0.01,1
RungeKutta4,49,4.9,1.10922,0.1,0,0.01,0.999288
RungeKutta4,50,5.0,1.09721,0.1,0,0.01,0.988469
RungeKutta4,51,5.1,1.06924,0.1,0,0.01,0.963271
RungeKutta4,52,5.2,1.01954,0.1,0,0.01,0.918496
RungeKutta4,53,5.3,0.944175,0.1,0,0.01,0.850600
RungeKutta4,54,5.4,0.845950,0.1,0,0.01,0.762110
RungeKutta4,55,5.5,0.736915,0.1,0,0.01,0.663881
RungeKutta4,56,5.6,0.633320,0.1,0,0.01,0.570553
RungeKutta4,57,5.7,0.546875,0.1,0,0.01,0.492676
RungeKutta4,58,5.8,0.481066,0.1,0,0.01,0.433389
