month,observed,simulated_raw,synthesised
1,0,4.9324985520000005e-12,1.422629306067528e-10
2,0,9.271674198e-08,2.674132651298332e-06
3,0,0.001344537797,0.03877910663252178
4,7,0.37468313,10.806596202871209
5,30,1.0301726,29.712197897626083
6,25,0.7807805999999999,22.519243573190774
7,6,0.3294126,9.500905344571912
8,9,0.2192616,6.323934504324937
9,1,0.11610664,3.348743176539959
10,2,0.025221273199999998,0.7274309766620594
11,0,2.240860894e-05,0.0006463082239187813
12,0,1.2135343e-09,3.500070888815829e-08
