month,observed,simulated_raw,synthesised
1,0,5.2315873799999996e-11,2.8226369888200647e-10
2,0,4.4449942810000005e-07,2.398240602959068e-06
3,0,0.002998351507,0.016177227396596754
4,3,0.52789608,2.848196720095911
5,7,1.281644,6.91494855792565
6,1,0.6232556,3.3626969832801357
7,5,0.3403187,1.8361466240236228
8,2,0.2066637,1.115027928418952
9,1,0.0281298237,0.1517709159712196
10,0,1.4110308439999999e-05,7.61303895614259e-05
11,0,1.0639861800000001e-09,5.74060324165199e-09
12,0,2.126547e-13,1.1473516133193865e-12
