TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 15:03:07,lesser_celandine_observed.csv,3.246,1.647,5.284,3.537,8.113,1.4,4.08,2.088,2.89,0.1618993497512956938230010808,
2026-05-21 15:03:08,lesser_celandine_observed.csv,4.37,1.549,5.427,2.112,4.384,2.09,5.16,5.567,4.97,0.001720904294773026671974088979,
2026-05-21 15:03:08,lesser_celandine_observed.csv,2.188,1.968,2.042,3.796,8.843,2.81,4.05,10.769,3.83,0.1008814826654771338776996057,
2026-05-21 15:03:08,lesser_celandine_observed.csv,2.905,2.839,4.834,4.13,1.685,2.22,4.82,13.169,3.99,0.05909204100100635135121833471,
2026-05-21 15:03:08,lesser_celandine_observed.csv,3.66,1.8,7.65,3.029,4.323,1.57,4.06,2.158,3.21,0.1506119316711378970652876179,
2026-05-21 15:03:09,lesser_celandine_observed.csv,4.494,1.866,5.71,3.635,9.274,1.49,4.52,5.557,4.43,0.09821279035633053032488863028,
2026-05-21 15:03:09,lesser_celandine_observed.csv,2.143,0.676,6.411,6.228,2.06,2.44,5.14,11.181,3.57,0.03501272663696928478488119597,
2026-05-21 15:03:09,lesser_celandine_observed.csv,2.572,0.788,6.502,6.883,3.667,1.88,5.43,6.036,3.75,0.03361003206411864778191457535,
2026-05-21 15:03:10,lesser_celandine_observed.csv,1.661,2.485,4.417,3.42,8.118,1.98,5.66,3.795,4.44,0.01547292253991182194580241522,
2026-05-21 15:03:10,lesser_celandine_observed.csv,4.421,2.035,3.614,3.371,5.83,2.18,4.16,13.864,2.83,0.1118308679533500479805013309,
2026-05-21 15:03:10,lesser_celandine_observed.csv,3.767,2.736,7.947,4.523,6.338,2.61,5.54,14.355,4.84,0.01685200280949349811852007943,
2026-05-21 15:03:10,lesser_celandine_observed.csv,2.223,1.459,3.086,4.954,8.511,2.62,5.89,3.845,3.55,0.004177098473298201434017728695,
2026-05-21 15:03:11,lesser_celandine_observed.csv,2.275,0.76,4.727,6.291,5.251,1.54,4.96,2.084,3.9,0.06028052218348918473646623470,
2026-05-21 15:03:11,lesser_celandine_observed.csv,2.037,1.043,5.909,7.795,8.755,1.51,5.39,12.461,5.27,0.01536379874268164632553437313,
2026-05-21 15:03:11,lesser_celandine_observed.csv,2.15,0.719,6.142,7.497,3.351,2.78,4.63,10.707,2.81,0.1076457517729659300296175098,
2026-05-21 15:03:11,lesser_celandine_observed.csv,2.892,2.65,7.304,6.347,1.879,2.04,4.05,1.331,3.4,0.1141080748655293121053016120,
2026-05-21 15:03:12,lesser_celandine_observed.csv,2.354,0.823,3.468,7.193,8.039,2.51,5.96,14.657,3.01,0.06420717958798015791620664951,
2026-05-21 15:03:12,lesser_celandine_observed.csv,2.68,2.869,6.031,7.704,8.151,2.18,5.59,8.258,5.32,0.02235146947895446456196919081,
2026-05-21 15:03:12,lesser_celandine_observed.csv,1.774,0.561,1.372,6.925,1.029,1.19,4.62,12.198,3.91,0.1334124124896251487167195804,
2026-05-21 15:03:13,lesser_celandine_observed.csv,3.601,2.894,1.029,5.534,5.487,2.55,5.06,5.349,3.43,0.03560864054283605620470501153,
2026-05-21 15:03:13,lesser_celandine_observed.csv,1.581,2.844,7.003,2.692,7.352,2.65,5.78,6.419,3.67,0.004985450398622109972150461791,
2026-05-21 15:03:13,lesser_celandine_observed.csv,1.286,2.096,6.027,7.497,1.364,1.01,4.11,14.792,3.1,0.2260714895342327889048886093,
2026-05-21 15:03:13,lesser_celandine_observed.csv,4.675,0.53,6.907,1.836,5.38,1.3,5.62,2.431,4.22,0.005764489473617474265048508495,
2026-05-21 15:03:14,lesser_celandine_observed.csv,2.386,0.682,2.181,4.528,7.628,2.22,5.19,1.635,3.89,0.002824437244587529332777705771,
2026-05-21 15:03:14,lesser_celandine_observed.csv,2.759,1.232,3.599,6.743,5.572,2.91,4.15,4.371,3.11,0.09454310816421074710447759827,
2026-05-21 15:03:14,lesser_celandine_observed.csv,2.95,1.242,1.378,1.671,2.774,1.4,5.01,14.373,3.87,0.04730416879279299439367478731,
2026-05-21 15:03:15,lesser_celandine_observed.csv,4.721,0.91,2.032,6.438,7.74,3.0,4.38,5.294,3.6,0.06004261977771768543618406954,
2026-05-21 15:03:15,lesser_celandine_observed.csv,1.691,1.044,1.355,1.699,3.358,2.97,5.67,10.328,5.17,0.1210025729847611853450441948,
2026-05-21 15:03:15,lesser_celandine_observed.csv,1.473,1.172,1.963,2.555,5.429,2.65,5.9,13.141,3.07,0.03411383981014613850688858900,
2026-05-21 15:03:15,lesser_celandine_observed.csv,1.743,0.536,6.439,0.393,9.462,2.03,4.48,4.616,4.35,0.06071592569275786837987123923,
2026-05-21 15:03:16,lesser_celandine_observed.csv,3.923,0.594,4.174,5.818,2.062,1.91,4.76,11.954,2.91,0.1019103861872111020513154151,
2026-05-21 15:03:16,lesser_celandine_observed.csv,2.82,2.544,7.31,5.761,5.174,1.2,5.21,10.268,4.17,0.05541069551028854957492972319,
2026-05-21 15:03:16,lesser_celandine_observed.csv,1.319,1.35,1.536,7.713,9.123,1.57,5.59,8.679,3.18,0.1036108477822694099550596029,
