method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,0.0000136950,0.1,0,0.01,0.00000721671
RungeKutta4,2,0.2,0.0000378343,0.1,0,0.01,0.0000199371
RungeKutta4,3,0.3,0.0000872251,0.1,0,0.01,0.0000459641
RungeKutta4,4,0.4,0.000192855,0.1,0,0.01,0.000101627
RungeKutta4,5,0.5,0.000420965,0.1,0,0.01,0.000221831
RungeKutta4,6,0.6,0.000913405,0.1,0,0.01,0.000481327
RungeKutta4,7,0.7,0.00197216,0.1,0,0.01,0.00103925
RungeKutta4,8,0.8,0.00423203,0.1,0,0.01,0.00223011
RungeKutta4,9,0.9,0.00899525,0.1,0,0.01,0.00474013
RungeKutta4,10,1.0,0.0188106,0.1,0,0.01,0.00991242
RungeKutta4,11,1.1,0.0382376,0.1,0,0.01,0.0201497
RungeKutta4,12,1.2,0.0741691,0.1,0,0.01,0.0390841
RungeKutta4,13,1.3,0.134225,0.1,0,0.01,0.0707311
RungeKutta4,14,1.4,0.222548,0.1,0,0.01,0.117274
RungeKutta4,15,1.5,0.336234,0.1,0,0.01,0.177182
RungeKutta4,16,1.6,0.466592,0.1,0,0.01,0.245875
RungeKutta4,17,1.7,0.603633,0.1,0,0.01,0.318090
RungeKutta4,18,1.8,0.739431,0.1,0,0.01,0.389650
RungeKutta4,19,1.9,0.869017,0.1,0,0.01,0.457937
RungeKutta4,20,2.0,0.989868,0.1,0,0.01,0.521620
RungeKutta4,21,2.1,1.10107,0.1,0,0.01,0.580219
RungeKutta4,22,2.2,1.20262,0.1,0,0.01,0.633732
RungeKutta4,23,2.3,1.29498,0.1,0,0.01,0.682402
RungeKutta4,24,2.4,1.37880,0.1,0,0.01,0.726571
RungeKutta4,25,2.5,1.45476,0.1,0,0.01,0.766599
RungeKutta4,26,2.6,1.52352,0.1,0,0.01,0.802833
RungeKutta4,27,2.7,1.58567,0.1,0,0.01,0.835583
RungeKutta4,28,2.8,1.64174,0.1,0,0.01,0.865130
RungeKutta4,29,2.9,1.69217,0.1,0,0.01,0.891705
RungeKutta4,30,3.0,1.73731,0.1,0,0.01,0.915492
RungeKutta4,31,3.1,1.77745,0.1,0,0.01,0.936644
RungeKutta4,32,3.2,1.81272,0.1,0,0.01,0.955230
RungeKutta4,33,3.3,1.84309,0.1,0,0.01,0.971233
RungeKutta4,34,3.4,1.86819,0.1,0,0.01,0.984460
RungeKutta4,35,3.5,1.88708,0.1,0,0.01,0.994414
RungeKutta4,36,3.6,1.89768,0.1,0,0.01,1
RungeKutta4,37,3.7,1.89576,0.1,0,0.01,0.998988
RungeKutta4,38,3.8,1.87321,0.1,0,0.01,0.987105
RungeKutta4,39,3.9,1.81551,0.1,0,0.01,0.956700
RungeKutta4,40,4.0,1.70012,0.1,0,0.01,0.895894
RungeKutta4,41,4.1,1.50140,0.1,0,0.01,0.791177
RungeKutta4,42,4.2,1.21129,0.1,0,0.01,0.638300
RungeKutta4,43,4.3,0.867675,0.1,0,0.01,0.457229
RungeKutta4,44,4.4,0.546863,0.1,0,0.01,0.288175
RungeKutta4,45,4.5,0.308136,0.1,0,0.01,0.162375
RungeKutta4,46,4.6,0.159977,0.1,0,0.01,0.0843014
RungeKutta4,47,4.7,0.078854,0.1,0,0.01,0.0415528
RungeKutta4,48,4.8,0.0377337,0.1,0,0.01,0.0198841
RungeKutta4,49,4.9,0.0177792,0.1,0,0.01,0.00936891
RungeKutta4,50,5.0,0.0083155,0.1,0,0.01,0.00438193
RungeKutta4,51,5.1,0.00387737,0.1,0,0.01,0.00204322
RungeKutta4,52,5.2,0.00180632,0.1,0,0.01,0.000951857
RungeKutta4,53,5.3,0.00084156,0.1,0,0.01,0.000443468
RungeKutta4,54,5.4,0.000392245,0.1,0,0.01,0.000206697
RungeKutta4,55,5.5,0.000182902,0.1,0,0.01,0.0000963819
RungeKutta4,56,5.6,0.0000853137,0.1,0,0.01,0.0000449568
RungeKutta4,57,5.7,0.0000397985,0.1,0,0.01,0.0000209722
RungeKutta4,58,5.8,0.0000185638,0.1,0,0.01,0.00000978237
RungeKutta4,59,5.9,0.00000865618,0.1,0,0.01,0.00000456145
RungeKutta4,60,6.0,0.00000403411,0.1,0,0.01,0.00000212581
RungeKutta4,61,6.1,0.00000187864,0.1,0,0.01,9.89967E-7
RungeKutta4,62,6.2,8.7404E-7,0.1,0,0.01,4.60583E-7
RungeKutta4,63,6.3,4.06192E-7,0.1,0,0.01,2.14047E-7
RungeKutta4,64,6.4,1.88527E-7,0.1,0,0.01,9.93460E-8
RungeKutta4,65,6.5,8.7375E-8,0.1,0,0.01,4.60431E-8
RungeKutta4,66,6.6,4.04297E-8,0.1,0,0.01,2.13048E-8
RungeKutta4,67,6.7,1.86749E-8,0.1,0,0.01,9.84091E-9
RungeKutta4,68,6.8,8.6097E-9,0.1,0,0.01,4.53696E-9
RungeKutta4,69,6.9,3.96122E-9,0.1,0,0.01,2.08740E-9
RungeKutta4,70,7.0,1.81852E-9,0.1,0,0.01,9.58286E-10
RungeKutta4,71,7.1,8.32887E-10,0.1,0,0.01,4.38897E-10
RungeKutta4,72,7.2,3.80509E-10,0.1,0,0.01,2.00513E-10
RungeKutta4,73,7.3,1.73372E-10,0.1,0,0.01,9.13600E-11
RungeKutta4,74,7.4,7.87698E-11,0.1,0,0.01,4.15085E-11
RungeKutta4,75,7.5,3.56796E-11,0.1,0,0.01,1.88017E-11
RungeKutta4,76,7.6,1.61093E-11,0.1,0,0.01,8.48894E-12
RungeKutta4,77,7.7,7.2482E-12,0.1,0,0.01,3.81951E-12
RungeKutta4,78,7.8,3.24923E-12,0.1,0,0.01,1.71221E-12
RungeKutta4,79,7.9,1.45083E-12,0.1,0,0.01,7.64528E-13
RungeKutta4,80,8.0,6.4508E-13,0.1,0,0.01,3.39931E-13
RungeKutta4,81,8.1,2.85523E-13,0.1,0,0.01,1.50459E-13
RungeKutta4,82,8.2,1.25764E-13,0.1,0,0.01,6.62725E-14
RungeKutta4,83,8.3,5.51063E-14,0.1,0,0.01,2.90388E-14
RungeKutta4,84,8.4,2.40108E-14,0.1,0,0.01,1.26527E-14
RungeKutta4,85,8.5,1.03990E-14,0.1,0,0.01,5.47985E-15
RungeKutta4,86,8.6,4.47472E-15,0.1,0,0.01,2.35800E-15
RungeKutta4,87,8.7,1.91222E-15,0.1,0,0.01,1.00766E-15
RungeKutta4,88,8.8,8.1121E-16,0.1,0,0.01,4.27475E-16
RungeKutta4,89,8.9,3.41507E-16,0.1,0,0.01,1.79960E-16
RungeKutta4,90,9.0,1.42645E-16,0.1,0,0.01,7.51681E-17
RungeKutta4,91,9.1,5.91225E-17,0.1,0,0.01,3.11551E-17
RungeKutta4,92,9.2,2.43318E-17,0.1,0,0.01,1.28219E-17
RungeKutta4,93,9.3,9.9584E-18,0.1,0,0.01,5.24767E-18
RungeKutta4,94,9.4,4.06553E-18,0.1,0,0.01,2.14237E-18
RungeKutta4,95,9.5,1.66433E-18,0.1,0,0.01,8.77034E-19
RungeKutta4,96,9.6,6.88902E-19,0.1,0,0.01,3.63023E-19
RungeKutta4,97,9.7,2.91729E-19,0.1,0,0.01,1.53729E-19
RungeKutta4,98,9.8,1.28199E-19,0.1,0,0.01,6.75556E-20
RungeKutta4,99,9.9,5.92457E-20,0.1,0,0.01,3.12201E-20
RungeKutta4,100,10.0,2.90080E-20,0.1,0,0.01,1.52860E-20
RungeKutta4,101,10.1,1.50170E-20,0.1,0,0.01,7.91335E-21
RungeKutta4,102,10.2,8.13422E-21,0.1,0,0.01,4.28640E-21
RungeKutta4,103,10.3,4.54495E-21,0.1,0,0.01,2.39500E-21
RungeKutta4,104,10.4,2.58450E-21,0.1,0,0.01,1.36193E-21
RungeKutta4,105,10.5,1.48032E-21,0.1,0,0.01,7.80068E-22
RungeKutta4,106,10.6,8.48097E-22,0.1,0,0.01,4.46913E-22
RungeKutta4,107,10.7,4.83955E-22,0.1,0,0.01,2.55025E-22
RungeKutta4,108,10.8,2.74422E-22,0.1,0,0.01,1.44609E-22
RungeKutta4,109,10.9,1.54454E-22,0.1,0,0.01,8.13910E-23
RungeKutta4,110,11.0,8.62522E-23,0.1,0,0.01,4.54514E-23
RungeKutta4,111,11.1,4.77914E-23,0.1,0,0.01,2.51841E-23
RungeKutta4,112,11.2,2.62811E-23,0.1,0,0.01,1.38491E-23
RungeKutta4,113,11.3,1.43489E-23,0.1,0,0.01,7.56129E-24
RungeKutta4,114,11.4,7.78147E-24,0.1,0,0.01,4.10052E-24
RungeKutta4,115,11.5,4.19334E-24,0.1,0,0.01,2.20972E-24
RungeKutta4,116,11.6,2.24644E-24,0.1,0,0.01,1.18378E-24
RungeKutta4,117,11.7,1.19686E-24,0.1,0,0.01,6.30696E-25
RungeKutta4,118,11.8,6.34407E-25,0.1,0,0.01,3.34307E-25
RungeKutta4,119,11.9,3.34670E-25,0.1,0,0.01,1.76357E-25
RungeKutta4,120,12.0,0.00000189123,0.1,0,0.01,9.96601E-7
RungeKutta4,121,12.1,0.0000128165,0.1,0,0.01,0.00000675377
