method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,2.3521E-10,0.1,0,0.01,1.99733E-10
RungeKutta4,2,0.2,6.44845E-10,0.1,0,0.01,5.47583E-10
RungeKutta4,3,0.3,1.48176E-9,0.1,0,0.01,1.25827E-9
RungeKutta4,4,0.4,3.27284E-9,0.1,0,0.01,2.77920E-9
RungeKutta4,5,0.5,7.14602E-9,0.1,0,0.01,6.06819E-9
RungeKutta4,6,0.6,1.55288E-8,0.1,0,0.01,1.31866E-8
RungeKutta4,7,0.7,3.36445E-8,0.1,0,0.01,2.85699E-8
RungeKutta4,8,0.8,7.27132E-8,0.1,0,0.01,6.17459E-8
RungeKutta4,9,0.9,1.56792E-7,0.1,0,0.01,1.33143E-7
RungeKutta4,10,1.0,3.37364E-7,0.1,0,0.01,2.86480E-7
RungeKutta4,11,1.1,7.24389E-7,0.1,0,0.01,6.15130E-7
RungeKutta4,12,1.2,0.00000155230,0.1,0,0.01,0.00000131817
RungeKutta4,13,1.3,0.00000332003,0.1,0,0.01,0.00000281927
RungeKutta4,14,1.4,0.00000708760,0.1,0,0.01,0.00000601858
RungeKutta4,15,1.5,0.0000151032,0.1,0,0.01,0.0000128252
RungeKutta4,16,1.6,0.0000321262,0.1,0,0.01,0.0000272806
RungeKutta4,17,1.7,0.0000682157,0.1,0,0.01,0.0000579268
RungeKutta4,18,1.8,0.000144591,0.1,0,0.01,0.000122782
RungeKutta4,19,1.9,0.000305915,0.1,0,0.01,0.000259774
RungeKutta4,20,2.0,0.000645925,0.1,0,0.01,0.000548500
RungeKutta4,21,2.1,0.00136052,0.1,0,0.01,0.00115531
RungeKutta4,22,2.2,0.00285612,0.1,0,0.01,0.00242533
RungeKutta4,23,2.3,0.00596480,0.1,0,0.01,0.00506513
RungeKutta4,24,2.4,0.0123468,0.1,0,0.01,0.0104845
RungeKutta4,25,2.5,0.0251526,0.1,0,0.01,0.0213588
RungeKutta4,26,2.6,0.0498038,0.1,0,0.01,0.0422919
RungeKutta4,27,2.7,0.0940438,0.1,0,0.01,0.0798592
RungeKutta4,28,2.8,0.165541,0.1,0,0.01,0.140573
RungeKutta4,29,2.9,0.266779,0.1,0,0.01,0.226541
RungeKutta4,30,3.0,0.391686,0.1,0,0.01,0.332608
RungeKutta4,31,3.1,0.528309,0.1,0,0.01,0.448624
RungeKutta4,32,3.2,0.664500,0.1,0,0.01,0.564274
RungeKutta4,33,3.3,0.791418,0.1,0,0.01,0.672049
RungeKutta4,34,3.4,0.903912,0.1,0,0.01,0.767575
RungeKutta4,35,3.5,0.999375,0.1,0,0.01,0.848640
RungeKutta4,36,3.6,1.07636,0.1,0,0.01,0.914013
RungeKutta4,37,3.7,1.13343,0.1,0,0.01,0.962475
RungeKutta4,38,3.8,1.16834,0.1,0,0.01,0.992120
RungeKutta4,39,3.9,1.17762,0.1,0,0.01,1
RungeKutta4,40,4.0,1.15704,0.1,0,0.01,0.982524
RungeKutta4,41,4.1,1.10339,0.1,0,0.01,0.936966
RungeKutta4,42,4.2,1.01774,0.1,0,0.01,0.864235
RungeKutta4,43,4.3,0.908382,0.1,0,0.01,0.771371
RungeKutta4,44,4.4,0.789986,0.1,0,0.01,0.670833
RungeKutta4,45,4.5,0.678087,0.1,0,0.01,0.575811
RungeKutta4,46,4.6,0.582788,0.1,0,0.01,0.494886
RungeKutta4,47,4.7,0.506429,0.1,0,0.01,0.430044
RungeKutta4,48,4.8,0.445225,0.1,0,0.01,0.378072
RungeKutta4,49,4.9,0.391944,0.1,0,0.01,0.332827
RungeKutta4,50,5.0,0.338140,0.1,0,0.01,0.287138
RungeKutta4,51,5.1,0.277070,0.1,0,0.01,0.235280
RungeKutta4,52,5.2,0.208493,0.1,0,0.01,0.177046
RungeKutta4,53,5.3,0.141124,0.1,0,0.01,0.119838
RungeKutta4,54,5.4,0.0861822,0.1,0,0.01,0.0731834
RungeKutta4,55,5.5,0.0484634,0.1,0,0.01,0.0411537
RungeKutta4,56,5.6,0.0256964,0.1,0,0.01,0.0218206
RungeKutta4,57,5.7,0.0130907,0.1,0,0.01,0.0111162
RungeKutta4,58,5.8,0.00649027,0.1,0,0.01,0.00551134
RungeKutta4,59,5.9,0.00315769,0.1,0,0.01,0.00268142
RungeKutta4,60,6.0,0.00151561,0.1,0,0.01,0.00128701
RungeKutta4,61,6.1,0.000720115,0.1,0,0.01,0.000611500
RungeKutta4,62,6.2,0.000339467,0.1,0,0.01,0.000288265
RungeKutta4,63,6.3,0.000159012,0.1,0,0.01,0.000135028
RungeKutta4,64,6.4,0.0000740877,0.1,0,0.01,0.0000629131
RungeKutta4,65,6.5,0.0000343595,0.1,0,0.01,0.0000291771
RungeKutta4,66,6.6,0.0000158682,0.1,0,0.01,0.0000134748
RungeKutta4,67,6.7,0.0000072999,0.1,0,0.01,0.00000619886
RungeKutta4,68,6.8,0.0000033457,0.1,0,0.01,0.00000284107
RungeKutta4,69,6.9,0.00000152782,0.1,0,0.01,0.00000129738
RungeKutta4,70,7.0,6.95137E-7,0.1,0,0.01,5.90290E-7
RungeKutta4,71,7.1,3.15107E-7,0.1,0,0.01,2.67580E-7
RungeKutta4,72,7.2,1.42292E-7,0.1,0,0.01,1.20830E-7
RungeKutta4,73,7.3,6.3999E-8,0.1,0,0.01,5.43461E-8
RungeKutta4,74,7.4,2.86642E-8,0.1,0,0.01,2.43408E-8
