method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,0.00000139212,0.1,0,0.01,7.59112E-7
RungeKutta4,2,0.2,0.00000389900,0.1,0,0.01,0.00000212609
RungeKutta4,3,0.3,0.00000927730,0.1,0,0.01,0.00000505884
RungeKutta4,4,0.4,0.0000213501,0.1,0,0.01,0.0000116420
RungeKutta4,5,0.5,0.0000486861,0.1,0,0.01,0.0000265481
RungeKutta4,6,0.6,0.000110587,0.1,0,0.01,0.0000603022
RungeKutta4,7,0.7,0.000250491,0.1,0,0.01,0.000136591
RungeKutta4,8,0.8,0.000565859,0.1,0,0.01,0.000308558
RungeKutta4,9,0.9,0.00127435,0.1,0,0.01,0.000694893
RungeKutta4,10,1.0,0.00285815,0.1,0,0.01,0.00155853
RungeKutta4,11,1.1,0.00636922,0.1,0,0.01,0.00347308
RungeKutta4,12,1.2,0.0140337,0.1,0,0.01,0.00765246
RungeKutta4,13,1.3,0.0302803,0.1,0,0.01,0.0165116
RungeKutta4,14,1.4,0.0628940,0.1,0,0.01,0.0342956
RungeKutta4,15,1.5,0.122633,0.1,0,0.01,0.0668708
RungeKutta4,16,1.6,0.218555,0.1,0,0.01,0.119176
RungeKutta4,17,1.7,0.350533,0.1,0,0.01,0.191143
RungeKutta4,18,1.8,0.507410,0.1,0,0.01,0.276687
RungeKutta4,19,1.9,0.673525,0.1,0,0.01,0.367268
RungeKutta4,20,2.0,0.835803,0.1,0,0.01,0.455757
RungeKutta4,21,2.1,0.986326,0.1,0,0.01,0.537836
RungeKutta4,22,2.2,1.12159,0.1,0,0.01,0.611594
RungeKutta4,23,2.3,1.24088,0.1,0,0.01,0.676642
RungeKutta4,24,2.4,1.34496,0.1,0,0.01,0.733396
RungeKutta4,25,2.5,1.43520,0.1,0,0.01,0.782603
RungeKutta4,26,2.6,1.51314,0.1,0,0.01,0.825103
RungeKutta4,27,2.7,1.58023,0.1,0,0.01,0.861687
RungeKutta4,28,2.8,1.63777,0.1,0,0.01,0.893063
RungeKutta4,29,2.9,1.68686,0.1,0,0.01,0.919831
RungeKutta4,30,3.0,1.72838,0.1,0,0.01,0.942472
RungeKutta4,31,3.1,1.76299,0.1,0,0.01,0.961344
RungeKutta4,32,3.2,1.79110,0.1,0,0.01,0.976672
RungeKutta4,33,3.3,1.81275,0.1,0,0.01,0.988478
RungeKutta4,34,3.4,1.82746,0.1,0,0.01,0.996499
RungeKutta4,35,3.5,1.83388,0.1,0,0.01,1
RungeKutta4,36,3.6,1.82925,0.1,0,0.01,0.997475
RungeKutta4,37,3.7,1.80860,0.1,0,0.01,0.986215
RungeKutta4,38,3.8,1.76401,0.1,0,0.01,0.961900
RungeKutta4,39,3.9,1.68513,0.1,0,0.01,0.918888
RungeKutta4,40,4.0,1.56311,0.1,0,0.01,0.852351
RungeKutta4,41,4.1,1.39912,0.1,0,0.01,0.762929
RungeKutta4,42,4.2,1.21120,0.1,0,0.01,0.660458
RungeKutta4,43,4.3,1.02823,0.1,0,0.01,0.560686
RungeKutta4,44,4.4,0.873652,0.1,0,0.01,0.476395
RungeKutta4,45,4.5,0.755990,0.1,0,0.01,0.412235
RungeKutta4,46,4.6,0.671872,0.1,0,0.01,0.366366
RungeKutta4,47,4.7,0.613201,0.1,0,0.01,0.334374
RungeKutta4,48,4.8,0.571920,0.1,0,0.01,0.311863
RungeKutta4,49,4.9,0.541761,0.1,0,0.01,0.295418
RungeKutta4,50,5.0,0.518385,0.1,0,0.01,0.282671
RungeKutta4,51,5.1,0.498974,0.1,0,0.01,0.272087
RungeKutta4,52,5.2,0.481776,0.1,0,0.01,0.262709
RungeKutta4,53,5.3,0.465732,0.1,0,0.01,0.253960
RungeKutta4,54,5.4,0.450217,0.1,0,0.01,0.245500
RungeKutta4,55,5.5,0.434874,0.1,0,0.01,0.237133
RungeKutta4,56,5.6,0.419515,0.1,0,0.01,0.228758
RungeKutta4,57,5.7,0.404044,0.1,0,0.01,0.220322
RungeKutta4,58,5.8,0.388417,0.1,0,0.01,0.211801
RungeKutta4,59,5.9,0.372634,0.1,0,0.01,0.203194
RungeKutta4,60,6.0,0.356709,0.1,0,0.01,0.194511
RungeKutta4,61,6.1,0.340667,0.1,0,0.01,0.185763
RungeKutta4,62,6.2,0.324530,0.1,0,0.01,0.176964
RungeKutta4,63,6.3,0.308318,0.1,0,0.01,0.168123
RungeKutta4,64,6.4,0.292030,0.1,0,0.01,0.159242
RungeKutta4,65,6.5,0.275623,0.1,0,0.01,0.150295
RungeKutta4,66,6.6,0.258973,0.1,0,0.01,0.141216
RungeKutta4,67,6.7,0.241786,0.1,0,0.01,0.131844
RungeKutta4,68,6.8,0.223467,0.1,0,0.01,0.121855
RungeKutta4,69,6.9,0.202908,0.1,0,0.01,0.110644
RungeKutta4,70,7.0,0.178386,0.1,0,0.01,0.0972724
RungeKutta4,71,7.1,0.148087,0.1,0,0.01,0.0807506
RungeKutta4,72,7.2,0.112148,0.1,0,0.01,0.0611534
RungeKutta4,73,7.3,0.075167,0.1,0,0.01,0.0409880
RungeKutta4,74,7.4,0.0443242,0.1,0,0.01,0.0241696
RungeKutta4,75,7.5,0.0234825,0.1,0,0.01,0.0128048
RungeKutta4,76,7.6,0.0115189,0.1,0,0.01,0.00628116
RungeKutta4,77,7.7,0.00536182,0.1,0,0.01,0.00292376
RungeKutta4,78,7.8,0.00240670,0.1,0,0.01,0.00131235
RungeKutta4,79,7.9,0.00105176,0.1,0,0.01,0.000573516
RungeKutta4,80,8.0,0.00045001,0.1,0,0.01,0.000245387
RungeKutta4,81,8.1,0.000189107,0.1,0,0.01,0.000103119
RungeKutta4,82,8.2,0.000078179,0.1,0,0.01,0.0000426304
