month,observed,simulated_raw,synthesised
1,0,1.95769528e-06,4.6417209648333874e-06
2,0,0.00281576834,0.006676223347635646
3,1,0.4436595199999999,1.0519224908341798
4,4,1.51723,3.5973720585739777
5,1,0.8599427000000001,2.038935323553228
6,3,0.11173376100000001,0.2649222002074721
7,0,0.00026574216099999997,0.0006300781191819746
8,0,1.51387165e-07,3.5894093670552806e-07
9,0,5.423120689999999e-11,1.2858289672943739e-10
10,0,7.79588727e-15,1.848415008725807e-14
11,0,1.1555233e-17,2.7397607695940598e-17
12,0,5.18022025e-20,1.228236957126415e-19
