month,observed,simulated_raw,synthesised
1,4,0.22599852,6.7585995270569885
2,30,0.9784333999999999,29.26054345177464
3,12,0.40943337,12.244311072671401
4,0,0.00116327516,0.0347883293492946
5,0,1.054715138e-06,3.1541787233237835e-05
6,0,9.205424669999999e-10,2.7529285953297717e-08
7,0,5.57988974e-13,1.6686941205541584e-11
8,0,1.306364364e-16,3.9067484037924245e-15
9,0,1.3177122000000002e-19,3.940684678694898e-18
10,0,1.49431957e-21,4.468837910564194e-20
11,0,5.5901801e-24,1.671771504522392e-22
12,0,1.39955172e-26,4.1854298837372e-25
