method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,1.23087E-18,0.1,0,0.01,7.75801E-19
RungeKutta4,2,0.2,2.27647E-18,0.1,0,0.01,1.43483E-18
RungeKutta4,3,0.3,2.97646E-18,0.1,0,0.01,1.87602E-18
RungeKutta4,4,0.4,2.86864E-18,0.1,0,0.01,1.80807E-18
RungeKutta4,5,0.5,1.79070E-18,0.1,0,0.01,1.12865E-18
RungeKutta4,6,0.6,3.19109E-18,0.1,0,0.01,2.01130E-18
RungeKutta4,7,0.7,2.70543E-17,0.1,0,0.01,1.70520E-17
RungeKutta4,8,0.8,1.53551E-16,0.1,0,0.01,9.67811E-17
RungeKutta4,9,0.9,6.58904E-16,0.1,0,0.01,4.15298E-16
RungeKutta4,10,1.0,2.41692E-15,0.1,0,0.01,1.52335E-15
RungeKutta4,11,1.1,8.03777E-15,0.1,0,0.01,5.06610E-15
RungeKutta4,12,1.2,2.50123E-14,0.1,0,0.01,1.57649E-14
RungeKutta4,13,1.3,7.41888E-14,0.1,0,0.01,4.67602E-14
RungeKutta4,14,1.4,2.12219E-13,0.1,0,0.01,1.33759E-13
RungeKutta4,15,1.5,5.90086E-13,0.1,0,0.01,3.71923E-13
RungeKutta4,16,1.6,1.60378E-12,0.1,0,0.01,1.01084E-12
RungeKutta4,17,1.7,4.27786E-12,0.1,0,0.01,2.69628E-12
RungeKutta4,18,1.8,1.12327E-11,0.1,0,0.01,7.07982E-12
RungeKutta4,19,1.9,2.91029E-11,0.1,0,0.01,1.83432E-11
RungeKutta4,20,2.0,7.45389E-11,0.1,0,0.01,4.69809E-11
RungeKutta4,21,2.1,1.88999E-10,0.1,0,0.01,1.19124E-10
RungeKutta4,22,2.2,4.74992E-10,0.1,0,0.01,2.99381E-10
RungeKutta4,23,2.3,1.18439E-9,0.1,0,0.01,7.46505E-10
RungeKutta4,24,2.4,2.93251E-9,0.1,0,0.01,1.84832E-9
RungeKutta4,25,2.5,7.21471E-9,0.1,0,0.01,4.54733E-9
RungeKutta4,26,2.6,1.76478E-8,0.1,0,0.01,1.11232E-8
RungeKutta4,27,2.7,4.29406E-8,0.1,0,0.01,2.70649E-8
RungeKutta4,28,2.8,1.03979E-7,0.1,0,0.01,6.55366E-8
RungeKutta4,29,2.9,2.50660E-7,0.1,0,0.01,1.57988E-7
RungeKutta4,30,3.0,6.01763E-7,0.1,0,0.01,3.79283E-7
RungeKutta4,31,3.1,0.00000143912,0.1,0,0.01,9.07058E-7
RungeKutta4,32,3.2,0.00000342927,0.1,0,0.01,0.00000216142
RungeKutta4,33,3.3,0.00000814382,0.1,0,0.01,0.00000513294
RungeKutta4,34,3.4,0.0000192785,0.1,0,0.01,0.0000121510
RungeKutta4,35,3.5,0.0000454988,0.1,0,0.01,0.0000286773
RungeKutta4,36,3.6,0.000107062,0.1,0,0.01,0.0000674797
RungeKutta4,37,3.7,0.000251174,0.1,0,0.01,0.000158312
RungeKutta4,38,3.8,0.000587359,0.1,0,0.01,0.000370204
RungeKutta4,39,3.9,0.00136807,0.1,0,0.01,0.000862276
RungeKutta4,40,4.0,0.00316835,0.1,0,0.01,0.00199697
RungeKutta4,41,4.1,0.00726750,0.1,0,0.01,0.00458061
RungeKutta4,42,4.2,0.0163767,0.1,0,0.01,0.0103220
RungeKutta4,43,4.3,0.0356950,0.1,0,0.01,0.0224981
RungeKutta4,44,4.4,0.0733883,0.1,0,0.01,0.0462557
RungeKutta4,45,4.5,0.138070,0.1,0,0.01,0.0870237
RungeKutta4,46,4.6,0.232559,0.1,0,0.01,0.146579
RungeKutta4,47,4.7,0.350174,0.1,0,0.01,0.220710
RungeKutta4,48,4.8,0.478823,0.1,0,0.01,0.301796
RungeKutta4,49,4.9,0.607485,0.1,0,0.01,0.382890
