month,observed,simulated_raw,synthesised
1,0,8.538435300000001e-17,1.0664719132923899e-15
2,0,4.712920079e-12,5.88655499192604e-11
3,0,4.2729753989999996e-08,5.337053088898902e-07
4,0,0.00023920562730000001,0.0029877380814367395
5,3,0.19430068500000003,2.4268641268028577
6,8,1.1094121,13.856834459080904
7,22,1.529708,19.106435315363637
8,18,1.191689,14.884493507604311
9,2,0.4638304,5.793357644007379
10,4,0.3079081,3.8458491396570573
11,1,0.110461603,1.3796930345862595
12,2,0.000607792821,0.007591484269925298
