TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 15:14:21,white_campion_observed.csv,1.557,2.88,4.6,1.092,1.954,4.0,10.67,13.554,6.6,0.09205035088051654890348405205,
2026-05-21 15:14:21,white_campion_observed.csv,2.056,0.907,1.267,6.239,5.161,5.08,11.85,8.236,7.31,0.1160309414191879487259233792,
2026-05-21 15:14:21,white_campion_observed.csv,2.434,0.825,2.138,4.433,4.976,5.34,10.55,7.016,6.72,0.1156186682609020017568344024,
2026-05-21 15:14:21,white_campion_observed.csv,2.307,0.923,7.396,4.993,4.444,4.32,10.81,13.064,7.22,0.1089517115395537601973457311,
2026-05-21 15:14:22,white_campion_observed.csv,1.116,1.303,6.967,7.518,5.459,5.24,10.53,12.993,5.32,0.09862299896676412702967663062,
2026-05-21 15:14:22,white_campion_observed.csv,2.684,2.673,7.535,3.609,4.545,5.63,11.49,12.18,6.1,0.08500805933194707677979022690,
2026-05-21 15:14:22,white_campion_observed.csv,4.95,2.052,7.411,5.572,9.634,5.46,11.6,7.66,6.6,0.08833400486090867166598390000,
2026-05-21 15:14:23,white_campion_observed.csv,3.738,1.087,7.054,3.907,3.456,6.0,10.95,2.465,7.3,0.1963501256847429401572606039,
2026-05-21 15:14:23,white_campion_observed.csv,2.02,1.987,1.966,7.12,4.155,5.55,11.87,4.758,7.37,0.1078056980598718821381456562,
2026-05-21 15:14:23,white_campion_observed.csv,3.903,0.727,6.219,6.389,3.607,5.68,11.52,3.358,6.37,0.09605812241809395052969705946,
2026-05-21 15:14:23,white_campion_observed.csv,2.523,2.724,3.504,6.219,1.145,5.65,10.64,9.758,6.66,0.08985494554639221060981550171,
2026-05-21 15:14:24,white_campion_observed.csv,2.03,1.293,1.174,2.842,2.401,5.92,11.23,10.755,7.37,0.1656774511372599797401410048,
2026-05-21 15:14:24,white_campion_observed.csv,1.834,1.857,4.052,1.964,2.744,5.56,10.7,8.706,7.28,0.1454370909433023983618861296,
2026-05-21 15:14:24,white_campion_observed.csv,1.485,2.946,7.046,1.884,5.411,5.92,10.93,9.681,7.46,0.1942587546339424553880342801,
2026-05-21 15:14:25,white_campion_observed.csv,1.525,1.21,7.304,3.345,3.551,5.25,10.76,8.277,7.17,0.1208315421261484029561612132,
2026-05-21 15:14:25,white_campion_observed.csv,3.1,1.75,5.097,6.308,4.896,5.08,10.54,7.855,5.76,0.07969285376841210040353236618,
2026-05-21 15:14:25,white_campion_observed.csv,2.781,1.283,3.088,0.873,9.093,5.29,10.43,2.831,6.02,0.1115527042367620081536602998,
2026-05-21 15:14:25,white_campion_observed.csv,4.627,2.447,6.687,1.891,6.032,4.03,11.75,14.982,4.58,0.1452872573502433795886545803,
2026-05-21 15:14:26,white_campion_observed.csv,4.142,0.634,5.399,5.31,2.792,4.64,10.34,12.464,5.19,0.1245571183511552694048894610,
2026-05-21 15:14:26,white_campion_observed.csv,2.783,2.258,2.87,1.162,5.24,5.43,11.71,13.726,6.37,0.06538423574065330691885668159,
2026-05-21 15:14:26,white_campion_observed.csv,1.29,0.97,1.411,4.253,9.283,4.38,11.48,13.972,7.3,0.1157932036430378237897781813,
2026-05-21 15:14:27,white_campion_observed.csv,2.811,2.507,7.574,0.65,6.985,5.4,11.2,1.774,7.24,0.1459266516711910533567454303,
2026-05-21 15:14:27,white_campion_observed.csv,3.35,2.511,2.342,5.412,5.875,5.05,10.47,6.974,5.72,0.07108352011613196729818612180,
2026-05-21 15:14:27,white_campion_observed.csv,3.944,0.706,1.703,7.688,9.418,4.82,10.26,1.038,6.51,0.1102131307360038770156088236,
2026-05-21 15:14:27,white_campion_observed.csv,4.053,2.113,5.673,4.478,2.696,5.65,10.6,4.146,7.5,0.1496924325989657102239390942,
2026-05-21 15:14:28,white_campion_observed.csv,1.948,0.89,6.796,6.314,8.814,4.88,10.91,10.763,5.13,0.1223761103739236545469758598,
2026-05-21 15:14:28,white_campion_observed.csv,3.35,2.17,1.603,0.741,6.08,4.61,10.23,6.558,5.89,0.06677620199493541305748233024,
2026-05-21 15:14:28,white_campion_observed.csv,3.685,1.237,2.344,1.402,1.68,5.52,10.71,5.513,7.36,0.1618812812587496864374397765,
2026-05-21 15:14:29,white_campion_observed.csv,2.448,0.776,7.382,6.704,8.391,4.06,10.54,11.419,7.27,0.1367876743473156767631445539,
2026-05-21 15:14:29,white_campion_observed.csv,4.345,1.948,7.035,7.74,2.006,5.73,10.1,11.614,5.83,0.1137655772104762691156843663,
2026-05-21 15:14:29,white_campion_observed.csv,4.013,0.588,6.697,7.199,4.449,4.23,10.75,9.371,4.83,0.1943651646791004012632671479,
2026-05-21 15:14:29,white_campion_observed.csv,4.218,2.834,2.605,2.871,9.074,5.92,10.91,1.023,6.48,0.1233937107885738713270177290,
2026-05-21 15:14:30,white_campion_observed.csv,2.457,2.671,6.809,4.202,6.711,4.02,11.5,9.538,7.34,0.08708911900260412368178550264,
2026-05-21 15:14:30,white_campion_observed.csv,4.43,2.63,1.931,3.726,7.103,4.28,10.82,13.931,7.49,0.1148755162621631713676708171,
2026-05-21 15:14:30,white_campion_observed.csv,3.977,2.167,1.506,4.87,7.349,4.22,11.9,10.024,5.45,0.1217645312653940703246735788,
2026-05-21 15:14:31,white_campion_observed.csv,1.151,0.69,2.075,5.078,7.835,5.11,10.96,12.599,6.69,0.1070869197994348494772504586,
2026-05-21 15:14:31,white_campion_observed.csv,2.07,2.879,6.862,7.355,4.252,4.17,10.85,13.286,5.0,0.1611328081039423431271732457,
2026-05-21 15:14:31,white_campion_observed.csv,4.455,0.673,2.36,5.196,7.271,5.65,11.84,2.937,5.65,0.07647907664332565527947172310,
2026-05-21 15:14:32,white_campion_observed.csv,2.678,0.938,1.947,0.415,4.428,4.81,11.67,1.019,5.98,0.1413702461227862761053510624,
2026-05-21 15:14:32,white_campion_observed.csv,3.879,1.971,7.994,0.468,1.406,4.26,11.64,10.67,6.96,0.1110613869015102342693537246,
2026-05-21 15:14:32,white_campion_observed.csv,4.671,1.142,1.498,1.311,3.47,5.93,11.47,12.163,6.68,0.1624559149867300592408810800,
2026-05-21 15:14:33,white_campion_observed.csv,4.626,1.297,1.753,3.632,6.418,5.89,11.54,2.587,6.32,0.1176524958363883483326704934,
2026-05-21 15:14:33,white_campion_observed.csv,4.843,1.515,1.605,5.399,2.807,5.22,11.77,7.873,7.44,0.09071130328828977865446203384,
2026-05-21 15:14:33,white_campion_observed.csv,2.134,2.731,1.304,2.431,6.57,5.34,11.38,9.778,5.39,0.05794405145672352528054145086,
2026-05-21 15:14:34,white_campion_observed.csv,3.233,1.535,7.544,1.589,5.551,5.83,11.79,7.689,5.95,0.1532787987096356031407787801,
2026-05-21 15:14:34,white_campion_observed.csv,1.064,1.134,3.803,2.032,6.232,5.8,10.2,4.428,6.48,0.1452119253156120467517497351,
2026-05-21 15:14:34,white_campion_observed.csv,3.267,0.506,3.179,4.083,8.837,5.62,11.15,10.196,6.4,0.1301637981729410393433640503,
2026-05-21 15:14:35,white_campion_observed.csv,3.98,0.701,3.426,4.449,3.089,5.34,11.39,12.538,6.2,0.07438546877113402045229911971,
2026-05-21 15:14:35,white_campion_observed.csv,1.823,1.428,5.44,6.243,8.21,4.44,11.12,9.173,7.37,0.1122772251074803283782036812,
2026-05-21 15:14:35,white_campion_observed.csv,2.901,1.428,2.59,5.04,9.99,5.88,10.9,14.151,7.43,0.1852016464756427135301750721,
2026-05-21 15:14:35,white_campion_observed.csv,2.151,2.351,4.448,0.627,3.25,5.18,11.6,5.938,6.37,0.06191285485245310004302000068,
2026-05-21 15:14:36,white_campion_observed.csv,2.713,1.317,4.376,6.628,9.991,4.74,10.8,6.283,6.12,0.07219913681245559062245934070,
2026-05-21 15:14:36,white_campion_observed.csv,2.314,1.565,4.323,7.535,2.467,5.57,10.44,13.091,6.52,0.1071920428562458599699691839,
