method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,4.05875E-14,0.1,0,0.01,2.98787E-14
RungeKutta4,2,0.2,1.18844E-13,0.1,0,0.01,8.74876E-14
RungeKutta4,3,0.3,2.92291E-13,0.1,0,0.01,2.15171E-13
RungeKutta4,4,0.4,6.87468E-13,0.1,0,0.01,5.06083E-13
RungeKutta4,5,0.5,1.58637E-12,0.1,0,0.01,1.16781E-12
RungeKutta4,6,0.6,3.61554E-12,0.1,0,0.01,2.66160E-12
RungeKutta4,7,0.7,8.15919E-12,0.1,0,0.01,6.00643E-12
RungeKutta4,8,0.8,1.82565E-11,0.1,0,0.01,1.34396E-11
RungeKutta4,9,0.9,4.05425E-11,0.1,0,0.01,2.98456E-11
RungeKutta4,10,1.0,8.94267E-11,0.1,0,0.01,6.58319E-11
RungeKutta4,11,1.1,1.96045E-10,0.1,0,0.01,1.44319E-10
RungeKutta4,12,1.2,4.27397E-10,0.1,0,0.01,3.14630E-10
RungeKutta4,13,1.3,9.27025E-10,0.1,0,0.01,6.82434E-10
RungeKutta4,14,1.4,2.00132E-9,0.1,0,0.01,1.47328E-9
RungeKutta4,15,1.5,4.30192E-9,0.1,0,0.01,3.16688E-9
RungeKutta4,16,1.6,9.21005E-9,0.1,0,0.01,6.78002E-9
RungeKutta4,17,1.7,1.96442E-8,0.1,0,0.01,1.44612E-8
RungeKutta4,18,1.8,4.17529E-8,0.1,0,0.01,3.07366E-8
RungeKutta4,19,1.9,8.84529E-8,0.1,0,0.01,6.51150E-8
RungeKutta4,20,2.0,1.86808E-7,0.1,0,0.01,1.37520E-7
RungeKutta4,21,2.1,3.93375E-7,0.1,0,0.01,2.89585E-7
RungeKutta4,22,2.2,8.26070E-7,0.1,0,0.01,6.08115E-7
RungeKutta4,23,2.3,0.00000173015,0.1,0,0.01,0.00000127366
RungeKutta4,24,2.4,0.00000361463,0.1,0,0.01,0.00000266093
RungeKutta4,25,2.5,0.00000753363,0.1,0,0.01,0.00000554592
RungeKutta4,26,2.6,0.0000156657,0.1,0,0.01,0.0000115324
RungeKutta4,27,2.7,0.0000325032,0.1,0,0.01,0.0000239274
RungeKutta4,28,2.8,0.0000672919,0.1,0,0.01,0.0000495373
RungeKutta4,29,2.9,0.000139019,0.1,0,0.01,0.000102339
RungeKutta4,30,3.0,0.000286583,0.1,0,0.01,0.000210969
RungeKutta4,31,3.1,0.000589426,0.1,0,0.01,0.000433909
RungeKutta4,32,3.2,0.00120912,0.1,0,0.01,0.000890099
RungeKutta4,33,3.3,0.00247208,0.1,0,0.01,0.00181983
RungeKutta4,34,3.4,0.00503011,0.1,0,0.01,0.00370294
RungeKutta4,35,3.5,0.0101572,0.1,0,0.01,0.00747727
RungeKutta4,36,3.6,0.0202456,0.1,0,0.01,0.0149039
RungeKutta4,37,3.7,0.0394604,0.1,0,0.01,0.0290490
RungeKutta4,38,3.8,0.0741041,0.1,0,0.01,0.0545521
RungeKutta4,39,3.9,0.131517,0.1,0,0.01,0.0968169
RungeKutta4,40,4.0,0.216514,0.1,0,0.01,0.159388
RungeKutta4,41,4.1,0.327276,0.1,0,0.01,0.240926
RungeKutta4,42,4.2,0.455085,0.1,0,0.01,0.335013
RungeKutta4,43,4.3,0.588474,0.1,0,0.01,0.433208
RungeKutta4,44,4.4,0.717648,0.1,0,0.01,0.528300
RungeKutta4,45,4.5,0.836338,0.1,0,0.01,0.615674
RungeKutta4,46,4.6,0.941572,0.1,0,0.01,0.693143
RungeKutta4,47,4.7,1.03263,0.1,0,0.01,0.760175
RungeKutta4,48,4.8,1.11008,0.1,0,0.01,0.817191
RungeKutta4,49,4.9,1.17506,0.1,0,0.01,0.865026
RungeKutta4,50,5.0,1.22886,0.1,0,0.01,0.904631
RungeKutta4,51,5.1,1.27265,0.1,0,0.01,0.936867
RungeKutta4,52,5.2,1.30733,0.1,0,0.01,0.962397
RungeKutta4,53,5.3,1.33338,0.1,0,0.01,0.981574
RungeKutta4,54,5.4,1.35071,0.1,0,0.01,0.994332
RungeKutta4,55,5.5,1.35841,0.1,0,0.01,1
RungeKutta4,56,5.6,1.35455,0.1,0,0.01,0.997158
RungeKutta4,57,5.7,1.33592,0.1,0,0.01,0.983444
RungeKutta4,58,5.8,1.29844,0.1,0,0.01,0.955853
RungeKutta4,59,5.9,1.23858,0.1,0,0.01,0.911787
RungeKutta4,60,6.0,1.15615,0.1,0,0.01,0.851105
