method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,1.73747E-13,0.1,0,0.01,1.40058E-13
RungeKutta4,2,0.2,5.20739E-13,0.1,0,0.01,4.19768E-13
RungeKutta4,3,0.3,1.31204E-12,0.1,0,0.01,1.05764E-12
RungeKutta4,4,0.4,3.17789E-12,0.1,0,0.01,2.56170E-12
RungeKutta4,5,0.5,7.59967E-12,0.1,0,0.01,6.12610E-12
RungeKutta4,6,0.6,1.80587E-11,0.1,0,0.01,1.45571E-11
RungeKutta4,7,0.7,4.27145E-11,0.1,0,0.01,3.44322E-11
RungeKutta4,8,0.8,1.00634E-10,0.1,0,0.01,8.11211E-11
RungeKutta4,9,0.9,2.36228E-10,0.1,0,0.01,1.90424E-10
RungeKutta4,10,1.0,5.52650E-10,0.1,0,0.01,4.45491E-10
RungeKutta4,11,1.1,1.28881E-9,0.1,0,0.01,1.03891E-9
RungeKutta4,12,1.2,2.99659E-9,0.1,0,0.01,2.41555E-9
RungeKutta4,13,1.3,6.94756E-9,0.1,0,0.01,5.60043E-9
RungeKutta4,14,1.4,1.60647E-8,0.1,0,0.01,1.29498E-8
RungeKutta4,15,1.5,3.70514E-8,0.1,0,0.01,2.98672E-8
RungeKutta4,16,1.6,8.52459E-8,0.1,0,0.01,6.87168E-8
RungeKutta4,17,1.7,1.95672E-7,0.1,0,0.01,1.57731E-7
RungeKutta4,18,1.8,4.48140E-7,0.1,0,0.01,3.61246E-7
RungeKutta4,19,1.9,0.00000102416,0.1,0,0.01,8.25576E-7
RungeKutta4,20,2.0,0.00000233573,0.1,0,0.01,0.00000188283
RungeKutta4,21,2.1,0.00000531636,0.1,0,0.01,0.00000428552
RungeKutta4,22,2.2,0.0000120772,0.1,0,0.01,0.00000973544
RungeKutta4,23,2.3,0.0000273839,0.1,0,0.01,0.0000220742
RungeKutta4,24,2.4,0.0000619744,0.1,0,0.01,0.0000499576
RungeKutta4,25,2.5,0.000139996,0.1,0,0.01,0.000112851
RungeKutta4,26,2.6,0.000315619,0.1,0,0.01,0.000254421
RungeKutta4,27,2.7,0.000709959,0.1,0,0.01,0.000572298
RungeKutta4,28,2.8,0.00159237,0.1,0,0.01,0.00128361
RungeKutta4,29,2.9,0.00355595,0.1,0,0.01,0.00286645
RungeKutta4,30,3.0,0.00788127,0.1,0,0.01,0.00635310
RungeKutta4,31,3.1,0.0172229,0.1,0,0.01,0.0138834
RungeKutta4,32,3.2,0.0366396,0.1,0,0.01,0.0295352
RungeKutta4,33,3.3,0.0742641,0.1,0,0.01,0.0598643
RungeKutta4,34,3.4,0.139368,0.1,0,0.01,0.112345
RungeKutta4,35,3.5,0.236186,0.1,0,0.01,0.190390
RungeKutta4,36,3.6,0.358616,0.1,0,0.01,0.289081
RungeKutta4,37,3.7,0.493195,0.1,0,0.01,0.397565
RungeKutta4,38,3.8,0.626669,0.1,0,0.01,0.505158
RungeKutta4,39,3.9,0.750302,0.1,0,0.01,0.604819
