method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.971,0.1,0,0.01,0.910237
RungeKutta4,1,0.1,0.985486,0.1,0,0.01,0.923816
RungeKutta4,2,0.2,0.999552,0.1,0,0.01,0.937002
RungeKutta4,3,0.3,1.01292,0.1,0,0.01,0.949538
RungeKutta4,4,0.4,1.02531,0.1,0,0.01,0.961153
RungeKutta4,5,0.5,1.03648,0.1,0,0.01,0.971624
RungeKutta4,6,0.6,1.04620,0.1,0,0.01,0.980736
RungeKutta4,7,0.7,1.05426,0.1,0,0.01,0.988292
RungeKutta4,8,0.8,1.06047,0.1,0,0.01,0.994113
RungeKutta4,9,0.9,1.06468,0.1,0,0.01,0.998060
RungeKutta4,10,1.0,1.06675,0.1,0,0.01,1
RungeKutta4,11,1.1,1.06600,0.1,0,0.01,0.999297
RungeKutta4,12,1.2,1.05978,0.1,0,0.01,0.993466
RungeKutta4,13,1.3,1.04840,0.1,0,0.01,0.982798
RungeKutta4,14,1.4,1.03235,0.1,0,0.01,0.967753
RungeKutta4,15,1.5,1.01208,0.1,0,0.01,0.948751
RungeKutta4,16,1.6,0.987978,0.1,0,0.01,0.926152
RungeKutta4,17,1.7,0.960414,0.1,0,0.01,0.900313
RungeKutta4,18,1.8,0.929731,0.1,0,0.01,0.871550
RungeKutta4,19,1.9,0.896265,0.1,0,0.01,0.840178
RungeKutta4,20,2.0,0.860334,0.1,0,0.01,0.806495
RungeKutta4,21,2.1,0.822251,0.1,0,0.01,0.770795
RungeKutta4,22,2.2,0.782322,0.1,0,0.01,0.733365
RungeKutta4,23,2.3,0.740851,0.1,0,0.01,0.694489
RungeKutta4,24,2.4,0.698131,0.1,0,0.01,0.654442
RungeKutta4,25,2.5,0.654454,0.1,0,0.01,0.613498
RungeKutta4,26,2.6,0.610101,0.1,0,0.01,0.571920
RungeKutta4,27,2.7,0.565343,0.1,0,0.01,0.529963
RungeKutta4,28,2.8,0.520439,0.1,0,0.01,0.487869
RungeKutta4,29,2.9,0.475645,0.1,0,0.01,0.445878
RungeKutta4,30,3.0,0.431189,0.1,0,0.01,0.404203
RungeKutta4,31,3.1,0.387301,0.1,0,0.01,0.363062
RungeKutta4,32,3.2,0.344184,0.1,0,0.01,0.322643
RungeKutta4,33,3.3,0.302028,0.1,0,0.01,0.283124
RungeKutta4,34,3.4,0.261004,0.1,0,0.01,0.244667
RungeKutta4,35,3.5,0.221268,0.1,0,0.01,0.207418
RungeKutta4,36,3.6,0.182956,0.1,0,0.01,0.171503
RungeKutta4,37,3.7,0.146197,0.1,0,0.01,0.137044
RungeKutta4,38,3.8,0.114361,0.1,0,0.01,0.107200
RungeKutta4,39,3.9,0.089458,0.1,0,0.01,0.0838558
RungeKutta4,40,4.0,0.0699778,0.1,0,0.01,0.0655946
RungeKutta4,41,4.1,0.0547396,0.1,0,0.01,0.0513099
RungeKutta4,42,4.2,0.0428196,0.1,0,0.01,0.0401357
RungeKutta4,43,4.3,0.0334953,0.1,0,0.01,0.0313949
RungeKutta4,44,4.4,0.0262014,0.1,0,0.01,0.0245574
RungeKutta4,45,4.5,0.0204958,0.1,0,0.01,0.0192088
RungeKutta4,46,4.6,0.0160327,0.1,0,0.01,0.0150250
RungeKutta4,47,4.7,0.0125414,0.1,0,0.01,0.0117521
RungeKutta4,48,4.8,0.00981042,0.1,0,0.01,0.00919201
RungeKutta4,49,4.9,0.00767414,0.1,0,0.01,0.00718941
RungeKutta4,50,5.0,0.00600304,0.1,0,0.01,0.00562287
RungeKutta4,51,5.1,0.00469583,0.1,0,0.01,0.00439746
RungeKutta4,52,5.2,0.00367328,0.1,0,0.01,0.00343889
RungeKutta4,53,5.3,0.00287340,0.1,0,0.01,0.00268906
RungeKutta4,54,5.4,0.00224769,0.1,0,0.01,0.00210251
RungeKutta4,55,5.5,0.00175824,0.1,0,0.01,0.00164368
RungeKutta4,56,5.6,0.00137537,0.1,0,0.01,0.00128477
RungeKutta4,57,5.7,0.00107587,0.1,0,0.01,0.00100401
RungeKutta4,58,5.8,0.00084159,0.1,0,0.01,0.000784387
RungeKutta4,59,5.9,0.000658327,0.1,0,0.01,0.000612592
RungeKutta4,60,6.0,0.000514971,0.1,0,0.01,0.000478206
RungeKutta4,61,6.1,0.000402832,0.1,0,0.01,0.000373084
RungeKutta4,62,6.2,0.000315112,0.1,0,0.01,0.000290853
RungeKutta4,63,6.3,0.000246494,0.1,0,0.01,0.000226528
RungeKutta4,64,6.4,0.000192818,0.1,0,0.01,0.000176211
RungeKutta4,65,6.5,0.000150830,0.1,0,0.01,0.000136850
RungeKutta4,66,6.6,0.000117986,0.1,0,0.01,0.000106061
RungeKutta4,67,6.7,0.0000922937,0.1,0,0.01,0.0000819770
RungeKutta4,68,6.8,0.0000721960,0.1,0,0.01,0.0000631369
