method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.556,0.1,0,0.01,0.348618
RungeKutta4,1,0.1,0.558743,0.1,0,0.01,0.353107
RungeKutta4,2,0.2,0.562464,0.1,0,0.01,0.359196
RungeKutta4,3,0.3,0.567376,0.1,0,0.01,0.367233
RungeKutta4,4,0.4,0.573700,0.1,0,0.01,0.377582
RungeKutta4,5,0.5,0.581661,0.1,0,0.01,0.390609
RungeKutta4,6,0.6,0.591478,0.1,0,0.01,0.406673
RungeKutta4,7,0.7,0.603349,0.1,0,0.01,0.426098
RungeKutta4,8,0.8,0.617432,0.1,0,0.01,0.449142
RungeKutta4,9,0.9,0.633827,0.1,0,0.01,0.475970
RungeKutta4,10,1.0,0.652560,0.1,0,0.01,0.506624
RungeKutta4,11,1.1,0.673565,0.1,0,0.01,0.540995
RungeKutta4,12,1.2,0.696671,0.1,0,0.01,0.578805
RungeKutta4,13,1.3,0.721592,0.1,0,0.01,0.619584
RungeKutta4,14,1.4,0.747932,0.1,0,0.01,0.662685
RungeKutta4,15,1.5,0.775182,0.1,0,0.01,0.707276
RungeKutta4,16,1.6,0.802735,0.1,0,0.01,0.752362
RungeKutta4,17,1.7,0.829911,0.1,0,0.01,0.796831
RungeKutta4,18,1.8,0.855984,0.1,0,0.01,0.839496
RungeKutta4,19,1.9,0.880205,0.1,0,0.01,0.879130
RungeKutta4,20,2.0,0.901849,0.1,0,0.01,0.914547
RungeKutta4,21,2.1,0.920248,0.1,0,0.01,0.944654
RungeKutta4,22,2.2,0.934883,0.1,0,0.01,0.968602
RungeKutta4,23,2.3,0.945486,0.1,0,0.01,0.985952
RungeKutta4,24,2.4,0.951902,0.1,0,0.01,0.996451
RungeKutta4,25,2.5,0.954071,0.1,0,0.01,1
RungeKutta4,26,2.6,0.952588,0.1,0,0.01,0.997573
RungeKutta4,27,2.7,0.948036,0.1,0,0.01,0.990125
RungeKutta4,28,2.8,0.940462,0.1,0,0.01,0.977731
RungeKutta4,29,2.9,0.930008,0.1,0,0.01,0.960625
RungeKutta4,30,3.0,0.916906,0.1,0,0.01,0.939185
RungeKutta4,31,3.1,0.901455,0.1,0,0.01,0.913902
RungeKutta4,32,3.2,0.884010,0.1,0,0.01,0.885356
RungeKutta4,33,3.3,0.864964,0.1,0,0.01,0.854190
RungeKutta4,34,3.4,0.844733,0.1,0,0.01,0.821085
RungeKutta4,35,3.5,0.823731,0.1,0,0.01,0.786719
RungeKutta4,36,3.6,0.802361,0.1,0,0.01,0.751750
RungeKutta4,37,3.7,0.780998,0.1,0,0.01,0.716793
RungeKutta4,38,3.8,0.759981,0.1,0,0.01,0.682402
RungeKutta4,39,3.9,0.739603,0.1,0,0.01,0.649056
RungeKutta4,40,4.0,0.720107,0.1,0,0.01,0.617154
RungeKutta4,41,4.1,0.701682,0.1,0,0.01,0.587004
RungeKutta4,42,4.2,0.684468,0.1,0,0.01,0.558836
RungeKutta4,43,4.3,0.668554,0.1,0,0.01,0.532796
RungeKutta4,44,4.4,0.653986,0.1,0,0.01,0.508957
RungeKutta4,45,4.5,0.640771,0.1,0,0.01,0.487333
RungeKutta4,46,4.6,0.628882,0.1,0,0.01,0.467879
RungeKutta4,47,4.7,0.618268,0.1,0,0.01,0.450510
RungeKutta4,48,4.8,0.608857,0.1,0,0.01,0.435111
RungeKutta4,49,4.9,0.600564,0.1,0,0.01,0.421541
RungeKutta4,50,5.0,0.593297,0.1,0,0.01,0.409649
RungeKutta4,51,5.1,0.586958,0.1,0,0.01,0.399276
RungeKutta4,52,5.2,0.581451,0.1,0,0.01,0.390265
RungeKutta4,53,5.3,0.576678,0.1,0,0.01,0.382455
RungeKutta4,54,5.4,0.572538,0.1,0,0.01,0.375680
RungeKutta4,55,5.5,0.568918,0.1,0,0.01,0.369757
RungeKutta4,56,5.6,0.565675,0.1,0,0.01,0.364450
RungeKutta4,57,5.7,0.562603,0.1,0,0.01,0.359423
RungeKutta4,58,5.8,0.559363,0.1,0,0.01,0.354121
RungeKutta4,59,5.9,0.555253,0.1,0,0.01,0.347396
RungeKutta4,60,6.0,0.548306,0.1,0,0.01,0.336028
RungeKutta4,61,6.1,0.534029,0.1,0,0.01,0.312666
RungeKutta4,62,6.2,0.509741,0.1,0,0.01,0.272923
RungeKutta4,63,6.3,0.478933,0.1,0,0.01,0.222510
RungeKutta4,64,6.4,0.445650,0.1,0,0.01,0.168048
RungeKutta4,65,6.5,0.413081,0.1,0,0.01,0.114754
RungeKutta4,66,6.6,0.384438,0.1,0,0.01,0.0678838
