method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.166,0.1,0,0.01,0.275216
RungeKutta4,1,0.1,0.163872,0.1,0,0.01,0.271688
RungeKutta4,2,0.2,0.162529,0.1,0,0.01,0.269462
RungeKutta4,3,0.3,0.161950,0.1,0,0.01,0.268502
RungeKutta4,4,0.4,0.162121,0.1,0,0.01,0.268785
RungeKutta4,5,0.5,0.163039,0.1,0,0.01,0.270307
RungeKutta4,6,0.6,0.164817,0.1,0,0.01,0.273255
RungeKutta4,7,0.7,0.167607,0.1,0,0.01,0.277881
RungeKutta4,8,0.8,0.171595,0.1,0,0.01,0.284492
RungeKutta4,9,0.9,0.176991,0.1,0,0.01,0.293439
RungeKutta4,10,1.0,0.184023,0.1,0,0.01,0.305097
RungeKutta4,11,1.1,0.192925,0.1,0,0.01,0.319856
RungeKutta4,12,1.2,0.203923,0.1,0,0.01,0.338090
RungeKutta4,13,1.3,0.217219,0.1,0,0.01,0.360134
RungeKutta4,14,1.4,0.232970,0.1,0,0.01,0.386248
RungeKutta4,15,1.5,0.251273,0.1,0,0.01,0.416593
RungeKutta4,16,1.6,0.272139,0.1,0,0.01,0.451187
RungeKutta4,17,1.7,0.295484,0.1,0,0.01,0.489892
RungeKutta4,18,1.8,0.321108,0.1,0,0.01,0.532374
RungeKutta4,19,1.9,0.348694,0.1,0,0.01,0.578110
RungeKutta4,20,2.0,0.377804,0.1,0,0.01,0.626372
RungeKutta4,21,2.1,0.407884,0.1,0,0.01,0.676243
RungeKutta4,22,2.2,0.438278,0.1,0,0.01,0.726634
RungeKutta4,23,2.3,0.468250,0.1,0,0.01,0.776325
RungeKutta4,24,2.4,0.497019,0.1,0,0.01,0.824022
RungeKutta4,25,2.5,0.523782,0.1,0,0.01,0.868394
RungeKutta4,26,2.6,0.547761,0.1,0,0.01,0.908149
RungeKutta4,27,2.7,0.568235,0.1,0,0.01,0.942094
RungeKutta4,28,2.8,0.584540,0.1,0,0.01,0.969126
RungeKutta4,29,2.9,0.596060,0.1,0,0.01,0.988225
RungeKutta4,30,3.0,0.602359,0.1,0,0.01,0.998669
RungeKutta4,31,3.1,0.603162,0.1,0,0.01,1
RungeKutta4,32,3.2,0.597846,0.1,0,0.01,0.991186
RungeKutta4,33,3.3,0.586624,0.1,0,0.01,0.972581
RungeKutta4,34,3.4,0.570110,0.1,0,0.01,0.945202
RungeKutta4,35,3.5,0.549064,0.1,0,0.01,0.910309
RungeKutta4,36,3.6,0.524352,0.1,0,0.01,0.869339
RungeKutta4,37,3.7,0.496898,0.1,0,0.01,0.823822
RungeKutta4,38,3.8,0.467634,0.1,0,0.01,0.775304
RungeKutta4,39,3.9,0.437469,0.1,0,0.01,0.725293
RungeKutta4,40,4.0,0.407236,0.1,0,0.01,0.675169
RungeKutta4,41,4.1,0.377666,0.1,0,0.01,0.626144
RungeKutta4,42,4.2,0.349373,0.1,0,0.01,0.579236
RungeKutta4,43,4.3,0.322832,0.1,0,0.01,0.535233
RungeKutta4,44,4.4,0.298387,0.1,0,0.01,0.494705
RungeKutta4,45,4.5,0.276250,0.1,0,0.01,0.458003
RungeKutta4,46,4.6,0.256516,0.1,0,0.01,0.425285
RungeKutta4,47,4.7,0.239182,0.1,0,0.01,0.396547
RungeKutta4,48,4.8,0.224165,0.1,0,0.01,0.371650
RungeKutta4,49,4.9,0.211321,0.1,0,0.01,0.350355
RungeKutta4,50,5.0,0.200464,0.1,0,0.01,0.332355
RungeKutta4,51,5.1,0.191387,0.1,0,0.01,0.317306
RungeKutta4,52,5.2,0.183874,0.1,0,0.01,0.304850
RungeKutta4,53,5.3,0.177709,0.1,0,0.01,0.294629
RungeKutta4,54,5.4,0.172689,0.1,0,0.01,0.286306
RungeKutta4,55,5.5,0.168625,0.1,0,0.01,0.279568
RungeKutta4,56,5.6,0.165344,0.1,0,0.01,0.274129
RungeKutta4,57,5.7,0.162683,0.1,0,0.01,0.269717
RungeKutta4,58,5.8,0.160475,0.1,0,0.01,0.266056
RungeKutta4,59,5.9,0.158474,0.1,0,0.01,0.262739
RungeKutta4,60,6.0,0.155967,0.1,0,0.01,0.258582
RungeKutta4,61,6.1,0.150193,0.1,0,0.01,0.249009
RungeKutta4,62,6.2,0.135246,0.1,0,0.01,0.224228
RungeKutta4,63,6.3,0.111842,0.1,0,0.01,0.185426
RungeKutta4,64,6.4,0.0894715,0.1,0,0.01,0.148337
RungeKutta4,65,6.5,0.0724393,0.1,0,0.01,0.120099
RungeKutta4,66,6.6,0.0604050,0.1,0,0.01,0.100147
RungeKutta4,67,6.7,0.0520906,0.1,0,0.01,0.0863622
