method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.232,0.1,0,0.01,0.419350
RungeKutta4,1,0.1,0.200371,0.1,0,0.01,0.362174
RungeKutta4,2,0.2,0.176208,0.1,0,0.01,0.318494
RungeKutta4,3,0.3,0.157754,0.1,0,0.01,0.285134
RungeKutta4,4,0.4,0.143665,0.1,0,0.01,0.259665
RungeKutta4,5,0.5,0.132917,0.1,0,0.01,0.240236
RungeKutta4,6,0.6,0.124731,0.1,0,0.01,0.225438
RungeKutta4,7,0.7,0.118517,0.1,0,0.01,0.214205
RungeKutta4,8,0.8,0.113833,0.1,0,0.01,0.205738
RungeKutta4,9,0.9,0.110351,0.1,0,0.01,0.199443
RungeKutta4,10,1.0,0.107835,0.1,0,0.01,0.194895
RungeKutta4,11,1.1,0.106124,0.1,0,0.01,0.191802
RungeKutta4,12,1.2,0.105120,0.1,0,0.01,0.189987
RungeKutta4,13,1.3,0.104777,0.1,0,0.01,0.189367
RungeKutta4,14,1.4,0.105047,0.1,0,0.01,0.189855
RungeKutta4,15,1.5,0.105929,0.1,0,0.01,0.191450
RungeKutta4,16,1.6,0.107514,0.1,0,0.01,0.194315
RungeKutta4,17,1.7,0.109923,0.1,0,0.01,0.198670
RungeKutta4,18,1.8,0.113302,0.1,0,0.01,0.204778
RungeKutta4,19,1.9,0.117821,0.1,0,0.01,0.212947
RungeKutta4,20,2.0,0.123667,0.1,0,0.01,0.223515
RungeKutta4,21,2.1,0.131038,0.1,0,0.01,0.236839
RungeKutta4,22,2.2,0.140131,0.1,0,0.01,0.253277
RungeKutta4,23,2.3,0.151135,0.1,0,0.01,0.273169
RungeKutta4,24,2.4,0.164215,0.1,0,0.01,0.296814
RungeKutta4,25,2.5,0.179498,0.1,0,0.01,0.324441
RungeKutta4,26,2.6,0.197060,0.1,0,0.01,0.356188
RungeKutta4,27,2.7,0.216912,0.1,0,0.01,0.392075
RungeKutta4,28,2.8,0.238988,0.1,0,0.01,0.431982
RungeKutta4,29,2.9,0.263133,0.1,0,0.01,0.475629
RungeKutta4,30,3.0,0.289101,0.1,0,0.01,0.522572
RungeKutta4,31,3.1,0.316549,0.1,0,0.01,0.572190
RungeKutta4,32,3.2,0.345039,0.1,0,0.01,0.623692
RungeKutta4,33,3.3,0.374053,0.1,0,0.01,0.676141
RungeKutta4,34,3.4,0.403002,0.1,0,0.01,0.728472
RungeKutta4,35,3.5,0.431244,0.1,0,0.01,0.779526
RungeKutta4,36,3.6,0.458110,0.1,0,0.01,0.828092
RungeKutta4,37,3.7,0.482928,0.1,0,0.01,0.872956
RungeKutta4,38,3.8,0.505052,0.1,0,0.01,0.912950
RungeKutta4,39,3.9,0.523888,0.1,0,0.01,0.947000
RungeKutta4,40,4.0,0.538808,0.1,0,0.01,0.973971
RungeKutta4,41,4.1,0.548842,0.1,0,0.01,0.992109
RungeKutta4,42,4.2,0.553207,0.1,0,0.01,1
RungeKutta4,43,4.3,0.551106,0.1,0,0.01,0.996202
RungeKutta4,44,4.4,0.541853,0.1,0,0.01,0.979475
RungeKutta4,45,4.5,0.525942,0.1,0,0.01,0.950713
RungeKutta4,46,4.6,0.504187,0.1,0,0.01,0.911386
RungeKutta4,47,4.7,0.477594,0.1,0,0.01,0.863313
RungeKutta4,48,4.8,0.447281,0.1,0,0.01,0.808516
RungeKutta4,49,4.9,0.414362,0.1,0,0.01,0.749008
RungeKutta4,50,5.0,0.379862,0.1,0,0.01,0.686642
RungeKutta4,51,5.1,0.344647,0.1,0,0.01,0.622983
RungeKutta4,52,5.2,0.309366,0.1,0,0.01,0.559205
RungeKutta4,53,5.3,0.274466,0.1,0,0.01,0.496116
RungeKutta4,54,5.4,0.240239,0.1,0,0.01,0.434244
RungeKutta4,55,5.5,0.206902,0.1,0,0.01,0.373980
RungeKutta4,56,5.6,0.174674,0.1,0,0.01,0.315721
RungeKutta4,57,5.7,0.143756,0.1,0,0.01,0.259830
RungeKutta4,58,5.8,0.113982,0.1,0,0.01,0.206007
RungeKutta4,59,5.9,0.0838307,0.1,0,0.01,0.151502
RungeKutta4,60,6.0,0.0531650,0.1,0,0.01,0.0960670
RungeKutta4,61,6.1,0.0277592,0.1,0,0.01,0.0501405
RungeKutta4,62,6.2,0.0125128,0.1,0,0.01,0.0225794
RungeKutta4,63,6.3,0.00534558,0.1,0,0.01,0.00962315
RungeKutta4,64,6.4,0.00227186,0.1,0,0.01,0.00406674
RungeKutta4,65,6.5,0.00097943,0.1,0,0.01,0.00173039
RungeKutta4,66,6.6,0.00043216,0.1,0,0.01,0.000741083
RungeKutta4,67,6.7,0.000196123,0.1,0,0.01,0.000314396
RungeKutta4,68,6.8,0.000091812,0.1,0,0.01,0.000125831
RungeKutta4,69,6.9,0.000044407,0.1,0,0.01,0.0000401367
RungeKutta4,70,7.0,0.000022204,0.1,0,0.01,0.000
RungeKutta4,71,7.1,0.000121560,0.1,0,0.01,0.000179607
RungeKutta4,72,7.2,0.00133751,0.1,0,0.01,0.00237770
RungeKutta4,73,7.3,0.00351478,0.1,0,0.01,0.00631358
RungeKutta4,74,7.4,0.00637035,0.1,0,0.01,0.0114756
RungeKutta4,75,7.5,0.00966550,0.1,0,0.01,0.0174323
RungeKutta4,76,7.6,0.0132021,0.1,0,0.01,0.0238255
RungeKutta4,77,7.7,0.0168194,0.1,0,0.01,0.0303645
RungeKutta4,78,7.8,0.0203909,0.1,0,0.01,0.0368208
RungeKutta4,79,7.9,0.0238204,0.1,0,0.01,0.0430203
RungeKutta4,80,8.0,0.0270393,0.1,0,0.01,0.0488392
RungeKutta4,81,8.1,0.0300023,0.1,0,0.01,0.0541954
RungeKutta4,82,8.2,0.0326844,0.1,0,0.01,0.0590439
RungeKutta4,83,8.3,0.0350778,0.1,0,0.01,0.0633705
RungeKutta4,84,8.4,0.0371895,0.1,0,0.01,0.0671878
RungeKutta4,85,8.5,0.0390408,0.1,0,0.01,0.0705345
RungeKutta4,86,8.6,0.0406696,0.1,0,0.01,0.0734789
RungeKutta4,87,8.7,0.0421363,0.1,0,0.01,0.0761302
RungeKutta4,88,8.8,0.0435329,0.1,0,0.01,0.0786549
RungeKutta4,89,8.9,0.0449868,0.1,0,0.01,0.0812831
RungeKutta4,90,9.0,0.0466402,0.1,0,0.01,0.0842720
RungeKutta4,91,9.1,0.0485922,0.1,0,0.01,0.0878006
RungeKutta4,92,9.2,0.0508394,0.1,0,0.01,0.0918629
RungeKutta4,93,9.3,0.0532777,0.1,0,0.01,0.0962707
RungeKutta4,94,9.4,0.0557632,0.1,0,0.01,0.100764
RungeKutta4,95,9.5,0.0581695,0.1,0,0.01,0.105114
