method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.964,0.1,0,0.01,1
RungeKutta4,1,0.1,0.885361,0.1,0,0.01,0.901400
RungeKutta4,2,0.2,0.816517,0.1,0,0.01,0.815081
RungeKutta4,3,0.3,0.756275,0.1,0,0.01,0.739547
RungeKutta4,4,0.4,0.703599,0.1,0,0.01,0.673500
RungeKutta4,5,0.5,0.657593,0.1,0,0.01,0.615816
RungeKutta4,6,0.6,0.617490,0.1,0,0.01,0.565534
RungeKutta4,7,0.7,0.582639,0.1,0,0.01,0.521836
RungeKutta4,8,0.8,0.552497,0.1,0,0.01,0.484043
RungeKutta4,9,0.9,0.526618,0.1,0,0.01,0.451595
RungeKutta4,10,1.0,0.504647,0.1,0,0.01,0.424047
RungeKutta4,11,1.1,0.486310,0.1,0,0.01,0.401055
RungeKutta4,12,1.2,0.471408,0.1,0,0.01,0.382371
RungeKutta4,13,1.3,0.459804,0.1,0,0.01,0.367821
RungeKutta4,14,1.4,0.451412,0.1,0,0.01,0.357299
RungeKutta4,15,1.5,0.446186,0.1,0,0.01,0.350747
RungeKutta4,16,1.6,0.444100,0.1,0,0.01,0.348131
RungeKutta4,17,1.7,0.446028,0.1,0,0.01,0.350548
RungeKutta4,18,1.8,0.453140,0.1,0,0.01,0.359466
RungeKutta4,19,1.9,0.464917,0.1,0,0.01,0.374232
RungeKutta4,20,2.0,0.480791,0.1,0,0.01,0.394136
RungeKutta4,21,2.1,0.500178,0.1,0,0.01,0.418444
RungeKutta4,22,2.2,0.522444,0.1,0,0.01,0.446362
RungeKutta4,23,2.3,0.546886,0.1,0,0.01,0.477008
RungeKutta4,24,2.4,0.572725,0.1,0,0.01,0.509406
RungeKutta4,25,2.5,0.599122,0.1,0,0.01,0.542503
RungeKutta4,26,2.6,0.625186,0.1,0,0.01,0.575183
RungeKutta4,27,2.7,0.650007,0.1,0,0.01,0.606305
RungeKutta4,28,2.8,0.672696,0.1,0,0.01,0.634753
RungeKutta4,29,2.9,0.692416,0.1,0,0.01,0.659478
RungeKutta4,30,3.0,0.708431,0.1,0,0.01,0.679559
RungeKutta4,31,3.1,0.720114,0.1,0,0.01,0.694207
RungeKutta4,32,3.2,0.726988,0.1,0,0.01,0.702826
RungeKutta4,33,3.3,0.728842,0.1,0,0.01,0.705151
RungeKutta4,34,3.4,0.726957,0.1,0,0.01,0.702787
RungeKutta4,35,3.5,0.722060,0.1,0,0.01,0.696647
RungeKutta4,36,3.6,0.714104,0.1,0,0.01,0.686672
RungeKutta4,37,3.7,0.703187,0.1,0,0.01,0.672983
RungeKutta4,38,3.8,0.689534,0.1,0,0.01,0.655865
RungeKutta4,39,3.9,0.673476,0.1,0,0.01,0.635731
RungeKutta4,40,4.0,0.655421,0.1,0,0.01,0.613093
RungeKutta4,41,4.1,0.635829,0.1,0,0.01,0.588528
RungeKutta4,42,4.2,0.615178,0.1,0,0.01,0.562635
RungeKutta4,43,4.3,0.593942,0.1,0,0.01,0.536008
RungeKutta4,44,4.4,0.572567,0.1,0,0.01,0.509208
RungeKutta4,45,4.5,0.551454,0.1,0,0.01,0.482735
RungeKutta4,46,4.6,0.530945,0.1,0,0.01,0.457020
RungeKutta4,47,4.7,0.511318,0.1,0,0.01,0.432411
RungeKutta4,48,4.8,0.492783,0.1,0,0.01,0.409172
RungeKutta4,49,4.9,0.475487,0.1,0,0.01,0.387485
RungeKutta4,50,5.0,0.459515,0.1,0,0.01,0.367459
RungeKutta4,51,5.1,0.444898,0.1,0,0.01,0.349132
RungeKutta4,52,5.2,0.431623,0.1,0,0.01,0.332487
RungeKutta4,53,5.3,0.419633,0.1,0,0.01,0.317454
RungeKutta4,54,5.4,0.408832,0.1,0,0.01,0.303911
RungeKutta4,55,5.5,0.399078,0.1,0,0.01,0.291681
RungeKutta4,56,5.6,0.390167,0.1,0,0.01,0.280508
RungeKutta4,57,5.7,0.381826,0.1,0,0.01,0.270050
RungeKutta4,58,5.8,0.373765,0.1,0,0.01,0.259943
RungeKutta4,59,5.9,0.365802,0.1,0,0.01,0.249958
RungeKutta4,60,6.0,0.357580,0.1,0,0.01,0.239649
RungeKutta4,61,6.1,0.347345,0.1,0,0.01,0.226816
RungeKutta4,62,6.2,0.334533,0.1,0,0.01,0.210752
RungeKutta4,63,6.3,0.322471,0.1,0,0.01,0.195628
RungeKutta4,64,6.4,0.312767,0.1,0,0.01,0.183461
RungeKutta4,65,6.5,0.305303,0.1,0,0.01,0.174103
RungeKutta4,66,6.6,0.299630,0.1,0,0.01,0.166990
RungeKutta4,67,6.7,0.295333,0.1,0,0.01,0.161602
RungeKutta4,68,6.8,0.292082,0.1,0,0.01,0.157526
RungeKutta4,69,6.9,0.289623,0.1,0,0.01,0.154442
RungeKutta4,70,7.0,0.287764,0.1,0,0.01,0.152112
RungeKutta4,71,7.1,0.286358,0.1,0,0.01,0.150349
RungeKutta4,72,7.2,0.285295,0.1,0,0.01,0.149016
RungeKutta4,73,7.3,0.284491,0.1,0,0.01,0.148008
RungeKutta4,74,7.4,0.283883,0.1,0,0.01,0.147245
RungeKutta4,75,7.5,0.283424,0.1,0,0.01,0.146670
RungeKutta4,76,7.6,0.283077,0.1,0,0.01,0.146235
RungeKutta4,77,7.7,0.282814,0.1,0,0.01,0.145905
RungeKutta4,78,7.8,0.282615,0.1,0,0.01,0.145656
RungeKutta4,79,7.9,0.282465,0.1,0,0.01,0.145467
RungeKutta4,80,8.0,0.282352,0.1,0,0.01,0.145326
RungeKutta4,81,8.1,0.282266,0.1,0,0.01,0.145218
RungeKutta4,82,8.2,0.282200,0.1,0,0.01,0.145135
RungeKutta4,83,8.3,0.282146,0.1,0,0.01,0.145067
RungeKutta4,84,8.4,0.282094,0.1,0,0.01,0.145002
RungeKutta4,85,8.5,0.282018,0.1,0,0.01,0.144907
RungeKutta4,86,8.6,0.281863,0.1,0,0.01,0.144713
RungeKutta4,87,8.7,0.281518,0.1,0,0.01,0.144280
RungeKutta4,88,8.8,0.280779,0.1,0,0.01,0.143353
RungeKutta4,89,8.9,0.279315,0.1,0,0.01,0.141518
RungeKutta4,90,9.0,0.276637,0.1,0,0.01,0.138160
RungeKutta4,91,9.1,0.272092,0.1,0,0.01,0.132461
RungeKutta4,92,9.2,0.264936,0.1,0,0.01,0.123489
RungeKutta4,93,9.3,0.254537,0.1,0,0.01,0.110450
RungeKutta4,94,9.4,0.240739,0.1,0,0.01,0.0931499
RungeKutta4,95,9.5,0.224225,0.1,0,0.01,0.0724441
RungeKutta4,96,9.6,0.206651,0.1,0,0.01,0.0504092
RungeKutta4,97,9.7,0.190344,0.1,0,0.01,0.0299629
RungeKutta4,98,9.8,0.177658,0.1,0,0.01,0.0140567
RungeKutta4,99,9.9,0.170126,0.1,0,0.01,0.00461286
RungeKutta4,100,10.0,0.166868,0.1,0,0.01,0.000527865
