TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:56:01,goldfinch_observed.csv,0.4881418605640505657176556920,1.316,3.666,1.389,3.022,0.896,7.17,9.55,0.379,7.49,19.261,0.355,0.309,0.047,1.29,10.6,10.49,2.814,6.748,7.934,5.563,8.958,8.222,9.693,0.159,9.81,6.94,7.221,7.2,8.626,27.350,41.508,13.193,1.362,0.309,12.235,123.622,232.351,14.894
2026-05-21 09:56:02,goldfinch_observed.csv,0.3891475649486009296964817516,1.055,2.245,3.394,0.713,0.141,6.8,6.575,0.406,7.23,16.435,0.401,0.677,0.048,1.8,10.77,11.19,6.027,7.848,4.615,11.082,10.766,9.552,11.981,0.187,9.78,6.54,4.539,6.65,14.662,29.044,40.042,18.046,1.413,0.01,12.159,74.351,143.702,5.0
2026-05-21 09:56:02,goldfinch_observed.csv,0.4443535631088273685182704172,0.966,1.056,2.955,2.577,0.857,6.58,10.707,0.314,7.15,22.43,0.539,0.526,0.017,1.34,1.49,11.38,6.152,2.427,2.762,2.092,9.910,10.292,9.529,0.048,10.41,7.01,1.242,7.32,22.132,36.050,63.242,8.857,1.459,0.011,12.179,122.097,234.232,9.962
2026-05-21 09:56:02,goldfinch_observed.csv,0.9972252619069472582035498494,1.189,3.766,5.787,4.566,0.317,7.39,14.746,0.162,7.58,6.82,0.537,0.2,0.045,2.31,1.08,10.36,10.562,8.630,7.126,10.134,4.332,3.834,4.829,0.124,9.89,8.17,5.146,7.09,23.345,26.716,51.588,1.844,1.042,0.018,12.22,74.010,135.338,12.681
2026-05-21 09:56:03,goldfinch_observed.csv,0.5821404559229921146053766520,1.077,3.32,1.416,4.683,0.899,6.87,13.508,0.385,7.36,21.837,0.289,0.732,0.028,1.39,11.39,10.56,4.283,8.918,8.167,9.670,10.707,10.15,11.264,0.085,10.16,6.51,3.486,6.92,6.967,42.112,68.286,15.939,0.823,0.197,12.104,90.120,171.105,9.135
2026-05-21 09:56:03,goldfinch_observed.csv,0.8005333675462774356249021935,1.279,1.358,0.987,1.618,0.392,6.31,5.799,0.031,6.61,22.392,0.383,0.646,0.043,1.07,11.24,11.37,6.523,16.106,14.933,17.28,10.699,9.315,12.083,0.1,8.59,6.2,7.07,7.05,12.166,7.598,13.387,1.81,1.435,0.196,12.011,117.308,219.09,15.525
2026-05-21 09:56:03,goldfinch_observed.csv,0.4846917371092038109858896323,0.948,1.706,4.746,4.945,0.928,6.65,3.151,0.358,7.38,13.872,0.159,0.246,0.005,1.12,1.18,10.8,2.325,8.468,16.065,0.872,9.782,11.793,7.771,0.071,9.51,6.57,5.763,7.42,15.99,14.579,17.146,12.012,0.95,0.016,12.262,84.610,160.868,8.352
2026-05-21 09:56:04,goldfinch_observed.csv,0.8604229560790401463113128506,0.864,3.836,3.596,4.481,0.001,6.81,13.107,0.036,7.63,17.209,0.582,0.612,0.044,2.18,1.02,10.99,7.836,10.896,14.617,7.174,3.769,3.912,3.626,0.228,7.65,6.57,7.77,7.2,15.632,16.659,16.837,16.481,1.746,0.263,12.103,52.348,90.195,14.5
2026-05-21 09:56:04,goldfinch_observed.csv,37.92018548955163014739620870,1.269,2.316,0.544,4.522,0.944,6.88,12.636,0.147,7.25,18.535,0.471,0.364,0.033,1.78,10.77,11.1,9.858,9.347,12.949,5.745,4.942,3.386,6.499,0.008,10.28,7.38,5.319,7.21,8.147,30.346,59.982,0.711,1.748,0.108,12.277,109.588,207.089,12.087
2026-05-21 09:56:04,goldfinch_observed.csv,1.896379513989091910459296234,0.815,2.36,2.708,6.85,0.448,7.64,8.66,0.247,6.61,24.097,0.548,0.159,0.043,1.29,1.49,10.72,9.743,7.274,7.704,6.844,5.118,1.136,9.101,0.127,9.89,7.87,4.23,7.28,9.787,45.076,75.029,15.122,1.704,0.092,12.084,69.962,135.669,4.255
