TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 09:58:08,great_tit_observed.csv,0.1812589220450772969852978872,0.779,3.714,1.346,2.29,0.552,6.62,6.4,0.178,7.29,22.307,0.246,0.704,0.032,3.11,10.85,10.75,11.073,9.341,6.268,12.414,9.549,10.643,8.455,0.079,9.42,6.75,0.933,7.59,23.637,43.324,78.965,7.682,1.351,0.084,12.096,93.256,180.853,5.659
2026-05-21 09:58:08,great_tit_observed.csv,0.2391720812479798196161478648,0.73,2.822,1.186,5.8,0.811,7.39,11.672,0.179,7.5,12.038,0.067,0.673,0.01,3.29,11.1,10.76,11.583,11.344,18.285,4.402,8.621,7.801,9.441,0.221,6.94,6.47,5.661,6.88,21.797,28.648,42.634,14.662,1.384,0.01,12.046,67.946,121.44,14.452
2026-05-21 09:58:08,great_tit_observed.csv,0.3318047158184560647286228848,0.923,3.356,2.295,4.569,0.243,7.14,6.29,0.056,7.46,10.422,0.244,0.584,0.038,5.42,1.19,10.13,4.278,16.403,18.531,14.275,5.904,9.191,2.618,0.098,7.2,5.03,2.467,7.44,17.123,11.237,9.476,12.998,1.558,0.339,12.159,67.232,122.439,12.024
2026-05-21 09:58:09,great_tit_observed.csv,0.8911288810564209973694101257,0.91,0.348,4.282,4.554,0.259,7.46,9.198,0.058,6.62,23.106,0.073,0.421,0.032,3.86,11.62,11.05,6.264,9.109,16.055,2.163,11.379,10.758,12.0,0.041,7.93,5.35,2.354,7.35,12.227,2.296,2.034,2.557,1.21,0.048,12.078,82.807,150.484,15.13
2026-05-21 09:58:09,great_tit_observed.csv,0.1874110192759188953711895577,1.018,1.265,4.251,7.523,0.385,6.54,10.956,0.076,7.52,15.497,0.141,0.374,0.044,5.33,1.46,10.68,5.048,5.348,1.164,9.532,6.856,7.119,6.593,0.151,8.2,6.04,5.954,7.28,12.924,22.005,25.702,18.308,1.695,0.323,12.114,60.192,109.169,11.214
2026-05-21 09:58:09,great_tit_observed.csv,1.475417892978379960546941390,1.094,0.367,5.542,2.758,0.227,6.34,5.961,0.029,6.71,27.879,0.149,0.269,0.032,5.17,11.37,9.84,5.755,2.129,2.188,2.070,2.668,4.097,1.238,0.186,6.88,5.87,6.53,7.51,14.327,10.740,10.732,10.747,1.029,0.222,12.206,109.424,212.525,6.324
2026-05-21 09:58:10,great_tit_observed.csv,0.3950319445695901336086128694,0.612,1.809,0.682,7.14,0.68,6.65,14.947,0.117,7.6,26.619,0.104,0.69,0.045,4.39,1.43,9.68,7.558,10.985,18.64,3.33,9.658,9.59,9.726,0.248,7.25,5.54,0.91,6.83,10.562,18.588,34.981,2.194,1.493,0.341,12.194,81.583,151.555,11.611
2026-05-21 09:58:10,great_tit_observed.csv,0.2720643313927887954641598999,0.534,1.392,4.114,3.775,0.477,7.59,14.631,0.07,7.36,11.307,0.255,0.097,0.028,4.89,1.16,10.33,2.974,3.656,6.466,0.846,5.131,3.768,6.494,0.041,6.82,5.11,1.256,7.23,16.224,24.616,29.498,19.735,1.391,0.075,12.036,51.556,93.656,9.456
2026-05-21 09:58:10,great_tit_observed.csv,0.1943209538997184589861699490,0.793,1.2,4.613,5.63,0.496,6.4,13.483,0.154,6.96,8.549,0.315,0.596,0.029,3.18,11.9,11.26,4.708,10.723,11.999,9.447,6.834,5.812,7.857,0.017,8.75,5.38,3.187,7.14,15.85,14.642,15.79,13.495,1.48,0.004,12.273,67.415,120.495,14.335
2026-05-21 09:58:11,great_tit_observed.csv,1.123804805962876227364157291,0.806,1.693,1.782,0.293,0.72,6.48,4.17,0.18,7.18,8.761,0.215,0.351,0.002,4.96,10.64,11.17,6.131,17.090,15.426,18.753,8.426,10.875,5.976,0.046,8.48,6.66,1.927,7.33,13.712,35.135,60.9,9.37,1.598,0.205,12.216,66.777,125.897,7.657
