method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.866,0.1,0,0.01,1
RungeKutta4,1,0.1,0.815689,0.1,0,0.01,0.928647
RungeKutta4,2,0.2,0.771236,0.1,0,0.01,0.865601
RungeKutta4,3,0.3,0.731981,0.1,0,0.01,0.809928
RungeKutta4,4,0.4,0.697345,0.1,0,0.01,0.760806
RungeKutta4,5,0.5,0.666828,0.1,0,0.01,0.717525
RungeKutta4,6,0.6,0.639997,0.1,0,0.01,0.679472
RungeKutta4,7,0.7,0.616484,0.1,0,0.01,0.646125
RungeKutta4,8,0.8,0.595980,0.1,0,0.01,0.617045
RungeKutta4,9,0.9,0.578231,0.1,0,0.01,0.591873
RungeKutta4,10,1.0,0.563034,0.1,0,0.01,0.570320
RungeKutta4,11,1.1,0.550232,0.1,0,0.01,0.552163
RungeKutta4,12,1.2,0.539711,0.1,0,0.01,0.537242
RungeKutta4,13,1.3,0.531393,0.1,0,0.01,0.525445
RungeKutta4,14,1.4,0.525232,0.1,0,0.01,0.516707
RungeKutta4,15,1.5,0.521204,0.1,0,0.01,0.510994
RungeKutta4,16,1.6,0.519303,0.1,0,0.01,0.508298
RungeKutta4,17,1.7,0.519818,0.1,0,0.01,0.509029
RungeKutta4,18,1.8,0.523880,0.1,0,0.01,0.514789
RungeKutta4,19,1.9,0.531270,0.1,0,0.01,0.525270
RungeKutta4,20,2.0,0.541676,0.1,0,0.01,0.540029
RungeKutta4,21,2.1,0.554788,0.1,0,0.01,0.558625
RungeKutta4,22,2.2,0.570274,0.1,0,0.01,0.580588
RungeKutta4,23,2.3,0.587767,0.1,0,0.01,0.605397
RungeKutta4,24,2.4,0.606854,0.1,0,0.01,0.632467
RungeKutta4,25,2.5,0.627074,0.1,0,0.01,0.661144
RungeKutta4,26,2.6,0.647923,0.1,0,0.01,0.690713
RungeKutta4,27,2.7,0.668856,0.1,0,0.01,0.720401
RungeKutta4,28,2.8,0.689307,0.1,0,0.01,0.749406
RungeKutta4,29,2.9,0.708700,0.1,0,0.01,0.776910
RungeKutta4,30,3.0,0.726477,0.1,0,0.01,0.802122
RungeKutta4,31,3.1,0.742114,0.1,0,0.01,0.824299
RungeKutta4,32,3.2,0.755136,0.1,0,0.01,0.842768
RungeKutta4,33,3.3,0.765133,0.1,0,0.01,0.856946
RungeKutta4,34,3.4,0.771776,0.1,0,0.01,0.866367
RungeKutta4,35,3.5,0.774844,0.1,0,0.01,0.870718
RungeKutta4,36,3.6,0.774599,0.1,0,0.01,0.870371
RungeKutta4,37,3.7,0.772142,0.1,0,0.01,0.866886
RungeKutta4,38,3.8,0.767477,0.1,0,0.01,0.860270
RungeKutta4,39,3.9,0.760608,0.1,0,0.01,0.850528
RungeKutta4,40,4.0,0.751620,0.1,0,0.01,0.837781
RungeKutta4,41,4.1,0.740675,0.1,0,0.01,0.822258
RungeKutta4,42,4.2,0.727993,0.1,0,0.01,0.804272
RungeKutta4,43,4.3,0.713845,0.1,0,0.01,0.784207
RungeKutta4,44,4.4,0.698530,0.1,0,0.01,0.762486
RungeKutta4,45,4.5,0.682363,0.1,0,0.01,0.739557
RungeKutta4,46,4.6,0.665660,0.1,0,0.01,0.715868
RungeKutta4,47,4.7,0.648725,0.1,0,0.01,0.691850
RungeKutta4,48,4.8,0.631839,0.1,0,0.01,0.667902
RungeKutta4,49,4.9,0.615251,0.1,0,0.01,0.644376
RungeKutta4,50,5.0,0.599174,0.1,0,0.01,0.621575
RungeKutta4,51,5.1,0.583781,0.1,0,0.01,0.599744
RungeKutta4,52,5.2,0.569202,0.1,0,0.01,0.579067
RungeKutta4,53,5.3,0.555526,0.1,0,0.01,0.559671
RungeKutta4,54,5.4,0.542796,0.1,0,0.01,0.541617
RungeKutta4,55,5.5,0.531003,0.1,0,0.01,0.524892
RungeKutta4,56,5.6,0.520069,0.1,0,0.01,0.509385
RungeKutta4,57,5.7,0.509808,0.1,0,0.01,0.494832
RungeKutta4,58,5.8,0.499831,0.1,0,0.01,0.480682
RungeKutta4,59,5.9,0.489293,0.1,0,0.01,0.465737
RungeKutta4,60,6.0,0.476061,0.1,0,0.01,0.446970
RungeKutta4,61,6.1,0.454278,0.1,0,0.01,0.416077
RungeKutta4,62,6.2,0.415940,0.1,0,0.01,0.361704
RungeKutta4,63,6.3,0.365441,0.1,0,0.01,0.290084
RungeKutta4,64,6.4,0.314236,0.1,0,0.01,0.217463
RungeKutta4,65,6.5,0.268145,0.1,0,0.01,0.152094
RungeKutta4,66,6.6,0.229233,0.1,0,0.01,0.0969074
RungeKutta4,67,6.7,0.198826,0.1,0,0.01,0.0537827
RungeKutta4,68,6.8,0.178098,0.1,0,0.01,0.0243853
RungeKutta4,69,6.9,0.166634,0.1,0,0.01,0.00812655
RungeKutta4,70,7.0,0.161613,0.1,0,0.01,0.00100554
RungeKutta4,71,7.1,0.160904,0.1,0,0.01,0
RungeKutta4,72,7.2,0.162121,0.1,0,0.01,0.00172601
RungeKutta4,73,7.3,0.164804,0.1,0,0.01,0.00553116
RungeKutta4,74,7.4,0.168938,0.1,0,0.01,0.0113942
RungeKutta4,75,7.5,0.174441,0.1,0,0.01,0.0191988
RungeKutta4,76,7.6,0.181171,0.1,0,0.01,0.0287436
RungeKutta4,77,7.7,0.188940,0.1,0,0.01,0.0397620
RungeKutta4,78,7.8,0.197529,0.1,0,0.01,0.0519433
RungeKutta4,79,7.9,0.206702,0.1,0,0.01,0.0649529
RungeKutta4,80,8.0,0.216218,0.1,0,0.01,0.0784489
RungeKutta4,81,8.1,0.225844,0.1,0,0.01,0.0921009
