method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.996,0.1,0,0.01,1
RungeKutta4,1,0.1,0.957208,0.1,0,0.01,0.947454
RungeKutta4,2,0.2,0.924982,0.1,0,0.01,0.903802
RungeKutta4,3,0.3,0.898794,0.1,0,0.01,0.868329
RungeKutta4,4,0.4,0.878112,0.1,0,0.01,0.840314
RungeKutta4,5,0.5,0.862390,0.1,0,0.01,0.819018
RungeKutta4,6,0.6,0.851060,0.1,0,0.01,0.803671
RungeKutta4,7,0.7,0.843528,0.1,0,0.01,0.793468
RungeKutta4,8,0.8,0.839176,0.1,0,0.01,0.787573
RungeKutta4,9,0.9,0.837361,0.1,0,0.01,0.785115
RungeKutta4,10,1.0,0.837651,0.1,0,0.01,0.785507
RungeKutta4,11,1.1,0.840269,0.1,0,0.01,0.789054
RungeKutta4,12,1.2,0.843814,0.1,0,0.01,0.793855
RungeKutta4,13,1.3,0.847007,0.1,0,0.01,0.798181
RungeKutta4,14,1.4,0.848674,0.1,0,0.01,0.800439
RungeKutta4,15,1.5,0.848322,0.1,0,0.01,0.799962
RungeKutta4,16,1.6,0.846318,0.1,0,0.01,0.797247
RungeKutta4,17,1.7,0.842369,0.1,0,0.01,0.791898
RungeKutta4,18,1.8,0.836276,0.1,0,0.01,0.783645
RungeKutta4,19,1.9,0.827976,0.1,0,0.01,0.772402
RungeKutta4,20,2.0,0.817536,0.1,0,0.01,0.758260
RungeKutta4,21,2.1,0.805132,0.1,0,0.01,0.741459
RungeKutta4,22,2.2,0.791032,0.1,0,0.01,0.722359
RungeKutta4,23,2.3,0.775566,0.1,0,0.01,0.701410
RungeKutta4,24,2.4,0.759100,0.1,0,0.01,0.679106
RungeKutta4,25,2.5,0.742011,0.1,0,0.01,0.655958
RungeKutta4,26,2.6,0.724663,0.1,0,0.01,0.632459
RungeKutta4,27,2.7,0.707390,0.1,0,0.01,0.609061
RungeKutta4,28,2.8,0.690483,0.1,0,0.01,0.586160
RungeKutta4,29,2.9,0.674181,0.1,0,0.01,0.564078
RungeKutta4,30,3.0,0.658668,0.1,0,0.01,0.543065
RungeKutta4,31,3.1,0.644075,0.1,0,0.01,0.523298
RungeKutta4,32,3.2,0.630484,0.1,0,0.01,0.504888
RungeKutta4,33,3.3,0.617934,0.1,0,0.01,0.487888
RungeKutta4,34,3.4,0.606428,0.1,0,0.01,0.472303
RungeKutta4,35,3.5,0.595942,0.1,0,0.01,0.458099
RungeKutta4,36,3.6,0.586432,0.1,0,0.01,0.445217
RungeKutta4,37,3.7,0.577840,0.1,0,0.01,0.433579
