method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.956,0.1,0,0.01,1
RungeKutta4,1,0.1,0.903960,0.1,0,0.01,0.945565
RungeKutta4,2,0.2,0.857704,0.1,0,0.01,0.897180
RungeKutta4,3,0.3,0.816799,0.1,0,0.01,0.854392
RungeKutta4,4,0.4,0.780785,0.1,0,0.01,0.816721
RungeKutta4,5,0.5,0.749174,0.1,0,0.01,0.783655
RungeKutta4,6,0.6,0.721450,0.1,0,0.01,0.754655
RungeKutta4,7,0.7,0.697082,0.1,0,0.01,0.729165
RungeKutta4,8,0.8,0.675523,0.1,0,0.01,0.706614
RungeKutta4,9,0.9,0.656228,0.1,0,0.01,0.686431
RungeKutta4,10,1.0,0.638667,0.1,0,0.01,0.668061
RungeKutta4,11,1.1,0.622372,0.1,0,0.01,0.651016
RungeKutta4,12,1.2,0.606979,0.1,0,0.01,0.634915
RungeKutta4,13,1.3,0.592167,0.1,0,0.01,0.619421
RungeKutta4,14,1.4,0.577659,0.1,0,0.01,0.604245
RungeKutta4,15,1.5,0.563223,0.1,0,0.01,0.589145
RungeKutta4,16,1.6,0.548673,0.1,0,0.01,0.573925
RungeKutta4,17,1.7,0.533871,0.1,0,0.01,0.558442
RungeKutta4,18,1.8,0.518725,0.1,0,0.01,0.542599
RungeKutta4,19,1.9,0.503189,0.1,0,0.01,0.526348
RungeKutta4,20,2.0,0.487256,0.1,0,0.01,0.509681
RungeKutta4,21,2.1,0.470953,0.1,0,0.01,0.492628
RungeKutta4,22,2.2,0.454340,0.1,0,0.01,0.475250
RungeKutta4,23,2.3,0.437500,0.1,0,0.01,0.457635
RungeKutta4,24,2.4,0.420530,0.1,0,0.01,0.439884
RungeKutta4,25,2.5,0.403541,0.1,0,0.01,0.422113
RungeKutta4,26,2.6,0.386647,0.1,0,0.01,0.404442
RungeKutta4,27,2.7,0.369961,0.1,0,0.01,0.386988
RungeKutta4,28,2.8,0.353591,0.1,0,0.01,0.369864
RungeKutta4,29,2.9,0.337635,0.1,0,0.01,0.353174
RungeKutta4,30,3.0,0.322180,0.1,0,0.01,0.337008
RungeKutta4,31,3.1,0.307299,0.1,0,0.01,0.321442
RungeKutta4,32,3.2,0.293050,0.1,0,0.01,0.306537
RungeKutta4,33,3.3,0.279475,0.1,0,0.01,0.292337
RungeKutta4,34,3.4,0.266602,0.1,0,0.01,0.278872
RungeKutta4,35,3.5,0.254447,0.1,0,0.01,0.266157
RungeKutta4,36,3.6,0.243012,0.1,0,0.01,0.254196
RungeKutta4,37,3.7,0.232290,0.1,0,0.01,0.242980
RungeKutta4,38,3.8,0.222265,0.1,0,0.01,0.232494
RungeKutta4,39,3.9,0.212915,0.1,0,0.01,0.222714
RungeKutta4,40,4.0,0.204211,0.1,0,0.01,0.213609
