TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:11:56,mute_swan_observed.csv,0.5616252042862751819740758412,1.189,3.704,2.17,0.43,0.221,7.48,10.35,0.049,7.02,6.169,0.514,0.465,0.006,1.51,11.92,9.29,11.328,19.398,19.647,19.148,0.736,0.863,0.61,0.23,5.7,4.52,4.379,7.42,6.293,11.139,19.113,3.165,1.547,0.198,12.18,70.667,127.498,13.836
2026-05-21 10:11:56,mute_swan_observed.csv,0.3883858381401559635951157269,1.243,3.863,0.155,2.797,0.317,6.35,9.241,0.385,7.25,24.912,0.341,0.076,0.025,1.35,11.41,8.33,2.043,12.718,9.173,16.264,4.754,0.808,8.699,0.029,6.38,4.6,5.551,6.83,12.258,35.888,66.803,4.973,1.146,0.333,12.144,100.660,186.338,14.982
2026-05-21 10:11:56,mute_swan_observed.csv,0.2237847932862367110928598301,0.925,1.853,5.213,2.636,0.786,7.51,11.642,0.078,7.08,20.234,0.547,0.198,0.044,1.28,11.08,8.49,7.209,14.254,11.507,17.0,5.016,4.17,5.861,0.071,6.27,4.52,7.921,6.76,17.991,43.629,77.189,10.069,1.126,0.278,12.259,55.058,102.04,8.076
2026-05-21 10:11:57,mute_swan_observed.csv,0.6416100893637040727309263715,1.16,0.743,2.296,6.194,0.111,7.62,11.823,0.051,7.5,27.032,0.394,0.357,0.049,1.86,9.96,10.54,8.636,8.338,2.339,14.336,12.320,13.543,11.097,0.002,5.75,5.97,3.733,7.2,21.145,35.122,58.556,11.688,1.123,0.23,12.076,85.936,163.673,8.2
2026-05-21 10:11:57,mute_swan_observed.csv,1.510227416994738922902971390,0.935,0.795,1.598,7.929,0.929,6.35,6.182,0.273,7.12,22.239,0.643,0.012,0.045,1.06,11.75,10.16,5.532,11.096,14.512,7.679,8.165,3.104,13.226,0.014,6.53,6.13,5.497,6.86,20.729,40.330,70.052,10.609,1.646,0.046,12.09,95.680,180.312,11.049
2026-05-21 10:11:57,mute_swan_observed.csv,1.116259634617711000878937035,1.054,2.715,3.808,2.25,0.842,6.27,13.814,0.306,6.73,16.131,0.402,0.509,0.046,2.23,11.7,11.02,8.568,14.718,13.172,16.265,2.616,2.791,2.442,0.098,7.89,4.19,7.655,7.12,6.964,14.068,25.302,2.835,1.794,0.044,12.089,57.378,106.315,8.442
2026-05-21 10:11:58,mute_swan_observed.csv,0.6735457759863975288871746400,0.945,2.21,5.71,5.983,0.085,7.36,7.857,0.112,7.43,9.083,0.651,0.002,0.018,12.0,9.76,9.39,11.883,15.104,17.377,12.832,0.900,1.312,0.487,0.068,6.25,5.26,4.314,6.75,19.328,11.440,8.295,14.585,1.5,0.004,12.226,119.956,232.558,7.355
2026-05-21 10:11:58,mute_swan_observed.csv,0.3564318974780481121075917211,0.985,0.51,4.475,5.374,0.646,6.54,12.355,0.352,7.0,18.513,0.616,0.052,0.035,1.08,10.57,11.26,7.865,16.198,16.198,16.198,10.656,8.791,12.52,0.24,8.25,4.95,4.295,7.31,16.772,16.362,25.686,7.037,1.187,0.154,12.161,113.494,215.293,11.696
2026-05-21 10:11:58,mute_swan_observed.csv,0.2949118586219167435191430042,1.194,3.397,2.951,4.384,0.862,6.4,6.668,0.006,6.99,15.532,0.098,0.175,0.039,1.53,10.58,8.86,7.29,14.051,8.433,19.669,10.356,10.971,9.742,0.245,5.75,4.56,3.784,7.28,16.655,39.618,63.209,16.026,1.22,0.152,12.098,92.076,171.689,12.464
2026-05-21 10:11:58,mute_swan_observed.csv,2.319914768496468376858951752,1.154,2.193,4.344,6.791,0.946,7.44,7.544,0.318,6.81,18.143,0.499,0.4,0.002,1.13,11.24,9.28,6.751,3.126,4.152,2.099,2.816,2.760,2.873,0.092,6.95,5.98,1.566,7.0,23.655,36.307,62.776,9.838,1.724,0.144,12.073,55.039,96.051,14.027
2026-05-21 10:11:59,mute_swan_observed.csv,1.239556780105454790402971524,0.762,2.928,0.234,3.853,0.571,7.65,6.54,0.197,7.5,17.693,0.553,0.003,0.048,1.44,11.95,9.89,11.454,17.212,15.09,19.333,5.874,5.573,6.175,0.1,5.6,6.38,4.423,7.54,22.896,16.210,14.124,18.297,1.702,0.258,12.281,50.674,86.165,15.182
2026-05-21 10:11:59,mute_swan_observed.csv,0.3984736554941055937928100807,0.975,0.542,0.783,1.211,0.13,7.19,13.03,0.257,7.49,26.271,0.474,0.634,0.029,1.32,10.8,8.99,8.723,5.780,9.41,2.15,11.480,10.587,12.372,0.071,5.72,4.91,6.685,6.69,8.918,39.694,66.068,13.319,1.288,0.036,12.286,48.466,85.494,11.437
2026-05-21 10:11:59,mute_swan_observed.csv,0.2641551752322600028986029254,0.834,3.586,4.121,2.916,0.825,6.95,8.738,0.097,7.42,19.999,0.315,0.553,0.041,2.08,11.66,8.36,5.366,16.350,16.578,16.123,2.598,1.125,4.072,0.06,8.34,4.76,6.416,7.54,7.487,46.838,79.941,13.736,1.239,0.095,12.102,86.966,166.204,7.727
2026-05-21 10:12:00,mute_swan_observed.csv,0.3037268964104690409710622060,1.073,2.561,2.254,5.414,0.759,7.48,4.532,0.041,6.52,16.707,0.215,0.118,0.017,1.66,10.87,10.68,11.33,13.802,15.310,12.293,5.412,9.52,1.303,0.072,7.38,4.04,5.825,6.76,16.991,28.180,48.618,7.743,1.259,0.033,12.117,97.530,190.698,4.362
