TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:14:03,pied_wagtail_observed.csv,0.8408374075182492508134208618,1.179,1.601,4.277,6.749,0.187,7.22,14.745,0.085,6.66,20.623,0.26,0.307,0.034,5.69,10.01,9.41,3.496,2.822,2.307,3.336,2.738,1.574,3.903,0.166,9.09,5.13,4.348,7.09,22.497,35.478,57.28,13.676,1.147,0.337,12.119,92.977,173.62,12.334
2026-05-21 10:14:03,pied_wagtail_observed.csv,0.8405676412479436716587334106,0.975,1.274,3.217,1.056,0.475,7.68,6.937,0.049,7.17,16.345,0.323,0.097,0.028,5.76,10.16,11.39,11.816,15.527,11.159,19.895,4.224,1.42,7.027,0.028,6.79,5.97,4.87,7.02,17.798,26.626,34.297,18.956,1.264,0.326,12.248,107.634,209.862,5.406
2026-05-21 10:14:04,pied_wagtail_observed.csv,0.6784993309497208271657147501,0.839,2.448,2.177,7.548,0.357,6.77,10.208,0.094,6.51,24.793,0.261,0.02,0.05,4.1,11.65,10.97,10.0,7.200,4.887,9.512,6.354,8.461,4.247,0.163,7.73,6.3,6.655,6.88,6.194,22.604,38.694,6.514,0.852,0.32,12.178,127.248,238.958,15.539
2026-05-21 10:14:04,pied_wagtail_observed.csv,0.6753506175748024488907336084,0.653,2.664,5.495,6.881,0.215,7.36,14.986,0.082,6.64,20.487,0.328,0.147,0.006,4.43,11.4,9.64,10.084,9.774,16.009,3.539,7.591,11.237,3.945,0.237,8.31,5.61,7.932,7.27,7.233,29.482,49.53,9.433,0.939,0.133,12.272,86.314,160.617,12.011
2026-05-21 10:14:04,pied_wagtail_observed.csv,1.073766376570098398740870367,1.025,2.466,3.94,8.0,0.765,6.6,12.216,0.007,6.67,19.071,0.257,0.04,0.015,6.41,10.53,10.15,6.83,4.874,3.425,6.324,4.366,5.802,2.929,0.088,6.68,7.42,4.75,7.26,10.607,33.058,60.619,5.497,0.883,0.248,12.17,99.184,193.872,4.497
2026-05-21 10:14:05,pied_wagtail_observed.csv,0.5745839901260825705311625766,0.913,3.345,0.072,3.609,0.196,7.6,15.106,0.036,7.09,10.776,0.078,0.439,0.01,6.27,11.66,11.07,10.454,6.618,0.711,12.525,10.502,11.764,9.241,0.112,7.21,6.68,4.016,7.53,10.939,9.500,6.108,12.893,1.196,0.2,12.13,112.418,217.277,7.558
2026-05-21 10:14:05,pied_wagtail_observed.csv,0.4481910537373427213856751381,1.159,1.256,0.951,2.737,0.857,6.67,8.381,0.042,7.12,27.802,0.215,0.26,0.047,5.37,10.06,9.44,4.804,17.753,15.821,19.685,4.377,6.435,2.319,0.031,6.98,5.47,7.703,7.25,20.559,18.802,22.164,15.44,0.883,0.206,12.017,86.782,158.941,14.623
2026-05-21 10:14:05,pied_wagtail_observed.csv,0.8279222511864863277099762627,0.686,0.313,2.449,4.381,0.336,6.77,5.858,0.002,6.78,27.415,0.198,0.455,0.002,5.85,9.76,9.28,2.943,4.568,4.299,4.837,10.680,10.46,10.901,0.101,8.35,6.85,3.313,6.71,6.648,5.425,5.178,5.672,1.086,0.105,12.026,51.988,91.076,12.9
2026-05-21 10:14:06,pied_wagtail_observed.csv,0.7961383629484131401219052294,0.616,2.152,3.141,6.671,0.299,6.97,6.031,0.044,6.68,7.151,0.169,0.249,0.019,4.26,10.22,10.99,6.39,8.720,2.773,14.666,1.470,0.851,2.088,0.176,9.1,5.75,6.586,6.6,20.448,37.316,62.481,12.15,0.816,0.062,12.112,83.895,154.73,13.06
2026-05-21 10:14:06,pied_wagtail_observed.csv,0.5290643468406717685385004968,0.831,0.733,3.426,2.275,0.033,6.28,15.64,0.077,7.0,23.973,0.186,0.399,0.045,4.84,11.59,9.76,4.331,5.298,6.317,4.278,10.635,11.34,9.93,0.149,6.58,6.38,5.028,7.28,16.684,22.855,32.365,13.345,1.64,0.012,12.23,53.460,94.763,12.157
