method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.917,0.1,0,0.01,1
RungeKutta4,1,0.1,0.832775,0.1,0,0.01,0.899059
RungeKutta4,2,0.2,0.759267,0.1,0,0.01,0.810963
RungeKutta4,3,0.3,0.695116,0.1,0,0.01,0.734080
RungeKutta4,4,0.4,0.639134,0.1,0,0.01,0.666987
RungeKutta4,5,0.5,0.590286,0.1,0,0.01,0.608445
RungeKutta4,6,0.6,0.547674,0.1,0,0.01,0.557376
RungeKutta4,7,0.7,0.510516,0.1,0,0.01,0.512843
RungeKutta4,8,0.8,0.478137,0.1,0,0.01,0.474038
RungeKutta4,9,0.9,0.449957,0.1,0,0.01,0.440266
RungeKutta4,10,1.0,0.425482,0.1,0,0.01,0.410933
RungeKutta4,11,1.1,0.404297,0.1,0,0.01,0.385544
RungeKutta4,12,1.2,0.386059,0.1,0,0.01,0.363686
RungeKutta4,13,1.3,0.370494,0.1,0,0.01,0.345032
RungeKutta4,14,1.4,0.357392,0.1,0,0.01,0.329330
RungeKutta4,15,1.5,0.346605,0.1,0,0.01,0.316402
RungeKutta4,16,1.6,0.338041,0.1,0,0.01,0.306138
RungeKutta4,17,1.7,0.331659,0.1,0,0.01,0.298490
RungeKutta4,18,1.8,0.327465,0.1,0,0.01,0.293463
RungeKutta4,19,1.9,0.325501,0.1,0,0.01,0.291109
RungeKutta4,20,2.0,0.326012,0.1,0,0.01,0.291722
RungeKutta4,21,2.1,0.329671,0.1,0,0.01,0.296107
RungeKutta4,22,2.2,0.336506,0.1,0,0.01,0.304299
RungeKutta4,23,2.3,0.346490,0.1,0,0.01,0.316264
RungeKutta4,24,2.4,0.359567,0.1,0,0.01,0.331936
RungeKutta4,25,2.5,0.375630,0.1,0,0.01,0.351187
RungeKutta4,26,2.6,0.394496,0.1,0,0.01,0.373797
RungeKutta4,27,2.7,0.415897,0.1,0,0.01,0.399446
RungeKutta4,28,2.8,0.439459,0.1,0,0.01,0.427684
RungeKutta4,29,2.9,0.464710,0.1,0,0.01,0.457946
RungeKutta4,30,3.0,0.491073,0.1,0,0.01,0.489542
RungeKutta4,31,3.1,0.517884,0.1,0,0.01,0.521674
RungeKutta4,32,3.2,0.544415,0.1,0,0.01,0.553470
RungeKutta4,33,3.3,0.569900,0.1,0,0.01,0.584013
RungeKutta4,34,3.4,0.593562,0.1,0,0.01,0.612371
RungeKutta4,35,3.5,0.614659,0.1,0,0.01,0.637655
RungeKutta4,36,3.6,0.632510,0.1,0,0.01,0.659049
RungeKutta4,37,3.7,0.646500,0.1,0,0.01,0.675815
RungeKutta4,38,3.8,0.656129,0.1,0,0.01,0.687355
RungeKutta4,39,3.9,0.661069,0.1,0,0.01,0.693276
RungeKutta4,40,4.0,0.661283,0.1,0,0.01,0.693532
RungeKutta4,41,4.1,0.657815,0.1,0,0.01,0.689376
RungeKutta4,42,4.2,0.650812,0.1,0,0.01,0.680983
RungeKutta4,43,4.3,0.640426,0.1,0,0.01,0.668536
RungeKutta4,44,4.4,0.626940,0.1,0,0.01,0.652373
RungeKutta4,45,4.5,0.610744,0.1,0,0.01,0.632963
RungeKutta4,46,4.6,0.592299,0.1,0,0.01,0.610857
RungeKutta4,47,4.7,0.572116,0.1,0,0.01,0.586669
RungeKutta4,48,4.8,0.550724,0.1,0,0.01,0.561031
RungeKutta4,49,4.9,0.528642,0.1,0,0.01,0.534567
RungeKutta4,50,5.0,0.506354,0.1,0,0.01,0.507855
RungeKutta4,51,5.1,0.484292,0.1,0,0.01,0.481415
RungeKutta4,52,5.2,0.462819,0.1,0,0.01,0.455680
RungeKutta4,53,5.3,0.442215,0.1,0,0.01,0.430987
RungeKutta4,54,5.4,0.422658,0.1,0,0.01,0.407549
RungeKutta4,55,5.5,0.404188,0.1,0,0.01,0.385413
RungeKutta4,56,5.6,0.386648,0.1,0,0.01,0.364392
RungeKutta4,57,5.7,0.369607,0.1,0,0.01,0.343969
RungeKutta4,58,5.8,0.352436,0.1,0,0.01,0.323390
RungeKutta4,59,5.9,0.334826,0.1,0,0.01,0.302285
RungeKutta4,60,6.0,0.317217,0.1,0,0.01,0.281181
RungeKutta4,61,6.1,0.299436,0.1,0,0.01,0.259871
RungeKutta4,62,6.2,0.279364,0.1,0,0.01,0.235816
RungeKutta4,63,6.3,0.257116,0.1,0,0.01,0.209152
RungeKutta4,64,6.4,0.235100,0.1,0,0.01,0.182767
RungeKutta4,65,6.5,0.213867,0.1,0,0.01,0.157320
RungeKutta4,66,6.6,0.192787,0.1,0,0.01,0.132056
RungeKutta4,67,6.7,0.171334,0.1,0,0.01,0.106346
RungeKutta4,68,6.8,0.149653,0.1,0,0.01,0.0803618
RungeKutta4,69,6.9,0.128744,0.1,0,0.01,0.0553031
RungeKutta4,70,7.0,0.110227,0.1,0,0.01,0.0331112
RungeKutta4,71,7.1,0.0958877,0.1,0,0.01,0.0159260
RungeKutta4,72,7.2,0.0870894,0.1,0,0.01,0.00538159
RungeKutta4,73,7.3,0.0832771,0.1,0,0.01,0.000812679
RungeKutta4,74,7.4,0.0825990,0.1,0,0.01,0.0
RungeKutta4,75,7.5,0.0831609,0.1,0,0.01,0.000673417
RungeKutta4,76,7.6,0.0845234,0.1,0,0.01,0.00230633
RungeKutta4,77,7.7,0.0867589,0.1,0,0.01,0.00498549
RungeKutta4,78,7.8,0.0898919,0.1,0,0.01,0.00874028
RungeKutta4,79,7.9,0.0939012,0.1,0,0.01,0.0135453
RungeKutta4,80,8.0,0.0987282,0.1,0,0.01,0.0193303
RungeKutta4,81,8.1,0.104281,0.1,0,0.01,0.0259851
RungeKutta4,82,8.2,0.110445,0.1,0,0.01,0.0333724
RungeKutta4,83,8.3,0.117086,0.1,0,0.01,0.0413314
RungeKutta4,84,8.4,0.124063,0.1,0,0.01,0.0496931
RungeKutta4,85,8.5,0.131236,0.1,0,0.01,0.0582897
RungeKutta4,86,8.6,0.138471,0.1,0,0.01,0.0669606
RungeKutta4,87,8.7,0.145654,0.1,0,0.01,0.0755692
RungeKutta4,88,8.8,0.152699,0.1,0,0.01,0.0840124
RungeKutta4,89,8.9,0.159558,0.1,0,0.01,0.0922326
RungeKutta4,90,9.0,0.166241,0.1,0,0.01,0.100242
RungeKutta4,91,9.1,0.172811,0.1,0,0.01,0.108116
RungeKutta4,92,9.2,0.179358,0.1,0,0.01,0.115962
RungeKutta4,93,9.3,0.185924,0.1,0,0.01,0.123831
RungeKutta4,94,9.4,0.192434,0.1,0,0.01,0.131633
RungeKutta4,95,9.5,0.198704,0.1,0,0.01,0.139148
RungeKutta4,96,9.6,0.204524,0.1,0,0.01,0.146123
RungeKutta4,97,9.7,0.209737,0.1,0,0.01,0.152370
RungeKutta4,98,9.8,0.214265,0.1,0,0.01,0.157797
RungeKutta4,99,9.9,0.218091,0.1,0,0.01,0.162382
RungeKutta4,100,10.0,0.221239,0.1,0,0.01,0.166155
RungeKutta4,101,10.1,0.223752,0.1,0,0.01,0.169167
RungeKutta4,102,10.2,0.225687,0.1,0,0.01,0.171486
RungeKutta4,103,10.3,0.227104,0.1,0,0.01,0.173184
RungeKutta4,104,10.4,0.228077,0.1,0,0.01,0.174350
RungeKutta4,105,10.5,0.228740,0.1,0,0.01,0.175145
RungeKutta4,106,10.6,0.229452,0.1,0,0.01,0.175998
RungeKutta4,107,10.7,0.231166,0.1,0,0.01,0.178052
RungeKutta4,108,10.8,0.235836,0.1,0,0.01,0.183649
RungeKutta4,109,10.9,0.246086,0.1,0,0.01,0.195933
RungeKutta4,110,11.0,0.263356,0.1,0,0.01,0.216631
RungeKutta4,111,11.1,0.285322,0.1,0,0.01,0.242956
RungeKutta4,112,11.2,0.305991,0.1,0,0.01,0.267727
RungeKutta4,113,11.3,0.322641,0.1,0,0.01,0.287682
RungeKutta4,114,11.4,0.335439,0.1,0,0.01,0.303020
RungeKutta4,115,11.5,0.344622,0.1,0,0.01,0.314025
RungeKutta4,116,11.6,0.350445,0.1,0,0.01,0.321004
RungeKutta4,117,11.7,0.353185,0.1,0,0.01,0.324288
RungeKutta4,118,11.8,0.353008,0.1,0,0.01,0.324076
RungeKutta4,119,11.9,0.349808,0.1,0,0.01,0.320241
RungeKutta4,120,12.0,0.345152,0.1,0,0.01,0.314660
RungeKutta4,121,12.1,0.333685,0.1,0,0.01,0.300918
