TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:19:21,song_thrush_observed.csv,1.404691374617003922774556950,0.58,0.96,1.855,2.974,0.81,7.34,7.919,0.001,7.21,20.191,0.037,0.567,0.048,4.0,11.37,10.98,3.721,12.123,4.362,19.884,5.374,7.413,3.335,0.238,8.56,6.01,5.156,6.73,21.11,7.052,8.586,5.517,1.479,0.069,12.191,72.386,133.531,11.24
2026-05-21 10:19:21,song_thrush_observed.csv,0.2726482194368395192982400041,0.714,0.374,3.76,5.881,0.197,6.96,9.99,0.163,6.87,15.575,0.052,0.145,0.028,3.17,10.67,11.05,11.208,0.429,0.407,0.451,4.455,1.137,7.773,0.026,10.37,7.88,3.991,6.97,21.593,30.231,43.925,16.537,1.287,0.171,12.298,83.721,154.77,12.672
2026-05-21 10:19:21,song_thrush_observed.csv,1.762191627754143485443946810,0.806,2.837,1.062,2.657,0.829,7.01,14.236,0.128,7.2,23.73,0.036,0.341,0.034,3.81,11.22,11.42,5.61,11.678,9.636,13.719,5.763,10.456,1.07,0.03,10.25,6.04,6.298,6.79,20.529,37.207,61.439,12.975,1.436,0.195,12.163,99.720,184.305,15.135
2026-05-21 10:19:22,song_thrush_observed.csv,0.4791564843009227104855728709,0.481,3.862,0.969,3.886,0.866,6.37,9.117,0.072,7.06,21.261,0.048,0.216,0.029,2.57,11.42,11.04,3.249,14.320,11.323,17.318,5.855,5.397,6.313,0.111,8.33,6.48,1.685,6.81,20.035,32.412,48.11,16.715,1.056,0.012,12.232,117.132,223.902,10.362
2026-05-21 10:19:22,song_thrush_observed.csv,0.5993926513712496572328630013,0.9,0.903,2.136,7.393,0.661,7.03,14.582,0.027,6.89,21.904,0.022,0.11,0.023,3.24,1.48,10.7,2.244,17.636,17.395,17.878,6.884,5.883,7.886,0.171,10.28,6.4,1.713,6.73,9.103,41.544,75.73,7.359,1.091,0.038,12.11,55.540,97.658,13.421
2026-05-21 10:19:22,song_thrush_observed.csv,0.2749442058273646340877218096,0.383,1.429,5.447,5.632,0.456,6.45,12.106,0.034,7.3,26.567,0.066,0.64,0.019,2.31,10.62,10.34,4.587,9.054,14.126,3.983,3.537,3.614,3.460,0.125,8.49,7.6,4.852,7.02,7.583,5.894,11.214,0.574,1.365,0.33,12.11,121.481,230.055,12.907
2026-05-21 10:19:23,song_thrush_observed.csv,0.3536430324670485550167710349,0.436,2.329,0.472,2.792,0.47,7.02,5.917,0.113,6.6,17.166,0.083,0.71,0.029,2.76,10.95,10.27,4.792,4.286,4.413,4.159,3.939,6.078,1.8,0.152,9.43,6.68,6.745,7.07,10.42,23.800,36.855,10.746,1.031,0.105,12.084,104.922,199.675,10.17
2026-05-21 10:19:23,song_thrush_observed.csv,0.4979330838652238621916814568,0.581,0.466,2.517,5.929,0.765,7.07,3.101,0.123,6.73,15.605,0.041,0.612,0.014,2.35,11.53,11.48,6.029,11.046,19.665,2.427,6.991,6.734,7.248,0.181,9.5,6.87,2.736,6.69,14.807,41.395,71.051,11.739,1.184,0.297,12.245,107.807,204.455,11.159
2026-05-21 10:19:23,song_thrush_observed.csv,0.4395861808641962836015634499,0.763,3.336,1.608,4.997,0.211,6.4,10.538,0.115,6.83,20.456,0.03,0.066,0.036,3.95,10.78,10.59,8.6,14.920,11.81,18.029,13.226,13.035,13.416,0.201,9.17,6.28,6.229,6.83,9.844,24.274,38.886,9.662,0.972,0.342,12.133,66.940,123.221,10.658
2026-05-21 10:19:24,song_thrush_observed.csv,2.566150414320807244501117096,0.53,2.741,1.601,6.03,0.294,7.54,13.592,0.128,6.91,17.974,0.034,0.219,0.005,2.19,1.31,10.49,4.573,6.148,10.921,1.375,7.196,7.546,6.845,0.191,10.22,7.19,4.492,7.53,14.326,24.104,31.035,17.174,1.776,0.083,12.219,51.992,90.53,13.455
