TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 10:21:28,woodpigeon_observed.csv,0.5975658386329551222288744973,0.801,0.501,0.21,1.134,0.876,7.62,10.212,0.041,6.72,17.036,0.718,0.327,0.047,11.94,11.61,11.49,4.992,12.166,5.284,19.049,6.002,9.212,2.793,0.119,10.25,8.77,2.737,7.56,7.786,11.142,7.539,14.744,1.433,0.148,12.085,113.465,218.199,8.731
2026-05-21 10:21:28,woodpigeon_observed.csv,0.7649254460979362186543033191,1.071,2.95,4.303,0.804,0.623,6.7,4.749,0.231,7.31,14.116,0.885,0.704,0.047,1.56,11.97,11.35,2.842,10.258,9.204,11.312,9.726,8.774,10.678,0.097,8.71,8.18,1.9,7.41,13.119,7.725,14.142,1.308,1.23,0.053,12.094,103.822,200.131,7.512
2026-05-21 10:21:29,woodpigeon_observed.csv,0.8110654605683025403029833362,0.909,2.517,5.39,1.107,0.775,6.79,14.118,0.367,7.34,15.4,0.657,0.516,0.042,1.08,1.28,11.29,5.695,7.788,4.084,11.493,8.828,6.735,10.922,0.049,10.15,8.85,5.058,6.68,14.881,2.294,1.844,2.745,1.53,0.31,12.075,101.576,190.225,12.928
2026-05-21 10:21:29,woodpigeon_observed.csv,0.6704144640758041618034611369,1.027,1.358,5.811,2.505,0.676,7.48,9.727,0.086,7.01,13.21,0.793,0.122,0.036,1.79,1.23,11.43,3.062,9.611,1.679,17.543,11.176,11.67,10.683,0.045,9.91,8.93,1.576,7.33,11.278,21.103,29.791,12.415,1.358,0.237,12.273,93.450,178.759,8.142
2026-05-21 10:21:29,woodpigeon_observed.csv,1.994049279468817679850895296,1.185,2.846,4.568,0.182,0.601,6.94,10.937,0.11,6.76,14.145,0.57,0.184,0.017,1.6,1.07,11.47,4.326,7.510,2.172,12.847,7.574,2.536,12.612,0.042,11.48,9.28,4.943,6.62,21.581,38.323,58.591,18.055,0.828,0.095,12.04,113.207,216.067,10.347
2026-05-21 10:21:30,woodpigeon_observed.csv,7.233691982606394426032549165,1.004,2.145,2.701,2.411,0.487,6.89,12.043,0.028,6.8,23.269,0.801,0.633,0.015,11.51,1.47,11.48,4.976,13.520,10.111,16.928,3.294,5.399,1.19,0.141,11.32,8.85,7.281,6.78,11.065,29.333,57.598,1.068,1.178,0.149,12.019,87.796,161.73,13.862
2026-05-21 10:21:30,woodpigeon_observed.csv,0.9290205158423340486696706385,0.917,2.702,0.649,1.842,0.067,7.62,14.604,0.296,7.35,14.518,0.88,0.263,0.048,11.69,11.48,11.43,5.677,4.694,1.658,7.73,12.372,12.272,12.473,0.139,9.56,7.78,3.174,7.08,10.418,27.548,45.905,9.192,0.86,0.233,12.166,110.858,206.048,15.667
2026-05-21 10:21:30,woodpigeon_observed.csv,0.5207653414030386130646192717,1.141,3.698,5.432,7.454,0.659,7.26,12.924,0.139,7.37,10.071,0.67,0.24,0.013,1.45,10.66,11.29,8.833,11.384,10.845,11.924,7.343,10.033,4.653,0.167,11.18,7.42,0.845,7.47,18.577,10.268,5.282,15.255,1.319,0.219,12.101,65.304,123.818,6.789
2026-05-21 10:21:31,woodpigeon_observed.csv,36.97035132145826036352683746,1.016,0.378,2.555,7.126,0.467,6.67,8.313,0.287,6.79,21.414,0.84,0.734,0.046,2.07,11.91,11.26,9.166,9.298,14.968,3.627,11.801,13.68,9.922,0.169,10.16,9.08,2.148,7.18,19.695,19.564,29.074,10.054,1.467,0.004,12.107,86.776,167.626,5.927
2026-05-21 10:21:31,woodpigeon_observed.csv,0.9958987170459918608053435163,1.277,2.763,5.575,6.651,0.072,7.7,11.548,0.302,7.18,19.586,0.529,0.537,0.035,2.41,1.36,11.34,3.579,15.648,16.125,15.170,6.174,0.658,11.691,0.19,9.35,8.31,2.495,7.12,18.61,14.930,24.665,5.196,1.004,0.294,12.161,76.634,144.871,8.397
2026-05-21 10:21:31,woodpigeon_observed.csv,1.041720057214847342521952460,1.302,3.441,2.8,1.796,0.463,7.7,7.922,0.213,6.83,18.151,0.452,0.105,0.006,1.84,11.89,11.47,11.995,16.346,15.425,17.266,11.654,11.516,11.792,0.14,11.42,9.01,6.028,7.51,18.87,25.776,41.991,9.561,1.087,0.19,12.278,51.798,97.912,5.684
2026-05-21 10:21:31,woodpigeon_observed.csv,1.043147351347018165778440103,1.17,0.872,2.986,4.558,0.781,6.66,5.004,0.166,6.83,16.497,0.538,0.546,0.031,12.0,10.83,11.42,11.98,9.142,15.226,3.058,5.016,7.162,2.869,0.09,9.45,8.81,5.106,6.99,21.838,37.784,58.836,16.732,1.57,0.205,12.109,49.119,83.663,14.575
2026-05-21 10:21:32,woodpigeon_observed.csv,0.6443747393536850633543667589,0.896,3.868,1.077,0.116,0.39,6.89,4.357,0.442,6.58,21.598,0.761,0.075,0.008,1.55,10.69,11.42,2.466,15.624,14.956,16.293,4.853,3.272,6.434,0.02,8.72,9.47,2.032,7.13,19.824,11.444,15.867,7.021,1.102,0.198,12.127,55.515,104.679,6.351
2026-05-21 10:21:32,woodpigeon_observed.csv,0.5411384001562828019140067519,0.988,2.001,5.745,6.961,0.345,7.34,8.415,0.289,7.54,16.302,0.765,0.433,0.031,1.48,11.81,11.31,4.591,9.798,17.386,2.21,4.666,6.509,2.824,0.133,9.31,7.42,1.253,7.39,15.861,35.037,64.069,6.005,1.553,0.246,12.02,114.044,215.577,12.511
2026-05-21 10:21:32,woodpigeon_observed.csv,39.03524461267916855101780451,1.265,2.289,0.11,5.97,0.888,6.61,14.12,0.06,6.74,9.722,0.672,0.415,0.042,1.88,11.84,11.44,5.519,4.051,2.692,5.41,6.778,4.223,9.334,0.172,10.74,9.47,4.26,7.34,9.927,31.914,50.638,13.19,1.531,0.192,12.118,86.841,158.679,15.003
2026-05-21 10:21:33,woodpigeon_observed.csv,0.7947934571072279713646759236,1.134,0.6,2.178,0.727,0.946,6.42,10.238,0.441,7.42,14.543,0.805,0.568,0.01,11.58,1.22,11.38,7.806,16.325,19.753,12.897,5.550,8.102,2.999,0.174,9.71,7.83,6.192,6.95,15.23,40.578,73.865,7.292,0.858,0.04,12.127,92.282,170.134,14.43
2026-05-21 10:21:33,woodpigeon_observed.csv,0.5808413200302084115861120796,0.751,2.137,1.299,2.562,0.304,6.69,10.015,0.089,7.59,6.062,0.809,0.524,0.043,1.18,1.47,11.49,7.239,11.976,18.776,5.176,7.281,4.876,9.686,0.189,8.53,7.17,3.612,7.21,12.644,8.734,6.328,11.14,1.153,0.136,12.276,102.707,197.296,8.118
2026-05-21 10:21:33,woodpigeon_observed.csv,0.6771942325601527180932519496,1.232,0.897,5.567,4.096,0.457,6.51,15.612,0.363,7.59,18.229,0.885,0.734,0.01,1.56,11.16,11.45,11.18,5.486,5.112,5.860,5.978,9.471,2.485,0.028,10.96,8.68,7.242,6.65,11.524,38.988,69.144,8.833,1.465,0.086,12.117,123.308,235.306,11.309
2026-05-21 10:21:34,woodpigeon_observed.csv,0.5974993116630777191728702042,1.21,0.571,5.974,3.921,0.25,7.18,11.15,0.367,7.13,27.56,0.492,0.075,0.043,1.94,11.49,11.42,3.412,17.830,18.042,17.617,10.456,9.023,11.89,0.081,9.67,8.62,5.153,7.06,23.28,16.512,13.782,19.242,1.612,0.076,12.082,79.598,148.32,10.875
2026-05-21 10:21:34,woodpigeon_observed.csv,2.358196254084877575011003494,1.142,3.262,5.316,0.113,0.625,7.19,11.817,0.279,6.52,19.29,0.758,0.127,0.035,1.21,1.01,11.39,5.986,16.936,18.06,15.813,4.038,4.897,3.18,0.057,8.63,8.34,7.33,7.14,20.006,47.026,79.164,14.889,1.694,0.069,12.006,93.396,176.863,9.928
2026-05-21 10:21:34,woodpigeon_observed.csv,1.618581015349817337091199748,0.99,1.752,5.662,4.985,0.17,7.0,9.783,0.088,6.93,24.714,0.661,0.23,0.03,11.69,11.22,11.45,7.07,8.375,3.248,13.502,7.744,8.708,6.779,0.065,11.41,7.38,4.31,6.62,17.374,29.865,41.348,18.382,0.832,0.186,12.274,97.733,181.009,14.457
