method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.308,0.1,0,0.01,0.398009
RungeKutta4,1,0.1,0.306131,0.1,0,0.01,0.395593
RungeKutta4,2,0.2,0.304585,0.1,0,0.01,0.393596
RungeKutta4,3,0.3,0.303328,0.1,0,0.01,0.391971
RungeKutta4,4,0.4,0.302343,0.1,0,0.01,0.390698
RungeKutta4,5,0.5,0.301630,0.1,0,0.01,0.389777
RungeKutta4,6,0.6,0.301209,0.1,0,0.01,0.389233
RungeKutta4,7,0.7,0.301127,0.1,0,0.01,0.389127
RungeKutta4,8,0.8,0.301504,0.1,0,0.01,0.389614
RungeKutta4,9,0.9,0.302469,0.1,0,0.01,0.390861
RungeKutta4,10,1.0,0.304175,0.1,0,0.01,0.393066
RungeKutta4,11,1.1,0.306817,0.1,0,0.01,0.396480
RungeKutta4,12,1.2,0.310636,0.1,0,0.01,0.401415
RungeKutta4,13,1.3,0.315912,0.1,0,0.01,0.408233
RungeKutta4,14,1.4,0.322958,0.1,0,0.01,0.417338
RungeKutta4,15,1.5,0.332105,0.1,0,0.01,0.429158
RungeKutta4,16,1.6,0.343686,0.1,0,0.01,0.444124
RungeKutta4,17,1.7,0.358008,0.1,0,0.01,0.462631
RungeKutta4,18,1.8,0.375324,0.1,0,0.01,0.485008
RungeKutta4,19,1.9,0.395804,0.1,0,0.01,0.511473
RungeKutta4,20,2.0,0.419498,0.1,0,0.01,0.542092
RungeKutta4,21,2.1,0.446314,0.1,0,0.01,0.576745
RungeKutta4,22,2.2,0.475984,0.1,0,0.01,0.615086
RungeKutta4,23,2.3,0.508067,0.1,0,0.01,0.656545
RungeKutta4,24,2.4,0.541929,0.1,0,0.01,0.700303
RungeKutta4,25,2.5,0.576769,0.1,0,0.01,0.745325
RungeKutta4,26,2.6,0.611642,0.1,0,0.01,0.790390
RungeKutta4,27,2.7,0.645499,0.1,0,0.01,0.834141
RungeKutta4,28,2.8,0.677239,0.1,0,0.01,0.875157
RungeKutta4,29,2.9,0.705775,0.1,0,0.01,0.912033
RungeKutta4,30,3.0,0.730095,0.1,0,0.01,0.943460
RungeKutta4,31,3.1,0.749429,0.1,0,0.01,0.968445
RungeKutta4,32,3.2,0.763323,0.1,0,0.01,0.986399
RungeKutta4,33,3.3,0.771495,0.1,0,0.01,0.996959
RungeKutta4,34,3.4,0.773848,0.1,0,0.01,1
RungeKutta4,35,3.5,0.770924,0.1,0,0.01,0.996221
RungeKutta4,36,3.6,0.763202,0.1,0,0.01,0.986243
RungeKutta4,37,3.7,0.750940,0.1,0,0.01,0.970397
RungeKutta4,38,3.8,0.734545,0.1,0,0.01,0.949211
RungeKutta4,39,3.9,0.714544,0.1,0,0.01,0.923364
RungeKutta4,40,4.0,0.691562,0.1,0,0.01,0.893666
RungeKutta4,41,4.1,0.666274,0.1,0,0.01,0.860988
RungeKutta4,42,4.2,0.639380,0.1,0,0.01,0.826234
RungeKutta4,43,4.3,0.611567,0.1,0,0.01,0.790293
RungeKutta4,44,4.4,0.583480,0.1,0,0.01,0.753997
