TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 10:58:27,cuckoo_observed.csv,1.585,0.619,2.069,7.342,7.163,4.31,6.85,2.19,4.42,0.04363980455272458516761693750,
2026-05-21 10:58:27,cuckoo_observed.csv,1.622,2.133,1.04,6.894,9.568,4.47,5.05,3.417,4.66,0.06084315661176962565335716032,
2026-05-21 10:58:27,cuckoo_observed.csv,1.405,1.331,3.763,2.403,6.313,3.27,5.71,13.686,4.71,0.1155572234361771144482400112,
2026-05-21 10:58:28,cuckoo_observed.csv,3.505,1.58,7.203,3.658,3.712,4.12,6.69,12.227,6.03,0.007614663615826230535339750775,
2026-05-21 10:58:28,cuckoo_observed.csv,4.893,2.9,6.692,7.626,3.315,4.07,6.55,4.461,4.7,0.01792238174241382970608321208,
2026-05-21 10:58:28,cuckoo_observed.csv,1.435,2.997,5.03,3.381,8.002,3.5,5.88,10.399,5.46,0.06440912897310411383521905554,
2026-05-21 10:58:28,cuckoo_observed.csv,3.795,1.611,5.409,2.913,3.277,4.17,5.17,7.063,4.24,0.1084631267893883477726466157,
2026-05-21 10:58:29,cuckoo_observed.csv,1.421,1.294,2.529,7.47,3.847,3.19,5.7,13.467,3.76,0.1764621565340262254419055464,
2026-05-21 10:58:29,cuckoo_observed.csv,2.752,0.892,2.216,0.167,7.977,3.14,5.71,6.142,4.65,0.06029344710348522204417839280,
2026-05-21 10:58:29,cuckoo_observed.csv,2.762,1.442,1.321,1.336,3.526,4.15,6.78,11.816,4.99,0.02707697059362055255883491942,
2026-05-21 10:58:30,cuckoo_observed.csv,1.72,1.357,6.193,3.077,1.67,3.23,5.74,4.287,5.17,0.1214120616751575014720770484,
2026-05-21 10:58:30,cuckoo_observed.csv,4.7,1.058,1.072,0.855,7.403,3.0,5.73,3.774,5.72,0.05272383997462937006160517682,
2026-05-21 10:58:30,cuckoo_observed.csv,2.731,1.383,3.953,6.965,7.679,4.79,6.55,7.849,6.15,0.06272668712093068334401189924,
2026-05-21 10:58:30,cuckoo_observed.csv,3.552,0.7,4.514,7.658,6.417,4.82,5.02,3.893,4.91,0.05346322916755396600720019547,
2026-05-21 10:58:31,cuckoo_observed.csv,2.082,0.631,1.484,4.665,7.388,3.02,6.67,2.851,4.82,0.05187270361946064227620525718,
2026-05-21 10:58:31,cuckoo_observed.csv,3.309,1.375,1.824,7.092,4.03,4.19,5.31,3.157,4.94,0.07794872547924434150545583774,
2026-05-21 10:58:31,cuckoo_observed.csv,4.621,1.304,6.348,7.837,5.576,4.37,5.6,2.705,5.35,0.01983909672709067988085650988,
2026-05-21 10:58:31,cuckoo_observed.csv,2.956,2.458,1.321,5.82,9.275,4.05,6.64,3.22,5.48,0.02582291340413134344144387791,
2026-05-21 10:58:32,cuckoo_observed.csv,3.709,2.844,6.885,0.238,1.256,4.0,5.86,12.24,4.75,0.04899098699554475182703780652,
2026-05-21 10:58:32,cuckoo_observed.csv,4.361,2.046,6.062,1.677,4.911,3.82,5.7,4.389,3.98,0.1140070944407177229402903383,
2026-05-21 10:58:32,cuckoo_observed.csv,1.084,1.629,6.915,2.062,1.217,4.39,6.79,5.13,5.97,0.007655053209605231555932554108,
2026-05-21 10:58:33,cuckoo_observed.csv,2.669,1.302,7.487,3.937,1.331,4.99,5.16,2.971,5.15,0.02167872829254662696734895602,
2026-05-21 10:58:33,cuckoo_observed.csv,3.956,0.791,1.372,4.094,3.135,3.29,6.96,12.527,5.32,0.04001428693330842191378985280,
2026-05-21 10:58:33,cuckoo_observed.csv,4.197,1.024,5.522,7.168,7.647,4.95,6.14,1.079,4.95,0.07980028516386635665109945371,
2026-05-21 10:58:33,cuckoo_observed.csv,3.656,2.204,2.347,0.723,6.898,3.02,6.73,12.708,3.63,0.1163336648942554448119991123,
2026-05-21 10:58:34,cuckoo_observed.csv,4.881,2.512,7.934,7.695,9.579,4.23,5.08,12.111,4.99,0.1172097479129608462215876802,
2026-05-21 10:58:34,cuckoo_observed.csv,3.195,1.175,1.246,5.316,6.278,5.0,5.83,3.484,5.77,0.006369844676382784535830119865,
2026-05-21 10:58:34,cuckoo_observed.csv,3.845,1.734,5.788,2.989,5.469,4.57,6.78,10.615,5.92,0.03780878917176748285220076947,
2026-05-21 10:58:34,cuckoo_observed.csv,2.063,2.706,2.766,3.438,8.141,4.45,6.3,8.623,4.73,0.007095748166925213673869770324,
2026-05-21 10:58:35,cuckoo_observed.csv,2.197,2.765,3.001,1.155,4.935,3.88,6.43,2.099,4.81,0.05763972647721364122011078083,
2026-05-21 10:58:35,cuckoo_observed.csv,3.525,1.844,5.232,6.448,9.96,3.62,6.51,2.738,6.23,0.02777936207157731837194379893,
2026-05-21 10:58:35,cuckoo_observed.csv,2.956,2.368,7.752,0.737,9.086,4.69,5.89,9.037,5.82,0.02112609983226269029381698542,
2026-05-21 10:58:36,cuckoo_observed.csv,1.559,2.579,5.681,6.549,5.913,4.4,5.25,2.689,5.16,0.05754787199854699810202105199,
2026-05-21 10:58:36,cuckoo_observed.csv,1.482,1.8,7.848,5.913,5.491,3.99,6.63,9.286,5.77,0.004362392663527112409861454727,
2026-05-21 10:58:36,cuckoo_observed.csv,1.29,1.936,3.857,2.141,8.771,4.84,6.61,12.869,5.49,0.05810362117885279370798985063,
2026-05-21 10:58:36,cuckoo_observed.csv,3.287,1.756,4.084,4.18,6.34,3.92,5.61,3.079,4.43,0.1094805416097787722562620435,
2026-05-21 10:58:37,cuckoo_observed.csv,1.982,1.631,7.095,2.799,6.459,3.17,6.06,7.104,3.54,0.1303122453496004972476577600,
2026-05-21 10:58:37,cuckoo_observed.csv,3.028,2.736,3.58,3.41,9.061,3.84,5.23,12.206,4.16,0.1248619695712969922683264039,
2026-05-21 10:58:37,cuckoo_observed.csv,2.713,0.699,2.911,6.724,6.024,3.43,5.81,11.861,5.09,0.05011771738401946954718131802,
2026-05-21 10:58:37,cuckoo_observed.csv,3.616,2.362,2.616,2.159,4.958,3.8,5.86,9.157,3.81,0.09744752537267766172169606945,
2026-05-21 10:58:38,cuckoo_observed.csv,1.906,1.731,7.896,3.598,5.192,4.07,6.45,12.735,5.06,0.005229638304063688985166391561,
2026-05-21 10:58:38,cuckoo_observed.csv,1.517,2.114,6.68,1.711,6.276,4.3,6.29,11.26,4.35,0.006872867301135523765734526869,
2026-05-21 10:58:38,cuckoo_observed.csv,1.442,2.72,5.45,1.815,6.117,4.55,6.04,9.905,4.74,0.01265021617882469198073773871,
2026-05-21 10:58:39,cuckoo_observed.csv,1.502,0.976,3.832,6.2,6.467,4.7,6.66,14.966,5.89,0.06499827374537657551576761428,
2026-05-21 10:58:39,cuckoo_observed.csv,3.302,0.966,4.372,2.389,7.633,3.38,6.77,1.059,3.8,0.1603563901181957757663370370,
2026-05-21 10:58:39,cuckoo_observed.csv,1.407,0.663,3.575,6.448,1.095,3.16,5.85,5.6,4.86,0.1186977124954809309490536268,
2026-05-21 10:58:39,cuckoo_observed.csv,4.529,1.553,2.066,2.948,7.682,3.03,5.51,13.832,4.84,0.1316338079703581091227888118,
